col_0,col_1,"Recurrent
(Kshs.)",col_3,"Development
(Kshs.)",col_5,"Total Budget
(Kshs.)",col_7,"Implementation
Status (%)",page_number,table_index
"Name of the
Programme","Sub-
Programme","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments",,543,1
"Agricultural
Management","Administration
and Planning
services","226,819,334","225,417,966","334,120,139","303,583,724","560,939,473","529,001,690",94.31,543,1
"Livestock
Production
Management","Provision of
Extension
Services to
Livestock
farmers","2,009,500","1,706,402","6,500,000","6,885,194","8,509,500","8,591,596",100.96,543,1
Crop Management,"Administrative
Support Services","2,014,500","1,562,614",-,-,"2,014,500","1,562,614",77.57,543,1
"Fisheries
development","Administrative
Support Services","1,535,000","1,386,450",-,-,"1,535,000","1,386,450",90.32,543,1
Veterinary services,"Administrative
Support Services","2,962,509","2,517,709","9,000,000","8,824,995","11,962,509","11,342,704",94.82,543,1
Wambugu ATC,"Farm
Development","4,551,500","4,551,250","2,969,782","2,181,438","7,521,282","6,732,688",89.52,543,1
"Name of the
Programme","Sub-
Programme","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments",,544,0
AMS Naromoru,"Development
Of Agricultural
LandFor Crop
Production","1,010,500","1,010,500","2,623,369","2,619,719","3,633,869","3,630,219",99.90,544,0
,,"240,902,843","238,152,892","355,213,290","324,095,070","596,116,133","562,247,962",94.32,544,0
"Physical planning
services","Administration
andpersonnel
services","44,343,083","41,663,802","234,778,175","133,503,478","279,121,258","175,167,280",62.76,544,0
"LandPolicy and
Planning","LandPolicy
Formulation","4,294,000","3,758,055",-,-,"4,294,000","3,758,055",87.52,544,0
"Housing
Development
andHuman
Settlement","Government
Building","1,815,500","1,677,850",-,-,"1,815,500","1,677,850",92.42,544,0
,,"50,452,583","47,099,707","234,778,175","133,503,478","285,230,758","180,603,185",63.32,544,0
"General
administration
andpolicy
Development
andimplementation","Administration,
planning
andsupport
services","74,169,951","72,107,156",-,-,"74,169,951","72,107,156",97.22,544,0
"Roads development,
maintenance
andmanagement","County access
andfeeder roads
improvement",-,-,"179,245,592","163,491,825","179,245,592","163,491,825",91.21,544,0
"Energy Sector
development","Street lighting
programme","22,776,747","22,100,057","321,459,748","261,316,739","344,236,495","283,416,796",82.33,544,0
,,"96,946,698","94,207,213","500,705,340","424,808,564","597,652,038","519,015,777",86.84,544,0
"Trade
andCooperative
Development","Trade
Promotion","41,097,525","37,734,062","88,000,000","78,696,954","129,097,525","116,431,016",90.19,544,0
"Tourism
Development","Promotion
of Tourism","7,127,500","6,490,902",,,"7,127,500","6,490,902",91.07,544,0
Co-operatives,"Co-operative
Development","1,600,000","1,272,419","18,003,199","17,084,053","19,603,199","18,356,472",93.64,544,0
,,"49,825,025","45,497,383","106,003,199","95,781,007","155,828,224","141,278,390",90.66,544,0
"Administration,
Planning
andGeneral
Support Services","Administration,
Planning
andGeneral
Support Services","2,151,384,824","2,150,999,338","379,098,499","316,119,142","2,530,483,323","2,467,118,480",97.50,544,0
"Name of the
Programme","Sub-
Programme","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments","Approved
Budget","Actual
Payments",,545,0
Rural Health,"Administration,
Planning
andGeneral
Support Services","101,305,316","76,979,032",-,-,"101,305,316","76,979,032",75.99,545,0
,,"2,252,690,140","2,227,978,370","379,098,499","316,119,142","2,631,788,639","2,544,097,512",96.67,545,0
"General
administration
andpolicy
Development
andimplementation","Administrative
Support Services","287,715,345","286,349,313",-,-,"287,715,345","286,349,313",99.53,545,0
