Programme,Sub-Programme,Budget Estimates,"Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
"Co-operatives Develop-
ment","Co-operatives Devel-
opment","35,855,306.54","34,158,971.00","1,696,335.54",95.3,402,0
Tourism Development,Tourism Development,"40,102,650.00","33,798,953.80","6,303,696.20",84.3,402,0
Trade Development,Trade Development,"93,773,413.18","65,154,239.20","28,619,173.98",69.5,402,0
Total,,"169,731,369.72","133,112,164.00","36,619,205.72",78.43,402,0
Department: 'Youth Affairs & Sports,,,,,,402,0
Youth Affairs,Youth Affairs,"39,389,612.65","35,408,650.40","3,980,962.25",89.9,402,0
Sports Development,Sports Development,"44,804,386.39","37,421,414.45","7,382,971.94",83.5,402,0
"Arts and Culture Devel-
opment","Arts and Culture De-
velopment","25,152,000.00","15,044,250.00","10,107,750.00",59.8,402,0
Meru Youth Service,MYS,"75,000,000.00","73,756,096.27","1,243,903.73",98.3,402,0
Total,,"184,345,999.04","161,630,411.12","22,715,587.92",87.7,402,0
Department: County Public Service Board,,,,,,402,0
"Human Resource Man-
agement","Human Resource
Management","28,750,369.00","27,405,174.00","1,345,195.00",95.3,402,0
