Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual
Expenditure FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,669,1
Office of the Governor,,,,,,669,1
"General Administration,
Planning and
Support Service","General Administration
and Support services","245,071,924","147,432,589","97,639,335",60.2,669,1
,"Construction of the
Governor's residence","1,616,437","1,308,208","308,229",80.9,669,1
,,A,B,C=A-B,D=B/A*100,670,0
,"Documentation,
communication
policy andstrategy","3,156,584","2,692,152","464,432",85.3,670,0
,"Civic Education and
Public Sensitization","11,324,708","10,715,615","609,093",94.6,670,0
,"Production of County
Newspaper andNewsletter","1,301,396","690,000","611,396",53.0,670,0
"Donor /Investor
Engagement","Public-Private Partnership
Initiatives (PPPs)","1,011,042","300,000","711,042",29.7,670,0
,"Political
andIntergovernmental
Advisory Services","2,054,117","700,000","1,354,117",34.1,670,0
,Legal Advisory Services,"1,411,043","467,200","943,843",33.1,670,0
,"Security andcross-border
Advisory Services","1,971,248","894,000","1,077,248",45.4,670,0
,"Oil andGas Advisory
Service","1,411,042","116,800","1,294,242",8.3,670,0
,"Gender andPartnership
Advisory Services","1,411,042","322,000","1,089,042",22.8,670,0
,Special Interest groups,"1,011,042","878,000","133,042",86.8,670,0
,"Climate Change
advisory services","1,011,042","856,000","155,042",84.7,670,0
,"Education and Youth
Advisory services","1,011,042","893,750","117,292",88.4,670,0
,"Culture, Arts andHeritage
Advisory Services","1,411,042","900,600","510,442",63.8,670,0
,,A,B,C=A-B,D=B/A*100,671,0
"Security andPeace
Building","Community Cohesion
andResettlement","16,211,207","11,406,467","4,804,740",70.4,671,0
,"Operationalisation of
peace-building structures
andinstitutions","134,400,269","100,044,990","34,355,279",74.4,671,0
,"Resettlement
Infrastructural Programme","173,274,571","9,932,430","163,342,141",5.7,671,0
,"Cross Border peace
dividends programme","43,688,298","24,937,969","18,750,329",57.1,671,0
"Social andFinancial
Security","Assurance andInsurance
of Govt. Assets","9,167,904","7,886,504","1,281,400",86.0,671,0
,"Liability andDebt
Management","6,368,904","6,413,305","(44,401)",100.7,671,0
,"Turkana SACCO
Seed Capital","11,600,061","8,532,469","3,067,592",73.6,671,0
"Public Participation
andAccess to Information","Construction of Citizen
Resource Centre","4,038,679","3,835,200","203,479",95.0,671,0
,Web site Development,"6,780,245","5,124,445","1,655,800",75.6,671,0
,"Social Budgeting
andGeneration of
SIR Reports","2,018,886","2,089,080","(70,194)",103.5,671,0
,Intergovernmental Relation,"25,606,600","13,596,950","12,009,650",53.1,671,0
,"Strategy Development,
Review, Support
andOperationalization","1,577,044","562,800","1,014,244",35.7,671,0
"Service Delivery- ISO
Certification",Service Charter,"4,021,349","2,358,000","1,663,349",58.6,671,0
,"Development of County
Filing Systems","4,339,073","2,652,420","1,686,653",61.1,671,0
,"Procedure Manual
and Training","31,979,699","19,703,910","12,275,789",61.6,671,0
,,A,B,C=A-B,D=B/A*100,672,0
Governors Press Service,Governors Press Support,"17,988,296","13,398,571","4,589,725",74.5,672,0
,Subtotal,"769,245,836","401,642,424","367,603,412",52.2,672,0
"Office of the Deputy
Governor",,,,,,672,0
"General Planning
andSupport","General Planning and
Support services","25,351,000","17,603,918","7,747,082",69.4,672,0
"Government
Programming",Govt Programming,"8,300,000","5,066,700","3,233,300",61.0,672,0
,Community Engagement,"10,100,568","7,041,200","3,059,368",69.7,672,0
,"Government Stakeholder
Engagement","6,800,000","4,730,892","2,069,108",69.6,672,0
,"Government
Transformation","5,600,090","2,823,000","2,777,090",50.4,672,0
,Subtotal,"56,151,658","37,265,710","18,885,948",66.4,672,0
"Finance and Economic
Planning",,,,,,672,0
