"Programme
Code",Sub Programme,"Approved Budget
(Kshs.)","Actual Expenditure as
of 30th June 2023
(Kshs.)",Absorption (%),page_number,table_index
,,,,,597,0
3260,,,,,597,0
103003260,Infrastructure Development programme,-,-,-,597,0
101003260,"Administration Planning and Support
Services",-,-,-,597,0
701003260,General Administration support services,-,-,-,597,0
,County Assembly Headquarters,"1,033,022,686","899,223,159",87,597,0
701003260,General Administration support services,"975,022,686","853,002,770",87,597,0
702003260,"County Assembly Infrastructure
improvement","58,000,000","46,220,389",80,597,0
,Headquarters,"3,197,107,357","3,194,342,869",100,597,0
705003260,Leadership Development Programme,-,-,-,597,0
701003260,General Administration support services,"3,197,107,357","3,194,342,869",100,597,0
3260,,-,-,-,597,0
704003260,"General Administration and Management
of County Affairs",-,-,-,597,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,597,0
,Taveta Sub County Administration,"490,000","170,000",35,597,0
705003260,Leadership Development Programme,-,-,-,597,0
701003260,General Administration support services,"490,000","170,000",35,597,0
,Wundanyi Sub County Administration,"464,280","354,280",76,597,0
701003260,General Administration support services,"464,280","354,280",76,597,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,597,0
,Mwatate Sub County Administration,"390,000","290,000",74,597,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,597,0
701003260,General Administration support services,"390,000","290,000",74,597,0
,Voi Sub County Administration,"480,000","180,000",38,597,0
701003260,General Administration support services,"480,000","180,000",38,597,0
,Taveta Town Administration,"250,000","50,000",20,597,0
705003260,Leadership Development Programme,-,-,-,597,0
701003260,General Administration support services,"250,000","50,000",20,597,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,597,0
,Voi Town Administration,"240,625","65,625",27,598,0
701003260,General Administration support services,"240,625","65,625",27,598,0
705003260,Leadership Development Programme,-,-,-,598,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,598,0
,County Policing Authority,-,-,-,598,0
701003260,General Administration support services,-,-,-,598,0
,Human Resource Management,"1,517,101","1,227,500",81,598,0
701003260,General Administration support services,"1,517,101","1,227,500",81,598,0
,,"3,268,506","1,763,280",54,598,0
701003260,General Administration support services,"3,268,506","1,763,280",54,598,0
,,"135,000","135,000",100,598,0
701003260,General Administration support services,"135,000","135,000",100,598,0
,Headquarters,"77,394,200","66,832,893",86,598,0
705003260,Leadership Development Programme,-,-,-,598,0
701003260,General Administration support services,-,-,-,598,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,598,0
704003260,"General Administration and Management
of County Affairs","77,394,200","66,832,893",86,598,0
,Office of the Deputy Governor,"24,774,735","21,479,686",87,598,0
705003260,Leadership Development Programme,-,-,-,598,0
101003260,"Administration Planning and Support
Services",-,-,-,598,0
704003260,"General Administration and Management
of County Affairs","24,774,735","21,479,686",87,598,0
,Special Programmes Unit,"3,151,880","370,050",12,598,0
704003260,"General Administration and Management
of County Affairs","1,431,600","370,050",26,598,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,598,0
705003260,Leadership Development Programme,"1,720,280",-,-,598,0
,Service Delivery Unit,"162,000","89,000",55,598,0
704003260,"General Administration and Management
of County Affairs","162,000","89,000",55,598,0
,Industrialisation,-,-,-,598,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,598,0
705003260,Leadership Development Programme,-,-,-,598,0
704003260,"General Administration and Management
of County Affairs",-,-,-,598,0
,ICT,"3,942,150","1,746,150",44,599,0
704003260,"General Administration and Management
of County Affairs","3,942,150","1,746,150",44,599,0
703003260,"Decentralised Infrastructure Development
Programme",-,-,-,599,0
,,"980,001","521,000",53,599,0
704003260,"General Administration and Management
of County Affairs","980,001","521,000",53,599,0
,,"70,000","206,000",294,599,0
704003260,"General Administration and Management
of County Affairs","70,000","206,000",294,599,0
,,"9,360,500","4,035,500",43,599,0
704003260,"General Administration and Management
of County Affairs","9,360,500","4,035,500",43,599,0
,Headquarters,"87,099,981","74,536,024",86,599,0
701003260,General Administration support services,-,-,-,599,0
707003260,Treasury Development Programme,-,-,-,599,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","87,099,981","74,536,024",86,599,0
,County Emergency Fund,"10,000,000","1,500,000",15,599,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","10,000,000","1,500,000",15,599,0
707003260,Treasury Development Programme,-,-,-,599,0
701003260,General Administration support services,-,-,-,599,0
,Equalisation of Wards Infrastructure,-,-,-,599,0
707003260,Treasury Development Programme,-,-,-,599,0
,Planning,"16,437,945","12,374,225",75,599,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","16,437,945","12,374,225",75,599,0
707003260,Treasury Development Programme,-,-,-,599,0
,Gratuity Fund,-,-,-,599,0
706003260,"General Administration, Planning, Internal
Audit & Support Services",-,-,-,599,0
,County Executive Administration,"10,000,000","10,000,000",100,599,0
701003260,General Administration support services,-,-,-,599,0
706003260,"General Administration, Planning, Internal
Audit & Support Services","10,000,000","10,000,000",100,599,0
,Internal Audit Services,"4,627,598","1,284,500",28,599,0
