Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,413,0
"Department of Agriculture, Livestock Development & Fisheries Development",,,,,,,,413,0
Agriculture,"Crop Development And
Management",-,"20,000,000",-,"1,654,914",-,8.3,413,0
,"General administration,
planning & support ser-
vice","191,955,132","508,670,577","190,772,395","232,129,098",99.4,45.6,413,0
Fisheries,Fisheries Development,"5,375,756","4,400,000","5,300,000","4,194,000",98.6,95.3,413,0
,"General administration,
planning & support ser-
vice","12,815,244","6,200,000","12,598,067","5,986,000",98.3,96.5,413,0
Livestock,"Livestock Resources
Management and Devel-
opment",-,"8,524,999",-,"8,470,950",-,99.4,413,0
,"General administration,
planning & support ser-
vice","16,884,660",-,"16,880,000",-,100.0,-,413,0
Veterinary,"General administration,
planning & support ser-
vice","10,292,640",-,"10,207,060",-,99.2,-,413,0
,Veterinary services,"8,832,605","3,700,000","8,804,653","2,699,347",99.7,73.0,413,0
"Macalder Sheep
& Goat Station","Cooperative develop-
ment","780,000",,"779,440",-,99.9,-,413,0
,Sub Total,"246,936,037","551,495,576","245,341,615","255,134,309",99.4,46.3,413,0
County Assembly Entity,,,,,,,,413,0
"General admin-
istration and
support services",Administrative services,"551,469,350",-,"551,469,350",-,100.0,-,413,0
"Oversight man-
agement services","Committee management
services","109,339,000",-,"109,339,000",-,100.0,-,413,0
"Legislative
services",Representation,"143,696,881",-,"143,696,881",-,100.0,-,413,0
"General admin-
istration and
support services",Administrative services,"32,966,978",-,"32,966,978",-,100.0,-,413,0
Pending bills,"Pending bills-Legal Fees
& Dues","18,000,000",-,"18,000,000",-,100.0,-,413,0
"Infrastructures
development","infrastructures develop-
ment",-,"90,000,000",-,"40,000,000",-,44.4,413,0
,,Rec,Dev,Rec,Dev,Rec,Dev,414,0
,Sub Total,"855,472,209","90,000,000","855,472,209","40,000,000",100,44,414,0
Department of County Attorney,,,,,,,,414,0
