Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as
of 30th June 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,636,0
3611 Office of Governor and Deputy Governor,,,,,,,,636,0
"P: County
Government
Advisory Services","0702033610 SP:
Communication
andStrategy","19,217,823",-,"12,027,848",-,62.6,-,636,0
"P: County Leadership
andCoordination
of MDAs","0701033610 SP:
Coordination of
CMAs (Office of
County Secretary)","17,544,880",-,"6,544,880",-,37.3,-,636,0
,"0701043610 SP:
Public Sector
Advisory Services
(Legal, Political,
and Economic
Affairs)","35,985,070",-,"20,897,128",-,58.1,-,636,0
"P: General
Administration,
Planning and
Support Services","0706043610 SP:
Management
of County
Affairs (Office
of Governor)","137,273,040",-,"97,231,106",-,70.8,-,636,0
,"0706053610 SP:
Coordination
andSupervisory
Services (Deputy
Governor's Office)","37,569,014",-,"21,900,014",-,58.3,-,636,0
Sub Total,,"247,589,827",,"158,600,976",,64.1,-,636,0
"3612 Roads, Infrastructure and Public Works",,,,,,,,636,0
,,Rec,Dev,Rec,Dev,Rec,Dev,637,0
"P: General
Administration
Planning and
Support Services","0201013610
SP: General
Administration
Services","84,697,285","98,500,000","82,953,900","62,178,562",97.9,63.1%,637,0
"P: Kathwana
Municipality
Development
Programme","0109013610 SP:
Kathwana Urban
Area Support","6,963,556",-,"6,566,947",-,94.3,-,637,0
"P: Public Works
andHousing Services","0108013610 SP:
Public Works
Services","27,722,346",-,"26,404,486",-,95.2,-,637,0
P: Roads Transport,"0202013610 SP:
Rural Roads
Improvement
and Maintenance
Services","79,613,188","387,105,000","69,205,454","297,961,382",86.9,77.0,637,0
"P: Urban
Development and
Administration","0710013610
SP: Urban
Administrative
Services","32,618,284","25,000,000","26,683,694","20,000,000",81.8,80.0,637,0
Sub Total,,"231,614,659","510,605,000","211,814,481","380,139,944",91.5,74.4,637,0
3613 Medical Services,,,,,,,,637,0
"P: Curative
andRehabilitative
Services","0401073610 SP:
Medical Supplies","252,650,000",-,"237,101,241",-,93.8,-,637,0
,"0401083610
SP: Laboratory
Services","56,562,950",-,"54,525,410",-,96.4,-,637,0
"P: General
Administration
Planning and
Support Services","0404013610
SP: General
Administration
Services","115,155,171","129,378,487","117,895,966","63,830,743",102.4,49.3,637,0
,"0404033610 SP:
Human resource
management","1,438,514,078",-,"1,438,067,247",-,100.0,-,637,0
Sub Total,,"1,862,882,199","129,378,487","1,847,589,864","63,830,743",99.2,49.3,637,0
3614 Lands andPhysical Planning,,,,,,,,637,0
,,Rec,Dev,Rec,Dev,Rec,Dev,638,0
"P: Environment and
Natural Resources
Management","1001013610 SP:
Environment and
Natural Resource","20,877,093","35,000,000","15,340,128","16,457,818",73.5,47.0,638,0
"P: Environment
Management and
Natural Resources
Conservation","0303013610 SP:
Environment and
Natural Resources
Management","21,250,000",-,"8,061,090",-,37.9,-,638,0
"P: LandPolicy
and Planning","0102013610 SP:
Physical Planning
Services","32,453,000","20,000,000","32,267,448","13,098,048",99.4,65.5,638,0
,"0102033610
SP: Land
Administration
& management","1,978,700",-,"907,625",-,45.9,-,638,0
Sub Total,,"76,558,793","55,000,000","56,576,291","29,555,866",73.9,53.7,638,0
3615 Agriculture and Crop Production,,,,,,,,638,0
"P: Cooperative
Development and
Management","0304013610 SP:
Cooperative
Development","837,797",-,"175,710",-,21.0,-,638,0
"P: Crop Development
and Management","0105013610
SP: Crops
Development,
Agribusiness
andMarket
Development","5,544,447","255,612,912","1,800,753","221,049,853",32.5,86.5,638,0
"P: General
Administration
Planning and
Support Services","0101013610 SP:
Administration,
Policy, Strategy
and Management
of Agriculture","118,947,241","83,948,899","115,900,764","83,695,769",97.4,99.7,638,0
Sub Total,,"125,329,485","339,561,811","117,877,227","304,745,622",94.1,89.7,638,0
3616 Public Administration and Devolution Affairs,,,,,,,,638,0
"P: County
Government
Advisory Services","0702053610
SP: Disaster
Management
andCoordination","983,788",-,"798,288",-,81.1,-,638,0
,,Rec,Dev,Rec,Dev,Rec,Dev,639,0
"P: General
Administration,
Planning and
Support Services","0706013610
SP: General
Administration
and Support
Services","113,546,173",-,"109,932,365",-,96.8,-,639,0
,"0706023610 SP:
Sub-County
Administration
andField Services","2,512,700",-,"1,219,700",-,48.5,-,639,0
,"0706103610 SP:
Human Resource
Management
Services","1,344,700",-,"759,660",-,56.5,-,639,0
Sub Total,,"118,387,361",,"112,710,013",,95.2,-,639,0
"3617 Education, Gender, Culture and Social Services",,,,,,,,639,0
"P: Education and
Youth Training","0504013610 SP:
Promotion of Basic
Education (ECDE)","32,151,292","30,000,000","28,714,025","13,939,607",89.3,46.5,639,0
,"0504023610 SP:
Youth Training
andCapacity
Building","13,921,100","19,659,900","13,629,000","4,328,095",97.9,22.0,639,0
"P: General
Administration
Planning and
Support Services","0501013610 SP:
Administration
Planning and
Support Services","169,389,670",-,"168,875,019",-,99.7,-,639,0
Sub Total,,"215,462,062","49,659,900","211,218,044","18,267,702",98.0,36.8,639,0
