Programme & Sub-Program,col_1,"Approved Supl.
Budget No.2 FY
2022/2023 (Kshs)","Actual Expenditure
as of 30th June 2023
(Kshs)",Variances (Kshs),"Absorption
Rate (%)",page_number,table_index
3011 COUNTY EXECUTIVES,,,,,,427,0
,Recurrent,"94,873,031","78,964,365","15,908,666",83.2,427,0
,Development,-,-,-,-,427,0
"Deputy Governor's Affairs
& External Relations",Recurrent,"32,510,228","21,055,001","11,455,227",64.8,427,0
,Development,"17,992,360","3,959,767","14,032,593",22.0,427,0
"Cabinet Affairs, Policy Re-
search andLegal Services",Recurrent,"62,490,410","23,453,442","39,036,968",37.5,427,0
,Development,-,-,-,-,427,0
MV 2035 & E-Government,Recurrent,"9,255,260","2,229,840","7,025,420",24.1,427,0
,Development,-,-,-,-,427,0
Strategic Delivery Unit,Recurrent,"15,109,500","5,149,519","9,959,981",34.1,427,0
,Development,-,-,-,-,427,0
Total,,"232,230,789","134,811,934","97,418,855",58.1,427,0
3013 COUNTY PUBLIC SERVICE BOARD,,,,,,427,0
Administration Unit,Recurrent,"78,618,480","84,163,570","-5,545,090",107.1,427,0
,Development,"20,000,000","3,640,050","16,359,950",18.2,427,0
Total,,"98,618,480","87,803,620","10,814,860",89.0,427,0
3014 FINANCE And Economic PLANNING,,,,,,427,0
Administration Unit,Recurrent,"838,488,430","927,548,168","-89,059,738",110.6,427,0
,Development,"567,294,434","757,093,269","-189,798,835",133.5,427,0
Accounting Unit,Recurrent,"24,150,000","27,361,361","-3,211,361",113.3,427,0
,Development,"6,000,000","1,914,207","4,085,793",31.9,427,0
"Planning and Monitoring
Unit",Recurrent,"27,010,654","17,572,583","9,438,070",65.1,427,0
,Development,"12,000,000","974,897","11,025,103",8.1,427,0
Total,,"1,474,943,517","1,732,464,484","-257,520,967",117.5,427,0
"3015 ENERGY, ENVIRONMENT & WASTE MANAGEMENT",,,,,,427,0
"Administration, Planning
and Support Services",Recurrent,"469,643,215","552,439,698","-82,796,483",117.6,427,0
,Development,"135,555,395","47,955,478","87,599,917",35.4,427,0
Energy,Recurrent,"5,239,000","4,090,106","1,148,894",78.1,427,0
,Development,"70,000,000","20,289,569","49,710,431",29.0%,427,0
"Environmental Manage-
ment andProtection",Recurrent,"31,460,000","27,783,687","3,676,313",88.3,427,0
,Development,"65,500,000","3,367,310","62,132,690",5.1,427,0
Solid Waste Management,Recurrent,"18,327,252","13,848,199","4,479,053",75.6,427,0
,Development,"5,000,000",-,"5,000,000",-,427,0
Climate Change,Recurrent,"3,239,000",-,"3,239,000",-,427,0
,Development,"50,000,000",-,"50,000,000",-,427,0
Total,,"853,963,862","669,774,046","184,189,816",78.4,427,0
"3016 Education, Information Technology & MV 2035",,,,,,427,0
"General Administration,
Planning and Support Ser-
vices",Recurrent,"256,986,033","360,948,824","-103,962,791",140.5,427,0
,Development,"2,067,426","1,765,883","301,543",85.4,428,0
Education headquarters,Recurrent,"5,200,000","5,175,354","24,646",99.5,428,0
,Development,"108,332,574","10,201,448","98,131,126",9.4,428,0
Childcare,Recurrent,"3,500,000","3,054,400","445,600",87.3,428,0
,Development,"39,000,000","14,651,370","24,348,630",37.6,428,0
Elimu Fund,Recurrent,"211,890,000","74,169,894","137,720,106",35.0,428,0
,Development,-,-,-,-,428,0
"Information Technology
Headquarters",Recurrent,"7,000,000","6,141,897","858,103",87.7,428,0
,Development,"50,600,000","26,942,434","23,657,566",53.2,428,0
Total,,"684,576,033","503,051,504","181,524,529",73.5,428,0
3017 HEALTH SERVICES,,,,,,428,0
Administration Unit,Recurrent,"2,848,300,730","4,794,619,296","-1,946,318,566",168.3,428,0
,Development,"128,508,506","12,000,000","116,508,506",9.3,428,0
"Curative/Clinical Health
Services",Recurrent,"182,273,099","36,242,437","146,030,662",19.9,428,0
,Development,"49,516,083","547,397","48,968,686",1.1,428,0
"Preventive and Promotive
Services Unit",Recurrent,"77,459,683","3,051,052","74,408,631",3.9,428,0
,Development,"8,613,000",-,"8,613,000",-,428,0
Special Programs,Recurrent,"48,179,420","61,505,750","-13,326,330",127.7,428,0
,Development,"3,617,500",-,"3,617,500",-,428,0
Total,,"3,346,468,021","4,907,965,931","-1,561,497,910",146.7,428,0
"3018 Water, Sanitation & Natural Resources",,,,,,428,0
Administration unit,Recurrent,"33,327,492","45,241,418","-11,913,926",135.7,428,0
,Development,"575,000,000","590,025,456","-15,025,456",102.6,428,0
"Sanitation/Sewerage Ser-
vices Headquarters",Recurrent,"1,750,000","98,276","1,651,724",5.6,428,0
,Development,"27,000,000","1,754,406","25,245,594",6.5,428,0
Water Supply Headquarters,Recurrent,"7,450,000","5,042,276","2,407,724",67.7,428,0
,Development,"13,000,000",-,"13,000,000",-,428,0
Natural Resources,Recurrent,"5,480,000","106,897","5,373,103",2.0,428,0
,Development,"10,000,000",-,"10,000,000",-,428,0
Total,,"673,007,492","642,268,728","30,738,764",95.4,428,0
"3019 Youth, Gender, Sports and Cultural Affairs",,,,,,428,0
Administration Unit,Recurrent,"105,396,832","94,386,123","11,010,709",89.6,428,0
