Programme,Sub- Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Payments of FY 2022-
23 (Kshs)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,233,1
County Assembly,,,,,,,,233,1
"Legislation and
oversight","Legislation and
oversight","681,635,622","60,417,240","681,635,618","38,417,169",100.0%,63.6%,233,1
Sub Total,,"681,635,622","60,417,240","681,635,618","38,417,169",100.0%,63.6%,233,1
County Executive,,,,,,,,233,1
"Office of the Gov-
ernor and Deputy
Governor","070601 County
Executive Services","370,594,668",-,"370,593,803",-,100.0%,-,233,1
"County Executive
Administration","070701County
Executive Services",-,"193,228,291",-,"177,483,015",#DIV/0!,91.9%,233,1
"Management of
County Affairs","070801 Coordi-
nation of County
Functions","107,652,000",-,"107,652,000",-,100.0%,-,233,1
,,Rec,Dev,Rec,Dev,Rec,Dev,234,0
"County Executive
Committee Affairs","070901 Organi-
sation of County
Business","6,200,000",-,"6,200,000",-,100.0%,-,234,0
"County Public
Service Board","071001 Human
Resource Manage-
ment","14,906,040",-,"14,906,000",-,100.0%,-,234,0
"Administrative
Support Services","020202 ICT Gov-
ernance","3,480,000",-,"3,480,000",-,100.0%,-,234,0
,"020701 Govern-
ment Buildings
Services","4,067,000",-,"4,067,000",-,100.0%,-,234,0
,"070411 Audit
Committee","1,919,000",-,"1,919,000",-,100.0%,-,234,0
,"070412 County
Enforcement
Activities","4,185,000",-,"4,185,000",-,100.0%,-,234,0
,"070413 ICT Infra-
structure Develop-
ment Management","10,958,800",-,"10,958,800",-,100.0%,-,234,0
,"070414 ICT Sys-
tems Development
Management","1,522,000",-,"1,522,000",-,100.0%,-,234,0
Sub Total,,"525,484,508","193,228,291","525,483,603","177,483,015",100.0%,91.9%,234,0
Finance and Economic Planning,,,,,,,,234,0
"Public Finance
Management","070401 Finance
Services","544,449,550","19,210,510","544,449,549","15,548,700",100.0%,80.9%,234,0
,"070402 Revenue
Services","17,300,000",-,"17,299,702",-,100.0%,-,234,0
,"070404 Procure-
ment and Supply
Services","9,770,000",-,"9,769,363",-,100.0%,-,234,0
,"070405 Internal
Audit Services","1,718,200",-,"1,717,915",-,100.0%,-,234,0
,"070408 Budget
Formulation,
Coordination and
management","8,970,920",-,"8,970,915",-,100.0%,-,234,0
,"070409 Account-
ing Services","7,945,000",-,"7,945,000",-,100.0%,-,234,0
"County Planning
and Economic
Policy Manage-
ment","070501 Economic
Planning Services","16,699,000",-,"16,698,800",-,100.0%,-,234,0
Sub Total,,"606,852,670","19,210,510","606,851,244","15,548,700",100.0%,80.9%,234,0
Medical Services and Public Health,,,,,,,,234,0
"Curative and
Rehabilitative
Services","040301 Curative
and Rehabilitative
Services","2,116,310,238","782,650,068","2,114,819,096","521,733,502",99.9%,66.7%,234,0
,,Rec,Dev,Rec,Dev,Rec,Dev,235,0
Sub Total,,"2,116,310,238","782,650,068","2,114,819,096","521,733,502",99.9%,66.7%,235,0
Education,,,,,,,,235,0
Basic Education,"050101 General
Administration","300,114,905",-,"300,114,880",-,100.0%,-,235,0
,"050102 Free Pre-
Primary Education","7,440,000",-,"7,439,030",-,100.0%,-,235,0
"State Education
Function Support","050203 Tertiary
Education",-,"4,300,000",-,"3,830,527.32",#DIV/0!,89.1%,235,0
"Technical and Vo-
cational Training","050301 Village
Polytechnicue","678,500",-,"678,370",-,100.0%,0.0%,235,0
Sub Total,,"308,233,405","4,300,000","308,232,280","3,830,527",100.0%,89.1%,235,0
"Agriculture, Livestock and Fisheries",,,,,,,,235,0
"Livestock Re-
source Man-
agement and
Development","010102 Livestock
Extension and
Capacity Building
Services","305,000",-,"305,000",,100.0%,-,235,0
,"010105 Livestock
Production Man-
agement","2,480,000",-,"2,479,813",,100.0%,-,235,0
,"010106 Livestock
Disease Manage-
ment & Control","1,200,000",-,"1,199,910",,100.0%,-,235,0
"Crop Develop-
ment and man-
agement","010202 Agricul-
tural Extension
Services","1,500,000",-,"1,500,000",,100.0%,-,235,0
,"010203 Agribusi-
ness and market
Development","320,000",-,"320,000",,100.0%,-,235,0
,"010206 Land and
Crop Development","1,331,000",-,"1,331,000",,100.0%,-,235,0
,"010207 Food Secu-
rity Initiatives","400,000",-,"400,000",,100.0%,-,235,0
"Kamweti Agri-
cultural Training
Centre","Extension and
Training",-,-,-,,#DIV/0!,-,235,0
"Fisheries Devel-
opment","010402 Aquacul-
ture Development","200,000",-,"199,524",,99.8%,-,235,0
"Policy Strategy
and management
of Agriculture","010801 Develop-
ment of Agricul-
tural Policy","543,000",-,"543,000",,100.0%,-,235,0
,"011001 General
Administration
and Planning","223,407,389","315,162,993","223,402,571","312,324,628",100.0%,99.1%,235,0
Sub Total,,"231,686,389","315,162,993","231,680,818","312,324,628",100.0%,99.1%,235,0
Gender and Youth,,,,,,,,235,0
,,Rec,Dev,Rec,Dev,Rec,Dev,236,0
Culture,"090702 Social
Welfare Services","18,687,000",-,"18,687,000",-,100.0%,-,236,0
,"091201 Gender
Administration
Services","30,821,210",-,"30,821,204",-,100.0%,-,236,0
,"091301 Gender
and Social Devel-
opment","1,490,000.00","42,133,334.00","1,489,507","28,417,659.35",100.0%,67.4%,236,0
Youth,"090901 Youth
Development and
Empowerment
Services","670,000.00",-,"670,000",-,100.0%,0.0%,236,0
Sub Total,,"51,668,210","42,133,334","51,667,711","28,417,659",100.0%,67.4%,236,0
Sports Culture and Social Services,,,,,,,,236,0
Sports,"090701 General
Administration","12,721,217",-,"12,721,066",-,100.0%,-,236,0
,"090801 Develop-
ment of Sports and
Sports Facilities",-,"8,466,666",-,"7,113,254.00",#DIV/0!,84.0%,236,0
,"091401 Manage-
ment & Develop-
ment of Sports and
Sports Facilities","16,905,000",-,"16,904,500",-,100.0%,-,236,0
,"091601Control &
Campaign Against
Drug & Substance
Abuse","1,549,000",-,"1,549,000",-,100.0%,-,236,0
,"091701 Preserva-
tion & Promotion
of Heritage and
Culture","248,800",-,"248,800",-,100.0%,-,236,0
Children Services,"091101 Child
Community Sup-
port Services","4,784,000.00",-,"4,784,000",-,100.0%,-,236,0
Sub Total,,"36,208,017","8,466,666","36,207,366","7,113,254",100.0%,84.0%,236,0
"Cooperative Development Trade and
Tourism",,,,,,,,236,0
,"030401 General
Administration
and Planning","38,349,441",-,"38,449,436",-,100.3%,-,236,0
,"030103 Capacity
Buiding for Trad-
ers and SMEs","977,000",-,"977,000",-,100.0%,-,236,0
,"030104 promotion,
Development &
Growth of Trade","354,000",-,"354,000",-,100.0%,-,236,0
,,Rec,Dev,Rec,Dev,Rec,Dev,237,0
,"030105 Fair Trade
Practises and Con-
sumer Protection","205,000",-,"205,000",-,100.0%,-,237,0
"Tourism De-
velopment and
marketing","030302 Tourism
Promotion and
marketing","195,500",-,"195,500",-,100.0%,-,237,0
,"030304 Interna-
tional Tourism
Promotion and
marketing","310,000",-,"309,400",-,99.8%,-,237,0
,"030305 Promo-
tion of Industrial
Development","6,268,500",-,"6,268,500",-,100.0%,-,237,0
,"030306 Provi-
sion of Industrial
Training","140,000",-,"140,000",-,100.0%,-,237,0
"Cooperative
Development and
marketing","030101 General
Administration &
Planning",-,"38,500,000",-,"38,261,104",#DIV/0!,99.4%,237,0
,"030405 Cooper-
ative Advisory
andExtension
Services","295,000",-,"295,000",-,100.0%,-,237,0
,"030406 Coopera-
tive Education and
Training","416,000",-,"416,000",-,100.0%,-,237,0
,"030407 Coopera-
tive Governance
and Accountability","159,000",-,"159,000",-,100.0%,-,237,0
"Cooperative Audit
Services","030603 Inspections
and Investigations
for Cooperatives","170,000",-,"70,000",-,41.2%,-,237,0
Sub Total,,"47,839,441","38,500,000","47,838,836","38,261,104",100.0%,99.4%,237,0
Environment and Natural Resources,,,,,,,,237,0
"Water Supply
Services","090101 Water and
Irrigation",-,"148,229,999",-,"53,651,654",#DIV/0!,36.2%,237,0
"Energy Pro-
gramme","090301 Energy
Services","405,000",-,"405,000",-,100.0%,-,237,0
"Cleaning and
waste Manage-
ment","090502 Environ-
ment Management
and Protection","675,800",-,"675,800",-,100.0%,-,237,0
"Environment
Management and
Protection","100401 Environ-
ment Management
and Protection","22,000,000",-,"12,120,961",-,55.1%,-,237,0
,,Rec,Dev,Rec,Dev,Rec,Dev,238,0
Nema,"090401 Waste
Management
Services","107,408,439",-,"107,407,938",-,100.0%,-,238,0
Sub Total,,"130,489,239","148,229,999","120,609,699","53,651,654",92.4%,36.2%,238,0
"Lands, Housing and Urban Develop-
ment",,,,,,,,238,0
"Land and physical
Planning","010601 General
Administration
and Planning","32,192,943",-,"32,192,723",-,100.0%,-,238,0
,"010604 County
Spatial Planning","3,190,000",-,"3,190,000",-,100.0%,-,238,0
,"010605 Town Zon-
ing and Mapping",-,"106,479,534",-,"33,183,365.00",-,31.2%,238,0
,"010607 Survey and
Mapping","505,000",-,"505,000",-,100.0%,-,238,0
"Housing Develop-
ment","010701 Improve-
ment and Devel-
opment of Human
Settlements","420,000",-,"420,000",-,100.0%,-,238,0
Sub Total,,"36,307,943","106,479,534","36,307,723","33,183,365",100.0%,31.2%,238,0
Transport and Infrastructure,,,,,,,,238,0
"Transport Man-
agement","020301 General
Administration
and Planning","61,511,285",-,"61,511,285",-,100.0%,-,238,0
"Disaster Manage-
ment","020401 Fire Fight-
ing and Emergency
Services","2,222,083",-,"2,222,083",-,100.0%,-,238,0
"Roads Devel-
opment Main-
tenance and
management","020601 Construc-
tion and Mainte-
nance of Roads
and Bridges","1,300,000","466,281,288","1,299,943","380,026,602",100.0%,81.5%,238,0
"Infrastructure
Development,
Maintenance and
management","020801 Infrastruc-
ture Development
Services","9,700,000",-,"9,699,944",-,100.0%,-,238,0
Sub Total,,"74,733,368","466,281,288","74,733,255","380,026,602",100.0%,81.5%,238,0
Grand Total,,"4,847,449,050","2,185,059,923","4,836,067,247","1,609,991,179",99.8%,73.7%,238,0
