Program,Sub Program,Description,"Final Budget
(Kshs)",Actual (Kshs),"Absorption
Rate (%)",page_number,table_index
101004660,,"General Administration, Planning and
Support Services","190,684,404","186,058,132",97.6,169,0
,101014660,Headquarters Administrative Services,"190,684,404","185,839,972",97.5,169,0
102004660,,Crop and Plant Husbandry,"14,137,609","13,790,663",97.5,169,0
,102014660,Crop Development and Management.,"8,691,786","8,400,980",96.7,169,0
,102024660,Plant Diseases Management and Control,"2,722,912","2,694,842",99.0,169,0
,102034660,Agri-business and Market Development,"2,722,911","2,694,841",99.0,169,0
103004660,,"Livestock Resources Management and
Development","16,125,528","11,846,302",73.5,169,0
,103014660,Animal Husbandry Management,"9,533,741","6,857,333",71.9,169,0
,103034660,Veterinary Services,"5,168,839","4,023,611",77.8,169,0
,103044660,Livestock Market Development,"711,473","680,513",95.6,169,0
,103064660,Demonstration Farm - Kajiado,"711,475","284,845",40.0,169,0
104004660,,Fisheries Development and Management,"2,250,690","2,151,224",95.6,169,0
,104024660,Fisheries,"2,250,690","2,151,224",95.6,169,0
106004660,,Land Policy and Planning,"23,143,418","21,928,118",94.7,169,0
,106034660,Physical Planning,"8,607,000","8,559,700",99.5,169,0
,106044660,Land Survey and Mapping,"5,070,000","4,663,000",92.0,169,0
,106054660,Housing,"4,276,480","3,948,480",92.3,169,0
,106064660,,"5,189,938","4,756,938",91.7,169,0
107004660,,"Animal Husbandry Livestock Resource
Management and Development","55,803,124","55,123,476",98.8,169,0
,107034660,Animal Disease Control,"55,803,124","55,123,476",98.8,169,0
108004660,,Agricultural Development,"18,057,557","13,019,227",72.1,169,0
,108034660,Agricultural Mechanization Services,"5,668,839","2,126,105",37.5,169,0
,108054660,Agricultural Training Centre,"1,896,063","1,817,467",95.9,169,0
,108064660,Irrigation,"10,492,655","9,075,655",86.5,169,0
,110014660,Urban Development,"19,931,740","17,056,520",85.6,169,0
,113014660,"General Administration Planning and
Support Services Lands","84,292,217","83,461,306",99.0,169,0
,204014660,"General Administration, planning and
Support Services","124,554,724","123,634,616",99.3,169,0
,207024660,Public Works,"8,865,811","8,282,411",93.4,169,0
,207034660,Energy,"14,500,000","14,481,410",99.9,169,0
,207044660,Fire Fighting,"5,950,000","4,667,965",78.5,169,0
,207054660,Transport,"12,150,000","11,580,667",95.3,169,0
301004660,,"General Administration, Planning and
Support Services","149,984,968","139,653,126",93.1,169,0
,303014660,Cooperative Services,"10,680,131","6,706,905",62.8,169,0
304004660,,Trade Development,"28,707,927","19,651,613",68.5,169,0
,304024660,Trade Development,"26,958,025","18,091,011",67.1,169,0
,,"General Administration, Planning and
Support Services","1,920,115,589","1,917,940,654",99.9,170,0
402004660,,Preventive & Promotive Health Services,"49,134,026","41,223,925",83.9,170,0
,402044660,"Reproductive Maternal Neo-natal Chil
&Adolescent Health-","5,019,526","5,299,001",105.6,170,0
,402054660,"Communicable and Non-Communicable
diseases","4,516,348","4,287,188",94.9,170,0
,402064660,Primary Health Care Services,"22,998,252","16,082,052",69.9,170,0
,402074660,Disease Surveillance and Response,"2,889,500","2,529,100",87.5,170,0
,402084660,"Environmental Health and Sanitation
Services","13,710,400","13,026,584",95.0,170,0
404004660,,Curative and Rehabilitation,"377,835,501","372,370,609",98.6,170,0
,404034660,Hospital Services,"12,765,250","13,076,551",102.4,170,0
,404044660,Health Products and Technologies,"359,030,266","352,863,919",98.3,170,0
,404054660,Emergency Response services,"6,039,985","6,430,139",106.5,170,0
501004660,,"General Administration, Planning and
Support Services","465,035,372","460,035,143",98.9,170,0
,506014660,"Early Childhood Development and Edu-
cation","89,338,071","88,704,000",99.3,170,0
,507014660,Technical Vocational Training,"6,440,000","5,345,800",83.0,170,0
701004660,,"General Administration and Policy Co-
ordination","919,101,966","891,962,201",97.0,170,0
,702024660,Information Communication Services,"23,541,121","22,567,456",95.9,170,0
705004660,,Public Financial Management,"125,482,454","81,020,505",64.6,170,0
,705014660,Resource Mobilization,"24,612,454","20,958,497",85.2,170,0
,705044660,Accounting services,"14,562,000","12,777,709",87.7,170,0
,705054660,Supply Chain Management Services,"59,231,000","22,368,876",37.8,170,0
,705074660,Budget,"15,280,000","13,287,693",87.0,170,0
,705104660,Internal Audit,"24,934,861","19,676,830",78.9,170,0
,712014660,County Administration,"19,150,000","15,495,980",80.9,170,0
,712024660,County Inspectorate,"5,784,861","4,180,850",72.3,170,0
,713014660,"Human Resource Management and De-
velopment","146,790,000","133,535,936",91.0,170,0
,714014660,Citizen Participation,"14,747,360","12,482,410",84.6,170,0
,715014660,General Administration Planning and,"155,891,287","155,401,409",99.7,170,0
,716014660,County Executive Committee Affairs,"33,322,000","27,547,162",82.7,170,0
,716024660,Intergovernmental Relations,"9,754,000","6,801,100",69.7,170,0
,716034660,County Advisory Services,"10,440,000","8,715,715",83.5,170,0
,717014660,General Administration Planning and,"626,796,271","605,154,700",96.5,170,0
,718014660,Economic Planning,"14,975,973","13,254,473",88.5,170,0
,718024660,Monitoring and Evaluation,"14,705,919","14,631,127",99.5,170,0
,902014660,Gender,"58,436,388","57,453,204",98.3,170,0
,904014660,Social Protection,"15,915,006","15,648,871",98.3,170,0
,904024660,Disability Mainstreaming,"6,852,000","5,898,001",86.1,170,0
,904034660,Control of Alcohol and Substance Abuse,"4,103,006","4,737,820",115.5,170,0
