Programme,Sub-Programme,"Approved Es-
timates (Kshs.
Million)",col_3,"Actual Expenditure
(Kshs.Million)",col_5,"Absorption Rate (%)
(Kshs.Million)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,119,1
,Department Office of the Governor and Executive Administration,,,,,,,119,1
"Programme: Gen-
eral Administration
and support services","General Administration
support
Disaster Management,
peacebuilding and conflict
resolution",141.47,-,68.15,-,48,-,119,1
,,1.00,6.30,0.28,-,28,-,119,1
,,,,,,,,119,1
,Governance,1.50,-,0.45,-,30,-,119,1
,Sub Total,143.97,6.30,68.88,-,,-,119,1
,Department County Assembly,,,,,,,119,1
"Legislation and
Representation","Legislation and Representa-
tion",332.51,-,70.67,-,21,-,119,1
"Legislative Over-
sight",Legislative Oversight,70.18,-,63.38,-,90,-,119,1
,Sub-programme,,,,,,,119,1
"General Adminis-
tration and Support
Services",General Administration,299.19,-,198.15,-,66,-,119,1
,Sub-Total,701.88,-,"332,20,835",-,,-,119,1
,Department of Finance and Economic Planning,,,,,,,119,1
,,Rec,Dev,Rec,Dev,Rec,Dev,120,0
"General adminis-
tration and support
services","Finance and Planning Head-
quarters",200.01,-,86.14,-,43,-,120,0
,"Economic Planning and
Budgeting",2.11,-,1.24,-,59,-,120,0
,Accounting Services,1.53,-,0.25,-,16,-,120,0
,Supply Chain Management,1.23,-,0.24,-,19,-,120,0
,"Revenue Management Ser-
vices",8.15,-,1.08,-,13,-,120,0
,Sub-Total,213.02,-,88.96,-,-,-,120,0
,"Department: Agriculture, Livestock, Fisheries and Irrigation",,,,,,,120,0
"General Adminis-
tration and support
services",General administration,146.92,-,66.76,-,45,-,120,0
Crop Development,"Agriculture extension and
training",-,295.10,-,38.26,-,13,120,0
Crop Development,Crop Commercialisation,-,23.15,-,3.60,-,16,120,0
"Irrigation Develop-
ment",Irrigation Development,-,10.40,-,-,-,-,120,0
"Livestock Develop-
ment","Livestock extension and
training",-,40.15,-,-,-,-,120,0
"Livestock Develop-
ment",Livestock Commercialisation,-,29.69,-,1.33,-,4,120,0
Veterinary Services,Livestock Disease Control,-,24.46,-,-,-,-,120,0
Veterinary Services,Breeding,,3.90,-,-,-,-,120,0
,Sub-Total,146.92,426.85,66.76,43.19,-,-,120,0
,"Department: Water, Environment and Climate Change Management",,,,,,,120,0
"General Adminis-
tration and support
services","General administration and
support services",44.38,-,17.31,-,39,-,120,0
Water services,Water services,-,203.10,-,8.94,-,4,120,0
"Environmental
Management",Environmental management,-,0.50,-,-,-,-,120,0
"Climate Change
Management",Climate change management,-,43.85,-,40.57,-,93,120,0
,Sub-Total,44.38,247.45,17.31,49.52,-,-,120,0
,Education and Technical Training,,,,,,,120,0
"General adminis-
tration and support
services","General Administration and
support services",306.55,-,137.20,-,45,-,120,0
,"Pre-primary infrastructure
development",-,63.21,-,4.85,-,8,120,0
,Pre-primary Quality control,-,24.98,-,-,-,-,120,0
,"VTC infrastructure develop-
ment",-,32.20,-,-,-,-,120,0
,"VCT Quality control and
support",-,101.87,-,-,-,-,120,0
,Sub-Total,306.55,222.39,137.20,4.85,-,-,120,0
,Department: Health and Sanitation,,,,,,,120,0
,,Rec,Dev,Rec,Dev,Rec,Dev,121,0
"General Admin-
istration and
support services","General Administration and
support services","1,805.60",-,788.37,-,44,-,121,0
,"Community and Environmen-
tal Health",-,131.60,-,2.90,-,2,121,0
,Health Services,-,91.78,-,4.59,-,5,121,0
,Sub-Total,"1,805.60",223.39,788.37,7.49,-,-,121,0
,"Department: Lands, Physical Planning, Housing and Urban Development",,,,,,,121,0
"General Adminis-
tration and Support
services","General Administration and
support services",56.47,-,27.05,-,50,-,121,0
,Energy,-,12.86,-,-,-,-,121,0
,Solid waste management,-,0.50,-,-,-,-,121,0
,"County public land manage-
ment",-,20.45,-,-,-,-,121,0
,Physical Planning,-,8.55,-,-,-,-,121,0
,Urban Infrastructure,-,313.42,-,-,-,-,121,0
,Sub- Total,56.47,355.78,27.05,,,,121,0
,"Department: Roads, Public Works and Transport",,,,,,,121,0
"General Adminis-
tration and support
services","General administration and
support services",108.37,-,55.89,-,52,-,121,0
Roads Improvement,Rural roads work,-,412.63,-,5.77,-,1,121,0
Public works,Public works,1.05,0.50,-,-,-,-,121,0
Transport Services,Transport services,2.64,-,-,-,-,-,121,0
,Sub Total,112.07,413.13,55.89,5.77,-,-,121,0
,"Department: Co-operatives, Trade, Industry, Tourism and Wildlife",,,,,,,121,0
"General adminis-
tration and support
services","General administration and
support services",68.90,-,28.30,-,41,-,121,0
,Co-operative development,-,23.90,-,-,-,-,121,0
,Tourism Development,-,1.92,-,-,-,-,121,0
,"Trade and Enterprise devel-
opment",0.10,253.21,-,-,-,-,121,0
,Sub Total,69.00,279.03,28.30,-,-,-,121,0
,"Department: Sports, Youth Affairs, ICT and Social Services",,,,,,,121,0
"General Adminis-
tration and support
services","General administration and
support services",44.84,-,17.01,-,38,-,121,0
,"Sports infrastructure devel-
opment",-,8.78,-,-,-,-,121,0
,Sports Talent promotion,-,25.21,-,-,-,-,121,0
,Social Empowerment,-,10.45,-,-,-,-,121,0
,Social protection,-,5.66,-,-,-,-,121,0
,Wezesha,-,21.89,-,-,-,-,121,0
,Sub Total,44.85,72.00,17.01,-,-,-,121,0
,Department: Public Service Management and County Administration,,,,,,,121,0
"General Adminis-
tration and support
services","General administration and
support services",37.50,8.50,,-,-,-,121,0
,ICT services,277.59,-,197.86,-,71,-,121,0
,"County administration and
Devolution",2.16,33.08,-,-,-,-,121,0
,Sub Total,317.25,41.58,197.86,-,-,-,121,0
,Department: County Public Service Board,,,,,,,121,0
