Department,"Revised Gross Bud-
get Allocation (Kshs.
Million)",col_2,"Exchequer
Received (Kshs.
Million)",col_4,"Expenditure
(Kshs.Million)",col_6,"Expenditure to
Exchequer Issues
(%)",col_8,"Absorption
rate (%)",col_10,page_number,table_index
,Rec,Dev,Rec,Dev,Rec,Dev,Rec,Dev,Rec,Dev,211,1
County Assembly,148.3,-,50.7,-,60.5,-,119,-,41,-,211,1
"Agriculture, Livestock,
Fisheries and Cooperatives",9.6,84.5,2.3,10.2,3.1,2.7,135,27,33,3,211,1
"County Public Service
Board",1.5,-,0.4,-,0.5,-,139,-,32,-,211,1
"Education, Science &
Technology",41.4,45.9,0.5,1,1.8,-,389,-,4,-,211,1
"Finance and Economic
Planning",50,5.6,17.5,3.8,10.1,3.6,58,95,20,64,211,1
Health Services,136.1,48.7,39.1,9.1,29,9.2,74,102,21,19,211,1
"ICT, E-government &
Communication",3.5,10,0.6,3.2,1,1.9,164,60,29,19,211,1
"Lands, Urban Areas, Hous-
ing, & Physical Planning",28,39.5,9.6,0.4,10.5,3.6,110,"1,002",38,9,211,1
Office of the Governor,29.5,1,13.1,0.2,7.6,-,58,-,26,-,211,1
"Public Service and Admin-
istration",685.7,11.1,338.1,1.9,330.8,0.1,98,7,48,1,211,1
"Infrastructure, Public
Works & Energy",4.9,162.5,1.2,44.3,0.2,33.4,14,76,3,21,211,1
177,,,,,,,,,,,211,1
