Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25
Rec Dev",col_3,"Actual Expenditure as of 31
December,2024",col_5,Absorption Rate (%),col_7,page_number,table_index,"Gross Approved Estimates FY
2024/25"
,,,Dev,Rec,Dev,Rec,Dev,360,1,
Office of the Governor,,,,,,,,360,1,
"Coordination
and Supervisory
Services","Office of the Governor-
Headquarters’","385,656,506","26,852,354","219,353,060","7,414,256",57,28,360,1,
,Transport Services,"75,477,181",-,"13,479,799",-,18,-,360,1,
,"Office of the County
Secretary","57,791,785","19,125,340","23,939,800",--,41,-,360,1,
,"Office of the County
Advisors","47,087,201",-,"14,970,947",-,32,-,360,1,
,"Human Resource and
Administration Services","72,083,109",-,"26,051,424",-,36,-,360,1,
,"Hospitality Services
Section","55,342,684",,"14,259,291",-,26,-,360,1,
,"Office of the Deputy
Governor","84,902,064","7,334,480","63,315,316",-,75,-,360,1,
,Cabinet Office,"19,005,239",-,"1,998,035",-,11,-,360,1,
,Sub-Total,"797,345,769","53,312,174","377,367,672","7,414,256",47,14,360,1,
County Public Service Board,,,,,,,,360,1,
,,,Dev,Rec,Dev,Rec,Dev,361,0,Rec
"Human Resource
and Adminis-
tration","Human Resource and
Administration",,"18,000,000","17,631,612",-,46,-,361,0,"38,013,709"
,Sub- Total,,"18,000,000","17,631,612",-,46,-,361,0,"38,013,709"
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,,,361,0,
"Roads and
Transport","General Administration
and Support Services",,"35,565,769","108,007,489",-,42,-,361,0,"257,730,520"
,"Road Development and
Maintenance",,"814,647,704","263,800","234,793,092",18,29,361,0,"1,505,000"
,County Fleet Management,,"115,719,621",,"44,657,960",-,39,361,0,-
Public Works,"County Government
Buildings Services",,"46,675,417","2,253,650","4,330,228",12,9,361,0,"18,080,000"
,Sub-Total,,"1,012,608,511","110,524,939","283,781,280",40,28,361,0,"277,315,520"
HEALTH SERVICES,,,,,,,,361,0,
"General Admin-
istration and
Support Services","General Administration
and Support Services",,"405,816,455","1,755,101,622","70,342,993",50,17,361,0,"3,544,357,190"
"Curative and
Rehabilitative
Health",Machakos Level 5,,"4,000,000","96,919,608","4,000,000",39,100,361,0,"246,379,350"
,Kangundo Level 4,,"12,000,000","32,991,811",-,72,-,361,0,"46,100,000"
,Matuu Level 4,,"24,000,000","30,821,855",-,80,-,361,0,"38,500,000"
,Kathiani Level 4,,"10,500,000","32,162,483",-,64,-,361,0,"50,500,000"
,Mwala Level 4,,"10,000,000","25,715,957",-,79,-,361,0,"32,500,000"
,Kimiti Level 4,,"6,000,000","18,211,621",-,69,-,361,0,"26,500,000"
,Masinga Level 4,,"3,000,000","27,770,225",-,83,-,361,0,"33,600,000"
,Athiriver Level 4,,"8,000,000","14,981,637",-,73,-,361,0,"20,500,000"
,Mutituni Level 4,,"6,000,000","14,978,747",-,73,-,361,0,"20,500,000"
,Ndithini Level 4,,"14,000,000","16,399,390",-,73,-,361,0,"22,500,000"
