Programme,Sub-Programme,"Revised Gross Approved Esti-
mates (Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"Representation and
Public Participation
Services","119,181,164",,"46,476,935.40",,39.0,,290,0
,Total,"271,698,814",,"111,445,235.40",,41.0,,290,0
,Sub Total,"1,008,619,656","100,000,000","402,539,092.55",,39.9,,290,0
,,Rec,Dev,Rec,Dev,Rec,Dev,291,0
County Public Service Board,,,,,,,,291,0
"General Adminis-
tration and Support
Services","General Adminis-
tration and Support
Services","41,760,033",,"13,210,936.35",,31.6,,291,0
,"Promotion of Values
and Principles","1,700,000",,"663,180",,39.0,,291,0
,"Human Resource
Recruitment and
Development","4,859,314",,"1,370,400",,28.2,,291,0
,Sub-Total,"48,319,347",,"15,244,516.35",,31.6,,291,0
"Education, Technical Training, Innovation and Social Service",,,,,,,,291,0
"Planning and Coordi-
nation Services","Planning and Coor-
dination Services","31,997,500",,"4,174,176",,13.0,,291,0
"Youth Polytechnics
Services","Youth Polytechnics
Services","33,500,000","7,800,000","850,200",,2.5,,291,0
"Youth Training
Facilities","Youth Training
Facilities","4,70,000","4,000,000","477,300",,11.7,,291,0
"Early Child Educa-
tion","Early Child Edu-
cation","253,272,500","83,600,000","113,305,150",,44.7,,291,0
"Youth Training and
Legislation","Youth Training and
Legislation","2,160,000","118,316,000","70,200","45,262,500",3.3,38.3,291,0
,Sub Total,"325,000,000","213,716,000","118,877,026","45,262,500",36.6,21.2,291,0
"Infrastructure, Energy and Public Works",,,,,,,,291,0
"Road Construction
and Maintenance","Road Construction
and Maintenance","40,000,000","760,126,000","17,890,400","837,113",44.7,0.1,291,0
Maintenance,Maintenance,"4,200,000","79,100,000",,,,,291,0
"Mechanical Engineer-
ing Services","Mechanical Engi-
neering Services","32,490,000",,"7,572,389",,23.3,,291,0
Public Works,Public Works,"1,750,000","150,000,000",,,,,291,0
"Administration
Planning","Administration
Planning","33,560,000",,"3,396,970",,10.1,,291,0
,Sub Total,"112,000,000","989,226,000","28,859,759","837,113",25.8,0.1,291,0
"Finance, Economic Planning and ICT Services",,,,,,,,291,0
"Urban Planning and
Development","Urban Planning and
Development","19,967,000","100,000,000","9,565,100",,47.9,,291,0
"General Administra-
tion and Planning","General Administra-
tion and Planning","75,900,000",,"23,570,905",,31.1,,291,0
"Administrative
Services","Administrative
Services","658,900,000","923,603,602","201,981,873.60","446,526,032.90",30.7,48.3,291,0
ICT Services,ICT Services,"39,000,000",,"18,743,256",,48.1,,291,0
"Internal Auditing
Services","Internal Auditing
Services","28,600,000",,"12,720,474",,44.5,,291,0
Asset Management,Asset Management,"8,810,000",,"1,273,680",,14.5,,291,0
"Budget Formulation
and Coordination
Services","Budget Formulation
and Coordination
Services","60,771,806",,"14,123,118",,23.2,,291,0
"Management of
Public Financial
Resources","Management of
Public Financial
Resources","16,000,000",,"6,429,000",,40.2,,291,0
Revenue Mobilisation,"Revenue Mobilisa-
tion","75,000,000",,"24,134,876",,32.2,,291,0
,,Rec,Dev,Rec,Dev,Rec,Dev,292,0
Statistics,Statistics,"9,575,000",,"2,978,933",,31.1,,292,0
"Monitoring and
Evaluation","Monitoring and
Evaluation","11,081,000",,"3,263,744",,29.5,,292,0
"Policy Formulation
and Planning","Policy Formulation
and Planning","28,947,903",,"10,304,161",,35.6,,292,0
,Sub Total,"1,032,552,709","1,023,603,602","329,089,120.60","446,526,032.90",31.9,43.3,292,0
"Trade, Tourism, Industry and Marketing",,,,,,,,292,0
"Trade Support Ser-
vices","Trade Support
Services","1,740,000","24,200,000","348,400",,20.0,,292,0
"Verification and Cal-
ibration of Weighing
Equipment","Verification and
Calibration of
Weighing Equip-
ment","2,625,000",,"806,685",,30.7,,292,0
"Tourist Event Man-
agement","Tourist Event Man-
agement","5,588,589",,"243,600",,4.4,,292,0
"Tourism Develop-
ment","Tourism Develop-
ment","3,177,337",,"635,200",,20.0,,292,0
"Cooperative Gover-
nance","Cooperative Gover-
nance","1,925,000",,"337,600",,17.5,,292,0
"Business Develop-
ment Services","Business Develop-
ment Services","827,208","150,000,000","96,200",,11.6,,292,0
"General Adminis-
tration and Support
Services","General Adminis-
tration and Support
Services","38,100,209",,"3,631,204",,9.5,,292,0
,Sub Total,"53,983,343","174,200,000","6,098,889",,11.3,,292,0
"Medical Services, Public Health and Sanitation",,,,,,,,292,0
"Policy Development
Disease Surveillance",Policy Development,"5,450,000",,,,,,292,0
,Disease Surveillance,"255,000",,"50,400",,19.8,,292,0
Reproductive Health,Reproductive Health,"450,000",,"37,800",,8.4,,292,0
"Governance and
Leadership","Governance and
Leadership","353,388,218",,"90,534,873.80",,25.6,,292,0
"Health Promotive
Services","Health Promotive
Services","32,578,766",,"12,603,790",,38.7,,292,0
"Jaramogi Oginga
Odinga Teaching and
Referral Hospital","Jaramogi Oginga
Odinga Teaching
and Referral Hos-
pital","650,000,000",,,,,,292,0
"Kisumu County
Referral Hospital","Kisumu County
Referral Hospital","59,870,067",,,,,,292,0
"County and Sub
County Hospital
Services","County and Sub
County Hospital
Services","110,321,698","123,650,000",,,,,292,0
"Routine Nutritional
Survey","Routine Nutritional
Survey","400,000",,,,,,292,0
,Sub Total,"1,212,713,749","123,650,000","103,226,863.80",,8.5,,292,0
"Sports, Culture, Gender and Youth Affairs",,,,,,,,292,0
"Planning and Coordi-
nation Services","Planning and Coor-
dination Services","44,430,711","43,500,000","15,363,861",,34.6,,292,0
"Physical Planning
Services","Physical Planning
Services","19,620,000",,"15,705,100",,80.0,,292,0
,,Rec,Dev,Rec,Dev,Rec,Dev,293,0
"Infrastructure Devel-
opment","Infrastructure De-
velopment","700,000",,"100,000",,14.3,,293,0
"Entrepreneurial
Training and Business
Management Skills","Entrepreneurial
Training and Busi-
ness Management
Skills","2,393,020",,"60,000",,2.5,,293,0
"Youth Training
Facilities","Youth Training
Facilities","4,828,000",,"497,400",,103,,293,0
"Gender and Disability
Mainstreaming","Gender and Disabil-
ity Mainstreaming","5,925,000",,"2,000,050",,33.8,,293,0
"Social Development
Facilities","Social Development
Facilities","498,000",,"19,800",,4.0,,293,0
Talent Development,Talent Development,"8,240,721",,"2,818,000",,34.2,,293,0
"Artistic Talent Devel-
opment","Artistic Talent De-
velopment","3,345,000",,"875,000",,26.2,,293,0
"Culture and Heritage
Development","Culture and Heri-
tage Development","3,400,000",,"1,574,400",,46.3,,293,0
,Sub Total,"93,380,452","43,500,000","39,013,611",,41.8,,293,0
"Water, Environment, Natural Resources and Climate Change",,,,,,,,293,0
"Planning and Admin-
istration","Planning and Ad-
ministration","26,582,019",,"5,364,743",,,,293,0
"Management of
Stations","Management of
Stations","34,950,658","521,034,321","6,747,189","14,339,500",,"2,8",293,0
Climate Change,Climate Change,"6,820,000",,"1,856,280",,,,293,0
Mining Efficiency,Mining Efficiency,"385,160",,"12,000",,,,293,0
"Infrastructure Devel-
opment","Infrastructure De-
velopment","1,264,071",,"439,300",,,,293,0
"Sustainable Access to
Safe Water","Sustainable Access
to Safe Water","2,817,208",,,,,,293,0
"Water Resources and
Sewerage Services","Water Resourc-
es and Sewerage
Services","5,329,763","94,400,000","627,000",,,,293,0
"Solid Waste Manage-
ment","Solid Waste Man-
agement","4,148,760",,"937,896",,,,293,0
"Environment Con-
servation of Natural
Resources","Environment Con-
servation of Natural
Resources","275,800",,"79,600",,,,293,0
Pollution Control,Pollution Control,"1,410,700",,"100,000",,7.1,,293,0
,Sub Total,"83,984,139","615,434,321","16,164,008","14,339,500",19.2,2.3,293,0
"Public Service, County Administration and Participatory Development",,,,,,,,293,0
"Resource Mobilisa-
tion","Resource Mobili-
sation","43,940,000",,"9,411,816",,21.4,,293,0
"Resource Develop-
ment","Resource Develop-
ment","6,163,000",,"1,247,350",,20.2,,293,0
"Primary Policy and
Legislation","Primary Policy and
Legislation","142,003,600",,"65,604,463",,46.2,,293,0
"Development and
Management of
County Administra-
tive","Development and
Management of
County Adminis-
trative","43,927,168",,"10,094,803",,23.0,,293,0
"Administration and
Formulation of Coun-
ty Policy","Administration
and Formulation of
County Policy","20,000,000",,"5,849,801",,29.2,,293,0
259,,,,,,,,293,0
