Programme,Sub-Programme,"Gross Approved
Estimates FY 2024/25
(Kshs.Million)",col_3,"Actual Expenditure as
of 31st December 2024
(Kshs.Million)",col_5,"Absorption
Rate ()",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,319,0
Finance and Economic Planning,,,,,,,,319,0
102003060,,,,,,,,319,0
,"102053060 - General administration and support
services",169.51,715.40,43.75,204.87,26,29,319,0
,102063060 - Personnel Services,74.71,,79.58,,107,-,319,0
,"102073060 - Urban Development Support
Services",17.50,,0.00,,-,-,319,0
105003060,LAND MANAGEMENT FOR SUSTAINABLE DEVELOPMENT,,,,,,,319,0
,"105013060 - Establishment of squatter settle-
ment schemes",5.75,-31.28,0.00,0.00,-,-,319,0
,"105033060 - Identification and acquisition of
land for development",,-4.00,,0.00,-,-,319,0
106003060,FOREST DEVELOPMENT AND ENVIRONMENTAL MANAGEMENT,,,,,,,319,0
,"106023060 - County Environmental Awareness
Initiative",4.60,41.53,0.00,4.65,-,11,319,0
107003060,CROP DEVELOPMENT AND MANAGEMENT,,,,,,,319,0
,107013060 - Crop Production and Food Security,0.87,96.45,0.00,65.33,-,68,319,0
,"107023060 - Agricultural Extension, Research
and Training",0.18,,0.00,,-,-,319,0
,"107033060 - Farm Land Utilization, Mechaniza-
tion and Crop Storage",6.04,7.00,0.10,4.22,2,60,319,0
108003060,LIVESTOCK DEVELOPMENT AND MANAGEMENT,,,,,,,319,0
,108013060 - Dairy and Meat Production,0.72,,0.00,,-,-,319,0
,"108023060 - Value Addition of Livestock and
Livestock Products",,10.69,,0.00,-,-,319,0
,108033060 - Livestock Disease Control,0.19,-12.45,0.05,0.00,27,-,319,0
109003060,FISHERIES DEVELOPMENT,,,,,,,319,0
,109013060 - Fish Production Management,0.26,,0.05,,19,-,319,0
,109023060 - Value Addition and Marketing,,3.06,,0.00,-,-,319,0
111003060,-,,,,,,,319,0
,111013060 - kwale municipality,0.00,84.46,0.00,57.62,-,68,319,0
112003060,-,,,,,,,319,0
,112013060 - Diani Municipality,0.00,62.78,0.00,36.57,-,58,319,0
202003060,INFRASTRUCTURE AND PUBLIC WORKS,,,,,,,319,0
,"202013060 - Rehabilitation of Roads, Drainage
and Bridges",,-102.86,,0.00,-,-,319,0
203003060,COUNTY ELECTRIFICATION,,,,,,,319,0
,"203013060 - Installation of Street Lighting
Facilities",,-21.10,,0.00,-,-,319,0
301003060,TRADE DEVELOPMENT PROGRAMME,,,,,,,319,0
,"301013060 - Building capacity of traders for
better market access",5.10,1.60,0.47,0.00,9,-,319,0
,301033060 - Market infrastructure development,,-1.00,,0.00,-,-,319,0
,,Rec,Dev,Rec,Dev,Rec,Dev,320,0
,"301043060 - Enforcement of Weights & Mea-
sures Act",1.69,,0.29,,17,-,320,0
302003060,INVESTMENT PROMOTION FOR TRADE EXPANSION,,,,,,,320,0
,302023060 - Investment publicity and promotion,3.01,,0.22,,7,-,320,0
304003060,TOURISM DEVELOPMENT,,,,,,,320,0
,304013060 - Tourism promotion,1.74,-31.50,0.45,0.00,26,-,320,0
