"Department/Programme/Sub-Pro-
gramme","Gross Approved Estimates FY
2024/25 (Kshs.Million)",col_2,"Actual Expenditure
as of 31st December
2024 (Kshs.Million)",col_4,Absorption Rate (%),col_6,page_number,table_index
,Rec,Dev,Rec,Dev,Rec,Dev,651,1
"County Government Advisory Ser-
"Athletics Championships & Other
Games",2.45,,,,0,-,654,0
Talent Search & Promotion,30.41,70.00,12.48,,41,-,654,0
Youth & Sports,36.89,70.00,12.48,,34,-,654,0
"Culture, Arts & Social Services",28.13,5.00,14.62,,52,-,654,0
Culture & Arts Promotion,28.13,5.00,14.62,,52,-,654,0
Tourism Dev. & Promotion,3.08,,,,0,-,654,0
"Tourism Promotion & Infrastructure
Dev.",1.07,,,,0,-,654,0
Miss Tourism Tharaka Nithi,2.00,,,,0,-,654,0
Culture & Tourism,31.20,5.00,14.62,,47,-,654,0
Financial Management Services,13.76,,0.71,,5,-,654,0
Resource Mobilization & Management,13.76,,0.71,,5,-,654,0
Resource Mobilization,102.57,7.00,46.81,,46,-,654,0
Revenue Admin,102.57,7.00,46.81,,46,-,654,0
Revenue & Resource Mobilization,116.33,7.00,47.52,,41,-,654,0
Land Policy & Planning,51.97,50.00,19.12,,37,-,654,0
Physical Planning Services,44.79,50.00,17.98,,40,-,654,0
Land Admin & management,7.17,,1.14,,16,-,654,0
"Lands, Physical Planning & Housing",51.97,50.00,19.12,,37,-,654,0
"Livestock & Fisheries Resource Man-
agement & Dev.",21.00,14.81,5.39,,26,-,654,0
Fisheries Dev. & Promotion,21.00,14.81,5.39,,26,-,654,0
Fisheries & Ecosystem Dev.,21.00,14.81,5.39,,26,-,654,0
Gender & Youth Empowerment,28.60,10.00,9.10,,32,-,654,0
"Gender, Youth & Women Empowerment",28.60,10.00,9.10,,32,-,654,0
"Gender, Children & Social Services",28.60,10.00,9.10,,32,-,654,0
Energy Resource Dev. & Management,37.10,10.00,16.65,2.56,45,26,654,0
Energy Resource Dev. & Management,37.10,10.00,16.65,2.56,45,26,654,0
Industrial Dev. & Investment,15.73,250.00,0.46,,3,-,654,0
Industrial Dev.,6.23,250.00,0.20,,3,-,654,0
"Consumer Protection & Fair Trade
Practices",9.50,,0.27,,3,-,654,0
"Trade, Investment Promotion, Energy
& Industry",52.83,260.00,17.11,2.56,32,1,654,0
"General Admin, Planning and Support Services",294.95,55.71,88.70,,30,-,654,0
Office of the Clerk,294.95,55.71,88.70,,30,-,654,0
Legislation and Oversight,269.34,,115.15,,43,,654,0
County Assembly Legislation Services,197.86,,82.45,,42,-,654,0
"Coordination Services (Office of the
Speaker)",15.60,,5.50,,35,,654,0
"Procedure and Oversight Services
(Committees)",55.88,,27.20,,49,,654,0
Total – County Assembly,564.29,55.71,203.84,,36,-,654,0
Grand Total,"4,098.68","2,383.49","1,888.92",337.45,46,15,654,0
