Programme,Sub-Programme,Approved Budget FY 2024/25,col_3,"Actual Half-Year Expenditure FY
2024/25",col_5,Absorption %,col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",664,0
"Agriculture, Livestock",,"249,215,280","441,064,718","78,120,986",-,31,-,664,0
Crop Development,,-,"441,064,718",-,-,,-,664,0
,Crop Diversification,,"321,099,639",,-,,-,664,0
,"Post-harvest manage-
ment and value addition",,"119,965,079",,-,,-,664,0
"Administrative And Support
Services",,"249,215,280",-,"78,120,986",-,31,,664,0
,"Administrative And
Support Services","249,215,280",,"78,120,986",,31,,664,0
"Trade, Commerce and Industry",,"44,619,504","92,280,000","19,895,808",-,45,-,664,0
Medium and small Enterprises,,-,"92,280,000",-,-,,-,664,0
,"Medium and small
Enterprises",,"92,280,000",,-,,-,664,0
"Administrative And Support
Services",,"44,619,504",-,"19,895,808",-,45,,664,0
,"Administrative And
Support Services","44,619,504",,"19,895,808",,45,,664,0
"Water, Environment and Natural
Resources",,"69,511,861","478,039,329","28,645,012","32,381,870",41,7,664,0
"Environment management and
protection",,-,"478,039,329",-,"32,381,870",,7,664,0
,Waste Management,,"478,039,329",,"32,381,870",,7,664,0
"Administrative And Support
Services",,"69,511,861",-,"28,645,012",-,41,,664,0
,"Administrative And
Support Services","69,511,861",,"28,645,012",,41,,664,0
Public Works,,"107,894,296","103,427,938","34,704,762",-,32,-,664,0
"Road Construction and Road
Maintenance",,-,"103,427,938",-,-,,-,664,0
,Maintenance of Roads,,"103,427,938",,-,,-,664,0
"Administrative And Support
Services",,"107,894,296",-,"34,704,762",-,32,-,664,0
,"Administrative And
Support Services","107,894,296",,"34,704,762",,32,,664,0
"Lands, Housing and Urban
Planning",,"61,966,726","746,607,634","9,661,366","27,105,228",16,4,664,0
"Administrative And Support
Services",,"61,966,726","746,607,634","9,661,366","27,105,228",16,4,664,0
,"Administrative And
Support Services","61,966,726","746,607,634","9,661,366","27,105,228",16,4,664,0
"Gender, Sports, Culture and
Tourism",,"161,516,309","335,692,556","27,196,248","47,911,818",17,14,664,0
"Cultural development and
promotion",,-,"335,692,556",-,"47,911,818",,14,664,0
,Culture development,,"335,692,556",,"47,911,818",,14,664,0
"Administrative And Support
Services",,"161,516,309",-,"27,196,248",-,17,,664,0
,"Administrative And
Support Services","161,516,309",,"27,196,248",,17,,664,0
Public Service Management,,"602,729,518","249,025,000","136,398,007","35,856,788",23,14,664,0
Infrastructure Development,,-,"249,025,000",-,"35,856,788",,14,664,0
,"Supervision and Man-
agement of Projects",,"249,025,000",,"35,856,788",,14,664,0
"Administrative And Support
Services",,"602,729,518",-,"136,398,007",-,23,,664,0
,"Administrative And
Support Services","602,729,518",,"136,398,007",,23,,664,0
Education and ICT,,"667,997,575","159,251,863","190,645,691","22,493,756",29,14,664,0
"Vocational Training Develop-
ment",,-,"159,251,863",-,"22,493,756",,14,664,0
,"Vocational Training
Development",,"159,251,863",,"22,493,756",,14,664,0
"Administrative And Support
Services",,"667,997,575",-,"190,645,691",-,29,,664,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",665,0
,"Administrative And
Support Services","667,997,575",,"190,645,691",,29,,665,0
Finance,,"609,229,731","728,724,218","314,757,668","642,172,714",52,88,665,0
"Administrative and Support
Services",,"609,229,731","728,724,218","314,757,668","642,172,714",52,88,665,0
,"Supervision and Man-
agement of Projects",,"728,724,218",,"642,172,714",,88,665,0
,"Administrative And
Support Services","609,229,731",,"314,757,668",,52,,665,0
Governance,,"209,709,141","38,820,571","26,996,380",-,13,-,665,0
Infrastructure Development,,-,"38,820,571",-,-,,-,665,0
,"Supervision and Man-
agement of Projects",,"38,820,571",,-,,-,665,0
"Administrative And Support
Services",,"209,709,141",-,"26,996,380",-,13,,665,0
,"Administrative And
Support Services","209,709,141",,"26,996,380",,13,,665,0
County Public Service Board,,"62,204,964","10,495,000","10,048,323",-,16,-,665,0
Governance and County Values,,-,"10,495,000",-,-,,-,665,0
,"Infrastructure Devel-
opment",,"10,495,000",,-,,-,665,0
"Administrative And Support
Services",,"62,204,964",-,"10,048,323",-,16,,665,0
,"Administrative And
Support Services","62,204,964",,"10,048,323",,16,,665,0
Health Corporate,,"2,302,550,904","162,972,217","866,960,491",-,38,-,665,0
"Administrative and Support
Services",,"2,302,550,904","162,972,217","866,960,491",-,38,-,665,0
,"Preventive Health
Services",,"162,972,217",,-,,-,665,0
,"Administrative And
Support Services","2,302,550,904",,"866,960,491",,38,,665,0
Economic Planning,,"30,334,500","7,000,000","899,900",-,3,-,665,0
"County Research and Develop-
ment Planning",,-,"7,000,000",-,-,,-,665,0
,"County Development
Planning Services",,"7,000,000",,-,,-,665,0
"Administrative And Support
Services",,"30,334,500",-,"899,900",-,3,,665,0
,"Administrative And
Support Services","30,334,500",,"899,900",,3,,665,0
Municipality Board of Kitale,,"20,716,324","212,378,528","2,164,943",-,10,-,665,0
"Administrative And Support
Services",,"20,716,324","212,378,528","2,164,943",-,10,-,665,0
,"Administrative And
Support Services","20,716,324","212,378,528","2,164,943",-,10,-,665,0
County Attorney,,"121,945,126",-,"3,987,165",-,3,,665,0
"Administrative And Support
Services",,"121,945,126",-,"3,987,165",-,3,,665,0
,"Administrative And
Support Services","121,945,126",-,"3,987,165",-,3,,665,0
"Roads, Transport and Infra-
structure",,"23,900,000","575,135,712","21,876,247",-,92,,665,0
"Administrative And Support
Services",,"23,900,000","575,135,712","21,876,247",-,92,,665,0
,"Administrative And
Support Services","23,900,000","575,135,712","21,876,247",-,92,,665,0
County Assembly,,"724,153,000","110,650,000","213,261,650","43,162,354",29,39,665,0
"Administrative And Support
Services",,"724,153,000","110,650,000","213,261,650","43,162,354",29,39,665,0
,"Administrative And
Support Services","724,153,000","110,650,000","213,261,650","43,162,354",29,39,665,0
,Grand Total,"6,070,194,759","4,451,565,284","1,986,220,646","851,084,528",33,19,665,0
