Programme,Sub-Programme,"Revised Gross Approved
Estimates (Kshs.Million)",col_3,"Actual Expenditure
(Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,150,0
"Department of Agriculture, Livestock & pastoral",,,,,,,,150,0
"Programme
1: Agricul-
ture","CSP 1.1 Agriculture Administra-
tion & Support Services",91.58,233.08,13.50,13.35,15,6,150,0
,"CSP 1.2 Crop production and
value chains",1.20,,,,-,,150,0
,"CSP 1.3 Agricultural Mechaniza-
tion Services",,37.20,,,,-,150,0
,Sub Total,92.78,270.28,13.50,13.35,15,5,150,0
"Programme
2: Livestock
Pastoral
Economy","Sub- CSP 2.1 Livestock Adminis-
tration and Support Service",47.18,177.50,21.00,,45,-,150,0
,CSP 2.2 Livestock Production,2.55,,,,-,,150,0
,"CSP 2.3 Livestock Value Chains
Development","500,000",,,,,,150,0
,CSP 2.4 Veterinary Service,3.35,30.00,,,-,-,150,0
,Sub Total,53.08,207.50,21.00,0.00,40,-,150,0
"CP3: Fish
Production",CSP 3.1 Fisheries services,0.20,,,,-,,150,0
"CP 4: Coop-
eratives","CSP 4.1 Cooperatives Develop-
ment",0.60,,,,-,,150,0
"Department Culture, Gender, Youth & Sports",,,,,,,,150,0
"Programme
1. Admin-
istration
and support
services","Sub-programme 1.1 Administra-
tion and Support Services",65.94,,12.00,,18,,150,0
"Programme
2. Gender
and social
services","Sub-programme 2.1 Social Pro-
tection,",1.03,76.00,,4.48,-,6,150,0
,"Sub-programme 2.2 Gender and
Women Empowerment",,,,,,,150,0
"Programme
3. Cultural
Promotion","Sub-programme 3.1 Promotion
and preservation of culture and
Heritage",,,,,,,150,0
"Programme
4. Youth and
Sport Devel-
opment","Sub-programme 4.1 Youth devel-
opment",0.50,,,,-,,150,0
,"Sub-programme 4.2 Sports &
Talent Development",3.26,107.00,,,-,-,150,0
,Sub-Total,3.76,107.00,0.00,0.00,-,-,150,0
"Department Roads, Transport and Public Works",,,,,,,,150,0
"Programme
1 Admin-
istration
and support
services","Sub-programme 1.1 Administra-
tion and Services",75.65,65.00,27.50,49.40,36,76,150,0
"Programme
2 Road and
transport",Sub-programme 2.1 Roads,1.67,341.51,,1.21,-,0,150,0
,Sub-programme 2.2 Transport,1.50,,,,-,,150,0
,Sub-Total,3.17,341.51,0.00,1.21,-,0,150,0
,,Rec,Dev,Rec,Dev,Rec,Dev,151,0
"Programme
3 Public
works
&housing",Sub-programme 3.1 Public Works,6.00,44.00,,31.50,-,72,151,0
"Department of Education, Information and ICT",,,,,,,,151,0
"Programme
1: General
Adminis-
tration and
support
services","Sub-programme 1.1 Administra-
tion and Support Services",348.19,,186.08,,53,,151,0
"Programme
2. Education
Develop-
ment",Sub-programme 2.1 E.C.D,24.23,157.10,10.00,6.60,41,4,151,0
,"Sub-programme 2.2 Vocational
Training",3.00,,,,-,,151,0
,Sub-Total,27.24,157.10,10.00,6.60,37,4,151,0
"Programme
3. ICT,
Information
and Librar-
ies","Sub-programme 3.1 ICT, Informa-
tion and Libraries",10.08,,1.50,,15,,151,0
"Department Lands, Physical Planning and Urban Development",,,,,,,,151,0
"Programme
1: Adminis-
tration","Sub-programme 1.1: urban Ad-
ministration & Support Services",345.97,,177.51,,51,,151,0
"Programme
2: Lands
& physical
planning","Sub-programme 2.1: Lands Ser-
vices",7.00,,,,-,,151,0
,"Sub-programme 2.2: Physical
Planning",7.45,50.00,1.00,16.03,13,32,151,0
,Sub-Total,14.45,50.00,1.00,16.03,7,32,151,0
"Programme
3: Urban
Develop-
ment","Sub-programme 3.1: Urban Devel-
opment and Infrastructure",1.50,,,,-,,151,0
,"Sub-programme 3.2 Urban Disas-
ter and Risk Management",6.11,60.00,,,-,-,151,0
,"Sub-programme 3.3 Urban Sanita-
tion Services",0.90,,,,-,,151,0
,Sub-Total,8.51,60.00,0.00,0.00,-,-,151,0
Department Finance & Economic Planning,,,,,,,,151,0
"Programme
1: Admin-
istration
and Support
Services","Sub-programme 1.1 Administra-
tion and Support Services",902.68,150.00,436.34,91.11,48,61,151,0
,"Sub-programme 1.2 Special Pro-
grammes",304.91,,,,-,,151,0
,Sub-Total,"1,207.59",150.00,436.34,91.11,36,61,151,0
"Programme
2: Public
Finance
Manage-
ment","Sub-programme 2.1 Accounting
Services",3.71,,,,-,,151,0
,"Sub-programme 2.2 Budget For-
mulation",8.89,,,,-,,151,0
,Sub-programme 2.3 Audit Services,5.36,,,,-,,151,0
,"Sub-programme 2.4 Revenue
Management",9.31,,,,-,,151,0
,"Sub-programme 2.5 Supply Chain
Management",7.63,,,,-,,151,0
,Sub-Total,34.90,,,,,,151,0
,,Rec,Dev,Rec,Dev,Rec,Dev,152,0
"Programme
3: Economic
planning","Sub-programme 3.1 Planning and
M&E",11.73,,,,-,,152,0
,"Sub-programme 3.2 Statistics and
Research",4.50,,,,-,,152,0
,Sub-Total,16.23,,,,-,,152,0
Department of Health & Sanitation,,,,,,,,152,0
"Programme
1: Gover-
nance, quali-
ty assurance
and support
services","Sub-programme 1.1 Administra-
tion And Support Services","2,628.77",420.50,906.67,121.53,35,29,152,0
,"Sub-programme 1.2 Health Infor-
mation Systems",5.00,,,,-,,152,0
,"Sub-programme 1.3 policy Re-
search and planning",5.00,,,,-,,152,0
,,"2,638.77",420.50,906.67,121.53,34,29,152,0
"Programme
2: Curative
Services, Re-
habilitative
and Referal
services","Sub-programme 2.1 Health prod-
ucts and technologies",208.50,,69.83,,34,,152,0
,"Sub-programme 2.2 Rehabilitative
services",11.50,,,,-,,152,0
,"Sub-programme 2.3 Referral and
Emergency Services",54.26,,,,-,,152,0
,Sub-Total,274.26,0.00,69.83,0.00,25,,152,0
"Programme
3: Preventive
and pro-
motive and
RMNCH
services","Sub-programme 3.1: Maternal,
newborn, child health and nutri-
tion services",11.08,,,,-,,152,0
,"Sub-programme 3.2: Preventive
and Promotive Health Services",11.62,,,,-,,152,0
,Sub-Total,22.69,0.00,0.00,0.00,-,,152,0
"Department Trade, Investments and Enterprise Development",,,,,,,,152,0
"Programme
1: Admin-
istration
and Support
Services","Sub-programme 1.1 Administra-
tion And Support Services",90.35,350.00,20.00,181.92,22,52,152,0
"Programme
2: micro
and small
enterprises
develop-
ment","Sub-programme 2.1 micro and
small enterprises development",1.40,20.00,,,-,-,152,0
,"Sub-programme 2.1 micro and
small enterprises development",0.75,,,,-,,152,0
,Sub-Total,2.15,20.00,0.00,0.00,-,-,152,0
"Programme
3. Industri-
alisation and
Investment
Programme","Sub-programme 3.1 Industrializa-
tion and Investment Programme",1.40,100.00,,,-,-,152,0
"Programme
4: Tourism","Sub-programme 4.1 Tourism
Development",1.40,,,,-,,152,0
"Department of Water, Environment and Natural Resources",,,,,,,,152,0
"Programme
1: Water
Services","Sub-programme 1.1 Administra-
tion and Support Services",128.31,310.00,48.00,77.63,37,25,152,0
