Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure as of
31 December 2023 (Kshs.
Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,636,1
Department County Assembly,,,,,,,,636,1
,"Speakers, legislation and proce-
dural",360.13,-,165.21,-,46,,636,1
,Sub Total,360.13,-,165.21,-,46,,636,1
,"Speakers and County Assembly
Service Board",21.40,,,,,,636,1
,,,,,,,,636,1
,Sub-Total,21.40,-,-,-,13,,636,1
,"Clerks office, Development
projects",351.51,273.75,142.31,3.77,41,1,636,1
,Sub-Total,351.51,273.75,142.31,3.77,41,1,636,1
Grand Total,,733.04,273.75,307.52,3.77,,,636,1
,,Rec,Dev,Rec,Dev,Rec,Dev,637,0
"Executive Services
sub","Program 1. General Administra-
tion, support and planning",323.71,,49.38,-,15,,637,0
,Program 2: Executive Services,110.26,,80.00,-,73,,637,0
,"sub program 3: County leader-
ship & coordination of CDAs",46.00,,30.20,,66,,637,0
,"sub program 4: County Govern-
ment Advisory Service",49.50,,12.20,,25,,637,0
,"Programme 5: Coordination of
peace and cohesion",29.50,,13.39,-,45,,637,0
,Total,558.97,-,185.17,-,33,,637,0
Finance and Economic planning,,,,,,,,637,0
"Public Finance Man-
agement","Program 1: General Adminis-
tration, Planning and Support
Services",208.21,,105.00,-,50,,637,0
,Public Finance Management,81.41,,56.00,-,69,,637,0
,Own Source revenue collection,21.62,,8.00,-,37,,637,0
,"Economic planning and Bud-
geting",33.63,,7.00,-,21,,637,0
,Accounting & Finance,43.79,,12.01,,27,,637,0
,"Supply chain management
services",20.70,,0.50,,2,,637,0
,Internal Audit,12.78,,0.40,,3,,637,0
,Monitoring and Evaluation,17.98,,0.70,-,4,,637,0
,PFM Enhancement,5.79,,,-,0,,637,0
,Development,,673.48,,262.66,,39,637,0
,Grand Total,445.91,673.48,189.62,262.66,43,39,637,0
County Public Service Board,,,,,,,,637,0
,"Programme 1: General Admin-
istration, Planning and Support
Services",68.38,-,13.72,-,20,,637,0
,"Programme 2:Ethics, Governance
And Compliance",2.51,,1.04,,41,,637,0
,"Programme 3:Skills and compe-
tency development",2.25,-,1.00,-,44,,637,0
,"Programme 4: Human Resource
Management and Development",4.16,-,2.50,-,60,,637,0
,Grand Total,77.30,-,18.26,-,24,,637,0
"Trade, Tourism and co-operative development",,,,,,,,637,0
,"General administration, planning
and support",20.00,,11.76,,59,,637,0
,Promotion of trade and tourism,10.00,,,,0,,637,0
,"Trade, weights and measures",0.50,,,,0,,637,0
