Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,Absorption Rate (%),col_7,page_number,table_index
"Youth Affairs,
Sports and Com-
munication",Youth Affairs,"11,000,000",-,"1,655,000",-,15,-,238,0
,Sports,"53,500,000",-,"4,325,900",-,8,-,238,0
,Communication,"17,000,000",-,"731,692",-,4,-,238,0
,"General Adminis-
tration","93,052,827",-,"27,685,467",-,30,-,238,0
,Youth Empowerment,-,"40,000,000",-,-,-,-,238,0
,"Improvement of
Sports Infrastructure",-,"130,000,000",-,"12,374,340",-,10,238,0
,,"174,552,827","170,000,000","34,398,059","12,374,340",20,7,238,0
"DEPARTMENT: LAND, HOUSING, PHYSICAL PLANNING, MUNICIPAL ADMINISTRATION & URBAN DEVELOPMENT",,,,,,,,238,0
"Urban Areas
Development &
Administration","Urban Areas
Administration and
Management","135,000,000","1,958,136,816","16,149,030",-,12,-,238,0
"General
Administra-
tion, Planning
and Support
Services","General adminis-
tration and support
services","227,518,169",-,"84,019,091",-,37,-,238,0
"Land Use Man-
agement, Valu-
ation & Rating
and Physical
Planning","Land Administration
services","40,000,000","14,428,865",-,-,-,-,238,0
"Housing and
Community
Development","Housing Develop-
ment",-,"860,543,092",-,"2,175,000",-,-,238,0
"GRAND TO-
TAL",,"402,518,169","2,833,108,773","100,168,121","2,175,000",25,-,238,0
"DEPARTMENT: KIAMBU COUNTY TRADE, INDUSTRIALIZATION, TOURISM & INVESTMENT",,,,,,,,238,0
Programme 1,"General Administra-
tion, Planning and
Support Services","158,808,604",,"29,634,572",,19,-,238,0
,Trade and Markets,,"274,000,000",,"65,307,973",-,24,238,0
,"Tourism promotion
and marketing",,"9,176,300",,-,-,-,238,0
,Industrialisation,,"20,000,000",,-,-,-,238,0
,Investment,,"10,000,000",,-,-,-,238,0
,Sub Total,"158,808,604","313,176,300","29,634,572","65,307,973",19,21,238,0
Grand Total,,"15,409,914,691","8,164,839,430","5,203,542,022","1,054,523,774",34,13,238,0
