Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,104,0
Smart agriculture,,,,,,,,104,0
"Programme 1.
General adminis-
tration & support
services",,"281, 770, 906",0,"81, 006, 354",0,,,104,0
,"SP. 1. General admin-
istration & support
services.","281, 770, 906",0,"81, 006, 354",0,28.2,0,104,0
Programme 19.,,0,"690, 036, 465",0,"255, 705, 531",,,104,0
,"SP. 1. Production Pro-
ductivity & Probability",0,"242, 100, 000",0,"52, 423, 743",0,21.7,104,0
,"SP. 2. Market develop-
ment",0,"32, 000, 000",0,"11, 498, 625",0,35.7,104,0
,"SP. 3. Farm resource
organisation & manage",0,"9, 000, 000",0,0,0,0,104,0
,SP. 4. NAVCDP grant,0,"250, 000, 000",0,"123, 270, 864",0,49.3,104,0
,"SP. 5. Kenya agriculture
BDP grant",0,"95, 000, 000",0,"45, 085, 755",0,47.4,104,0
,"SP. 6. Aquaculture busi-
ness development prog",0,"23, 436, 465",0,"11, 372, 000",0,48.5,104,0
,"SP. 7. Kenya livestock
commercialisation prog",0,"38, 500, 000",0,"12, 054, 544",0,31.3,104,0
,Subtotal,"281, 770, 906","690, 036, 465","81, 006, 354","255, 705, 531",28.7,37.1,104,0
"Department of Trade, Cooperatives, Tourism and Industry",,,,,,,,104,0
"Programme 1. Policy
General adminis-
tration",,"83, 356, 894",0,"7, 373, 681",0,,,104,0
,"SP. 1. General adminis-
tration & support service","83, 356, 894",0,"7, 373, 681",0,8.8,0,104,0
Programme 10.,,0,"56, 120, 000",0,"38, 884, 020",,,104,0
,SP. 1. MSME promotion,0,"3, 000, 000",0,0,0,0,104,0
,"SP. 2. Market modernisa-
tion & development",0,"53, 120, 000",0,"38, 884, 020",0,73.2,104,0
Programme 11.,,0,"5, 000, 000",0,"2, 500, 000",0,,104,0
,"SP. 1. Weights and
measures",0,"5, 000, 000",0,"2, 500, 000",0,50.0,104,0
Programme 13,,0,"48, 500, 000",0,"24, 739, 576",,,104,0
,"SP. 1. Cooperative devel-
opment",0,"48, 500, 000",0,"24, 739, 576",0,51.0,104,0
,Subtotal,"83, 356, 894","109, 620, 000","7, 373, 681","66, 123, 596",8.8,60.3,104,0
Department of Education and Vocational Training.,,,,,,,,104,0
"Programme 1. Gen-
eral admin & support
services",,"721, 344, 017",0,"221, 595, 261",0,,,104,0
,"SP. 1. General adminis-
tration & support service","721, 344, 017",0,"221, 595, 261",0,30.7,0,104,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,105,0
Programme 2. ECDE,,0,"41, 640, 000",0,0,0,,105,0
,"SP. 4. ECDE Infrastruc-
ture development",0,"33, 100, 000",0,0,0,0,105,0
,"SP. 5. ECDE learning
materials",0,"3, 540, 000",0,0,0,0,105,0
,"SP. 6. Inclusive educa-
tion for disabled learners",0,"5, 000, 000",0,0,0,0,105,0
Programme 3.,,0,"72, 400, 000",0,0,0,,105,0
,"SP. 2. VTCs infrastruc-
ture development",0,"72, 400, 000",0,0,0,0,105,0
,Sub-Total,"721, 344, 017","114, 040, 000","221, 595, 261",0,30.7,0,105,0
Department of Finance and Economic Planning,,,,,,,,105,0
"Programme 1. Gen-
eral admin, policy &
support services",,"736, 223, 114",0,"202, 030, 947",0,,,105,0
,"SP. 1. General adminis-
tration & support service","736, 223, 114",0,"202, 030, 947",0,27.4,0,105,0
Programme 2.,,0,"5, 000, 000",0,0,0,,105,0
,"SP. 4. Resource mobil-
isation",0,"5, 000, 000",0,0,0,0,105,0
Programme 10.,,0,"4, 000, 000",0,0,0,,105,0
,SP. 1. Statistics,0,"4, 000, 000",0,0,0,0,105,0
,Sub-Total,"736, 223, 114","9, 000, 000","202, 030, 946",0,27.4,0,105,0
"Department of youths, culture, Sports and social services",,,,,,,,105,0
"Programme 1. Gen-
eral admin & support
services",,"174, 222, 448",0,"48, 384, 563",0,0,,105,0
,"SP. 1. General adminis-
tration & support service","174, 222, 448",0,"48, 384, 563",0,27.8,0,105,0
Programme 3.,,0,"2, 000, 000",0,0,0,,105,0
,"SP. 1. Youth enterprise
and empowerment",0,"2, 000, 000",0,0,0,0,105,0
Programme 4.,,0,"30, 300, 000",0,0,0,,105,0
,"SP. 3 Sports promotion
& infrastructure develop",0,"30, 300, 000",0,0,0,0,105,0
Programme 8.,,0,"5, 000, 000",0,0,0,,105,0
,"SP. 2. Tourism promo-
tion & development",0,"5, 000, 000",0,0,0,0,105,0
,Subtotal,"174, 222, 448","38, 300, 000","48, 384, 563",0,27.8,0,105,0
"Department of Roads, transport and public works.",,,,,,,,105,0
"Programme 1. Gen-
eral admin & support
services",,"157, 697, 446",0,"9, 869, 850",0,,,105,0
,"SP. 1. General admin-
istration & support
services","157, 697, 446",0,"9, 869, 850",0,6.3,0,105,0
Programme 3.,,0,"5, 000, 000",0,0,,,105,0
,"SP. 3. Alternative trans-
port development",0,"5, 000, 000",0,0,0,0,105,0
Programme 9.,,0,"514, 900, 000",0,"196, 849, 298",,,105,0
,"SP. 1. Road infrastruc-
ture development",0,"514, 900, 000",0,"196, 849, 298",0,38.2,105,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,106,0
Programme 10.,,0,"9, 700, 000",0,0,,,106,0
,"SP. 2. Mechanical and
fabrication workshop",0,"9, 700, 000",0,0,0,,106,0
,Subtotal,"157, 697, 446","529, 600, 000","9, 869, 850","196, 849, 298",6.3,37.1,106,0
Department of Public Service Management.,,,,,,,,106,0
"Programme 4. Gen-
eral admin & support
services.",,"581, 267, 482",0,"131, 546, 202",0,,,106,0
,"SP. 1. General adminis-
tration & support service","581, 267, 482",0,"131, 546, 202",0,22.6,0,106,0
,Subtotal,"581, 267, 482",0,"131, 546, 202",0,22.6,0,106,0
"Department of Lands, housing and urban development.",,,,,,,,106,0
Programme 1.,,"145, 734, 770",0,"28, 368, 860",0,,,106,0
,"SP. 1. General admin-
istration & support
services","145, 734, 770",0,"28, 368, 860",0,19.5,0,106,0
Programme 7.,,0,"24, 000, 000",0,0,,,106,0
,"SP. 2. Housing develop-
ment",0,"20, 000, 000",0,0,0,0,106,0
,"SP. 3. Housing manage-
ment",0,"4, 000, 000",0,0,0,0,106,0
Programme 17.,,0,"21, 750, 000",0,0,,,106,0
,"SP. 2. Land use adminis-
tration and management",0,"21, 750, 000",0,,0,0,106,0
Programme 18.,,0,"28, 500, 000",0,0,,,106,0
,"SP. 1. Urban manage-
ment",0,"21, 000, 000",0,0,0,0,106,0
,"SP. 2. Urban infrastruc-
ture development & mgt",0,"7, 500, 000",0,0,0,0,106,0
,Subtotal,"145, 734, 770","74, 250, 000","28, 368, 860",0,19.5,0,106,0
"Department of Water, environment, irrigation, natural resources and climate change.",,,,,,,,106,0
Programme 1.,,"136, 125, 655",0,"10, 736, 793",0,,,106,0
,"SP. 1. General admin-
istration & support
services","136, 125, 655",0,"10, 736, 793",0,7.9,0,106,0
Programme 4.,,0,"230, 950, 000",0,"32, 092, 134",,,106,0
,"SP. 3. Urban water infra-
structure development",0,"20, 000, 000",0,0,0,0,106,0
,"SP. 4. Rural water infra-
structure development",0,"210, 950, 000",0,"32, 092, 134",0,15.2,106,0
Programme 6.,,0,"11, 600, 000",0,0,,,106,0
,"SP. 2. Afforestation and
Agro- forestation",0,"5, 000, 000",0,0,0,0,106,0
,"SP. 3. Catchment & wa-
tershed conservation",0,"6, 600, 000",0,0,0,0,106,0
Programme 7.,,0,"486, 101, 083",0,"46, 840, 140",,,106,0
,"SP. 1. Climate change
mitigation & resilience",0,"486, 101, 083",0,"46, 840, 140",0,9.6,106,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,107,0
Programme 8.,,0,"57, 400, 000",0,0,0,,107,0
,"SP. 1. Irrigation infra-
structure development",0,"5, 000, 000",0,0,0,0,107,0
,"SP. 2. Irrigation farmer
& institution support",0,"2, 000, 000",0,0,0,0,107,0
,"SP. 3. Renewable energy
technology",0,"13, 500, 000",0,0,0,0,107,0
,"SP. 4. Rural electrifica-
tion",0,"36, 900, 000",0,0,0,0,107,0
,Subtotal,"136, 125, 655","786, 051, 083","10, 736, 793","78, 932, 274",7.9,10.0,107,0
Department of Health Services.,,,,,,,,107,0
Programme 1.,,"2,051,873,319",0,"697, 298, 515",0,,,107,0
,"S.P. 1. General admin-
istration & support
services","2,051,873,319",0,"697, 298, 515",0,34.0,0,107,0
Programme 5.,,0,"241, 000, 000",0,"21, 379, 798",,,107,0
,"SP. 1. Diagnostic
services in higher-level
facility",0,"10, 000, 000",0,"7, 991, 978",0,80.0,107,0
,"SP. 3. Infrastructure
development tier 3
facilities",0,"191, 000, 000",0,"5, 299, 495",0,2.8,107,0
,"SP. 4. Ambulance and
referral services",0,"15, 000, 000",0,0,0,0,107,0
,"SP. 5. Higher level hos-
pital equipment",0,"25, 000, 000",0,"8, 088, 325",0,32.4,107,0
Programme 6.,,0,"137, 300, 000",0,"4, 384, 810",0,,107,0
,"SP. 8. Infrastructure de-
velopment in tier 2 level",0,"132, 900, 000",0,0,0,0,107,0
,"SP. 9. Lower-level hospi-
tal equipment",0,"4, 400, 000",0,"4, 384, 810",0,99.7,107,0
,Subtotal,"2,051,873,319","378, 300, 000","697, 298, 515","25, 764, 608",34.0,6.8,107,0
Department of County Public Service Board.,,,,,,,,107,0
Programme 1.,,"119, 308, 935",0,"27, 635, 302",0,,,107,0
,"SP. 1. General admin-
istration & support
services","119, 308, 935",0,"27, 635, 302",0,23.2,0,107,0
,Subtotal,"119, 308, 935",0,"27, 635, 302",0,23.2,0,107,0
Department of Office of the Governor.,,,,,,,,107,0
Programme 1.,,"296, 330, 901",0,"93, 107, 687",0,,,107,0
,"SP. 1. General admin-
istration & support
services","296, 330, 901",0,"93, 107, 687",0,31.4,0,107,0
Programme 14.,,0,"28, 000, 000",0,0,0,0,107,0
,"S.P. 1. Disaster prepared-
ness",0,"28, 000, 000",0,0,0,0,107,0
,Subtotal,"296, 330, 901","28, 000, 000","93, 107, 687",0,31.4,0,107,0
Department of County Assembly.,,,,,,,,107,0
