Programme,Sub-Programme,"Approved Estimates
2024-25 (Kshs.Million)",col_3,"Actual Expenditure as of 31
December 2024 (Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Eldama Ravine
Town Services","Infrastructure develop-
ment",,96.51,,,0,,58,0
"Eldama Ravine
Town Services","SP 1: General Administra-
tive Services",33.33,,,,0,,58,0
"Agricultural
Services","SP 1: Primary Health Care
Services",177.39,125.29,10.06,13.69,6,11,58,0
"Livestock
resources man-
agement and
development","SP 1: Curative and Rehabil-
itative Services",358.71,,167.86,,47,,58,0
"Milk Process-
ing Plant-Elda-
ma Ravine",,,,,,,,58,0
"Kabartonjo
Milk Cooling
Plant","Infrastructural develop-
ment",,134.00,,,,,58,0
"Livestock Sale-
yards","SP 1: General Administra-
tive Services",25.13,,2.09,,8,,58,0
"Slaughterhous-
es Maintain-
ance","SP 2: General Administra-
tive Services",5.16,,1.54,,30,,58,0
"Livestock
resources man-
agement and
development","Land Policy and Planning
Services",,17.65,,,,,58,0
"Livestock
Resources
management
and develop-
ment",Land Survey Services,,6.20,,,,,58,0
"Barwessa
Slaughter
House","SP 1: General Administra-
tion Planning and Support
Services",4.54,15.17,,,0,,58,0
"Livestock
Resources
management
and develop-
ment","Infrastructure develop-
ment",,,,,,,58,0
"Crop pro-
duction and
management","SP 1: General Administra-
tive Services",6.00,,,,0,,58,0
"Crop pro-
duction and
management","Land Adjudication Ser-
vices",,,,,,,58,0
"Crop Produc-
tion & Manage-
ment","Land adjudication and
demarcation",,15.50,,,,,58,0
,,Rec,Dev,Rec,Dev,Rec,Dev,59,0
"Support to
ATC Services","Cabro Parking Kabarnet
Hospital Road For Waenta
Enterprises Limited",,1.72,,,,,59,0
"Agricultural
Machinery","General Administration
Planning and Support
Services",36.28,,,,,,59,0
"Conditional
Grants for
provision of
Fertiliser subsi-
dy programme","Sanitation & waste man-
agement",,,,,,,59,0
"IDA World
Bank (KCSAP)","Urban Safety and Disaster
Control Services",,,,,,,59,0
"Matching fund
to IDA World
Bank (KCSAP)","Infrastructure develop-
ment",,,,,,,59,0
"SWEDEN: Ag-
ricultural Sec-
tor Develop-
ment Support
Programme
(ASDSP) II","Urban Infrastructure
development and manage-
ment",,,,,,,59,0
"World Bank
Emergency Lo-
custs Project","Sanitation and waste man-
agement",,2.50,,,,,59,0
"Certified pas-
ture and maise","Infrastructure develop-
ment",,5.00,,,,,59,0
"Purchase of
Mangoes,
Macadamia
and Coffee
Seedlings","SP !: General Administra-
tion and Planning",37.78,,6.69,,,,59,0
"Cattle Dips
and Animal
Vaccinations",Livestock upgrading,,61.65,-,,,,59,0
"Cooperative
stores","Completion of Milk Pro-
cessing Plant",,,,,,,59,0
Motor Boats,"Construction of Ossen
Milk Cooling Plant",,,,,,,59,0
,"Maintenance of Livestock
Sale Yards- Emining, Lo-
ruk and Loitip",,,,,,,59,0
,"Maintainance of slaughter-
houses and slabs",,,,,,,59,0
,"Livestock market and value
addition",,4.50,,,,,59,0
"Fisheries de-
velopment and
management","Livestock disease manage-
ment and control",,25.10,,,,,59,0
"Culture, Youth
and Gender",Apiculture development,,4.00,,,,,59,0
"Social Services
and Safety nets",Pasture Development,,4.53,,,,,59,0
"Social Services
and Safety nets","Agriculture Training Cen-
tre Koibatek",,36.00,,,,,59,0
,,Rec,Dev,Rec,Dev,Rec,Dev,60,0
"Cultural and
Creative Arts
Development",Food security initiatives,,326.12,,34.97,,11,60,0
"Gender devel-
opment and
management",Affruitation,,19.25,,,,,60,0
"Youth, Sports
and Gender
Development",Support to ATC Services,,,,,,,60,0
"Sports Devel-
opment and
Management",Purchase of Tractor,,,,,,,60,0
"Culture and
Creative Arts
Development","Conditional Grants for
provision of Fertiliser
subsidy programme",,,,,,,60,0
"Culture and
Creative Arts
Development",IDA World Bank (KCSAP),,132.11,,,,,60,0
"Gender devel-
opment and
management","Matching fund to IDA
World Bank (KCSAP)",,,,,,,60,0
"Youth Devel-
opment and
Management","SWEDEN: Agricultural
Sector Development Sup-
port Programme (ASDSP)
II",,61.84,,,,,60,0
"Youth Devel-
opment and
Management","World Bank Emergency
Locusts Project",,,,,,,60,0
,"Provision of pastures and
maise seeds",,,,,,,60,0
"Water and
Irrigation
Department","Purchase of Mangoes,
Macadamia and Coffee
Seedlings for Mochongoi",,,,,,,60,0
"Water resource
development
and supplies
management",Renovations of Cattle Dips,,,,,,,60,0
"Irrigation
infrastructure
development","Construction of Coopera-
tive stores",,,,,,,60,0
"Environment,
Tourism, Wild-
life Manage-
ment, Natural
Resources and
Mining",Purchase of motorboats,,,,,,,60,0
"Environmental
Conservation
and Manage-
ment",,,,,,,,60,0
"Natural
Resources
Conservation,
Exploitation
and Manage-
ment",,,,,,,,60,0
,,Rec,Dev,Rec,Dev,Rec,Dev,61,0
"Environmental
conservation
and manage-
ment",,,,,,,,61,0
"Environmental
Conservation
and Manage-
ment","Fish breeding cages at Lake
Baringo and Kirandich
Dam",,,,,,,61,0
"Natural
Resources
Conservation,
Exploitation
and Manage-
ment","P1: General Administra-
tion, Planning and Support
Services",20.94,,7.37,,,,61,0
"Climate
Change Fund
Projects","Affirmative Action Initia-
tives",,44.53,,,,,61,0
"P1: Kabarnet
Municipality
Services","Infrastructure Develop-
ment",,,,,,,61,0
,"Culture, Heritage and
Social activities",2.00,,0.05,,,,61,0
,Gender Development,4.10,,12.62,,,,61,0
"County Public
Service Board","SP 1: General Administra-
tive Services",7.31,,3.57,,,,61,0
,Sports Development,11.64,17.85,-,,,,61,0
,"Infrastructural develop-
ment",,4.00,,2.42,,61,61,0
,"Infrastructural develop-
ment-social Halls",,,,,,,61,0
,"Gender Initiatives-Women
Empowerment",,28.26,,,,,61,0
,Youth Development,1.50,25.55,,,,,61,0
,"Infrastructural develop-
ment-Playing Grounds",,,,,,,61,0
"Water and
Irrigation
Department","SP 1: General Administra-
tive Services",29.88,,3.58,,3,,61,0
,"Water resource manage-
ment and storage",6.50,628.13,,14.50,3,2,61,0
,Irrigation Infrastructure,0.30,29.11,0.85,41.98,,144,61,0
"Environment
Administration
and Planning","SP 1: General Administra-
tive Services",8.60,,1.69,,,,61,0
"Environment
Conservation
and Manage-
ment","SP1: Environmental con-
servation and protection",0.70,5.00,5.94,-,,,61,0
"Natural
Resources
Conservation,
Exploitation
and Manage-
ment","SP1: Forestry and wildlife
conservation, Mining and
Management",0.70,,,,,,61,0
"Environmental
Conservation
and Manage-
ment",Solid Waste management,,,,,,,61,0
,"County climate change
fund -Matching fund",,55.00,,45.64,,83,61,0
