Programme,Sub-Programme,"Gross Approved Esti-
mates (Kshs.Million)",col_3,"Actual Expenditure as
of 31 December 2024
(Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"Aquaculture Technology Develop-
ment & Innovation Transfer",0.00,2.50,0.00,-,∞,-,185,0
,"Fish Safety Assurance Value Addi-
tion & Marketing",0.00,4.50,0.00,-,∞,∞,185,0
,Sub-Total,8.30,7.00,2.30,,28,-,185,0
,Total,175.08,363.57,75.32,22.00,43,6,185,0
"EDUCATION, VOCATIONAL YOUTH, SPORTS GENDER & SOCIAL SERVICES",,,,,,,,185,0
"Provision of
education and
training ser-
vices","General Administration & Sup-
port Services",176.65,38.34,144.23,-,82,-,185,0
,ECDE Retention,26.00,-,9.00,,35,∞,185,0
,Education Support Services,70.00,-,0.00,-,-,∞,185,0
,Quality ECDE Services,1.38,-,0.00,-,-,∞,185,0
,ECDE Access,0.00,-,,-,∞,∞,185,0
,Sub-Total,274.03,38.34,153.23,-,56,-,185,0
,,Rec,Dev,Rec,Dev,Rec,Dev,186,0
"Youth, Sports
and Gender","Sports Performance & Manage-
ment",18.46,29.59,3.13,-,17,-,186,0
,"General Administration Planning
& Support",0.00,-,0.00,,∞,∞,186,0
,Youth Development,7.30,-,2.78,-,38,∞,186,0
,Sports Facilities Development,0.00,-,,-,∞,∞,186,0
,Sub-Total,25.76,29.59,5.91,-,23,-,186,0
"Culture and
social services","Administration & Support Ser-
vices",23.88,12.00,0.93,-,4,-,186,0
,Arts & Culture Development,0.57,1.09,0.10,-,18,∞,186,0
,Sub-Total,24.45,13.09,1.03,-,4,-,186,0
"Gender Main-
streaming","Gender-Based Violence & Harm-
ful Practices",1.53,-,0.00,,-,∞,186,0
,Women Empowerment,0.00,-,0.00,-,∞,∞,186,0
,Child Protection,0.00,19.00,,2.00,∞,11,186,0
,Sub-Total,1.53,19.00,0.00,2.00,-,11,186,0
"Disability Em-
powerment","PWDs Social-Economic Empow-
erment",4.90,-,0.00,-,-,∞,186,0
,Sub-Total,4.90,0.00,0.00,-,-,∞,186,0
"Cultural and
Arts Empower-
ment",TVET Access & Retention,9.22,6.00,0.00,-,-,-,186,0
,VTC Quality Development,1.72,4.50,0.00,2.18,-,48,186,0
,"Secondary & Tertiary Education
Support",0.00,-,,-,∞,∞,186,0
,Sub-Total,10.94,10.50,0.00,2.18,-,21,186,0
,Total,341.61,110.52,160.17,4.18,47,4,186,0
TOURISM CULTURE AND SOCIAL SERVICES,,,,,,,,186,0
"Tourism Pro-
motion","Tourism Promotion and Market-
ing",103.92,,42.87,,41,∞,186,0
,Tourism Development,0.00,5.00,0.00,-,∞,-,186,0
,Wildlife Protection,0.00,3.50,0.00,-,∞,-,186,0
,Sub-Total,103.92,8.50,42.87,-,41,-,186,0
"Trade devel-
opment and
promotion","Entrepreneurship and business
management training",0.00,6.50,0.00,-,∞,-,186,0
,"General Administration & Sup-
port Services",8.97,,2.56,,29,∞,186,0
,"Cooperative Development &
Management",5.04,,1.24,,25,∞,186,0
,Development of new market stalls,0.00,-,0.00,-,∞,∞,186,0
,Sub-Total,14.01,6.50,3.80,-,27,-,186,0
"Peace and Unity
Building Initia-
tives","General Administration Planning
& Support Services",500.76,,205.35,,41,∞,186,0
,County Administration,0.00,,0.00,,∞,∞,186,0
,"Public Service Productivity &
Reforms",2.79,,0.77,,27,∞,186,0
,"Performance Management Frame-
work",0.00,4.00,0.00,-,∞,∞,186,0
,Devolved Units,71.50,157.50,11.66,-,16,∞,186,0
,Sub-Total,575.05,161.50,217.78,-,38,-,186,0
,,Rec,Dev,Rec,Dev,Rec,Dev,187,0
"Civic Education
& Public Partic-
ipation","General Administration Planning
& Support Services",5.12,-,2.50,,49,∞,187,0
,Civic Education,3.23,,0.97,,30,∞,187,0
,Public Participation,1.41,-,0.00,,-,∞,187,0
,Customer Service,0.60,,0.00,,-,∞,187,0
,Sub-Total,10.35,0.00,3.47,-,,"∞
34",187,0
,Total,703.33,176.50,267.92,-,38,-,187,0
WATER AND IRRIGATION,,,,,,,,187,0
"Water Supply
and Storage
Services","Procurement of survey equipment
& accessories",39.71,,11.63,,29,∞,187,0
,"Rural Water Supply & Storage
Services",0.00,117.44,0.00,-,∞,-,187,0
,Rural Water Services Governance,1.05,-,0.00,0.73,-,∞,187,0
,"Adaptive Capacity to Natural
Disaster",7.22,-,0.00,,-,∞,187,0
,Sub-Total,47.98,117.44,11.63,0.73,24,1,187,0
"Climate Change
Mitigation &
Adaptation","General Administration & Sup-
port Services",27.49,-,6.58,,24,∞,187,0
,"Enabling Legal & Implementation
Frameworks",0.00,-,0.00,,∞,∞,187,0
,Inclusive Climate Resilience,0.60,-,0.18,,31,∞,187,0
,Climate Smart Practices,0.00,180.00,0.00,27.30,∞,15,187,0
,Sub-Total,28.09,180.00,6.76,27.30,24,15,187,0
"Conservation
of Environment
& Natural Re-
sources","Administration and Support
Services",0.00,-,0.00,,∞,∞,187,0
,"Sustainable Natural Resources
Exploitation",3.60,2.00,0.48,-,13,-,187,0
