Programme,"Sub-Pro-
gramme",Gross Approved Estimates,col_3,Actual Expenditure,col_5,Absorption Rate (%),col_7,page_number,table_index
"County Office Accommodation
Enforcement Services","County Office
Accommodation
Enforcement
Services","27,913,943",-,"11,675,313",-,42,-,422,0
Human Resource,"Human Re-
source","5,411,279,181","104,997,298","2,721,515,867","51,637,357",50,49,422,0
"Legal Representation, Advisory
Services and Legislative Process","Legal Represen-
tation, Advisory
Services and
Legislative
Process","38,832,064",-,"17,971,600",-,46,-,422,0
"Town Management & Adminis-
tration","Town Manage-
ment & Admin-
istration","600,000",-,-,-,-,-,422,0
Sub-Total,,"5,566,857,664","104,997,298","2,759,633,850","51,637,357",50,49,422,0
"ROADS, TRANSPORT & ENERGY",,,,,,,,422,0
General Administration-Roads,"General Admin-
istration-Roads","25,750,170","1,151,673,306","6,942,384","168,699,712",27,15,422,0
Infrastructure,Infrastructure,"6,400,000","15,000,000","1,632,200",-,,,422,0
Public Works,Public Works,"8,750,000",-,"848,786",-,10,-,422,0
Sub-Total,,"40,900,170","1,166,673,306","9,423,370","168,699,712",23,15,422,0
"TRADE, TOURISM & COOPERATIVE DEVELOPMENT",,,,,,,,422,0
Co-operatives Development,"Co-operatives
Development","5,930,000","39,570,000","2,312,061",-,39,-,422,0
Tourism,Tourism,"11,472,228",-,"1,136,600",-,10,-,422,0
Trade,Trade,"7,930,000","408,115,664","1,874,000","230,068,957",24,56,422,0
Sub-Total,,"25,332,228","447,685,664","5,322,661","230,068,957",21,51,422,0
YOUTH AFFAIRS & SPORTS,,,,,,,,422,0
Youth Affairs Programme,"Youth Affairs
Programme","5,606,422","10,463,868","1,515,300","1,943,210",27,19,422,0
Sports Development,"Sports Develop-
ment","19,670,000","100,870,000","14,304,400",-,73,-,422,0
Meru Youth Service,"Meru Youth
Service","10,000,000",-,"3,559,469",-,36,-,422,0
Gender Mainstreaming,"Gender Main-
streaming","9,455,000",-,"2,855,700",-,30,-,422,0
Sub-Total,,"44,731,422","111,333,868","22,234,869","1,943,210",50,2,422,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,422,0
Headquarters,Headquarters,"44,119,478",-,"17,222,806",-,39,-,422,0
Sub-Total,,"44,119,478",-,"17,222,806",-,39,-,422,0
Grand Total,,"8,949,919,962","4,972,431,870","4,028,772,195","786,054,561",45,16,422,0
