Programme,Sub- Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Payments of FY
2024-25 (Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,260,1
County Assembly,,,,,,,,260,1
Legislation and Oversight,"Legislation and Over-
sight",705.61,146.84,298.51,29.15,42%,20%,260,1
Sub Total,,705.61,146.84,298.51,29.15,42%,20%,260,1
County Executive,,,,,,,,260,1
"Office of the Governor and
Deputy Governor","070601 County Execu-
tive Services",335.59,0.00,109.98,0.00,33%,,260,1
"County Executive Admin-
istration","070701County Execu-
tive Services",0.00,6.00,0.00,0.00,,0%,260,1
"Management of County
Affairs","070801 Coordination
of County Functions",140.73,0.00,40.62,0.00,29%,,260,1
,,Rec,Dev,Rec,Dev,Rec,Dev,261,0
"County Executive Commit-
tee Affairs","070901 Organisation
of County Business",6.20,0.00,0.66,0.00,11%,,261,0
"County Public Service
Board","071001 Human Re-
source Management",14.91,0.00,4.18,0.00,28%,,261,0
"Administrative Support
Services","020202 ICT Gover-
nance",3.48,0.00,0.98,0.00,28%,,261,0
,"020701 Government
Buildings Services",2.57,0.00,0.78,0.00,31%,,261,0
,"070411 Audit Com-
mittee",2.42,0.00,0.00,0.00,0%,,261,0
,"070412 County En-
forcement Activities",3.69,0.00,0.04,0.00,1%,,261,0
,"070413 ICT Infra-
structure Development
Management",10.96,0.00,3.40,0.00,31%,,261,0
,"070414 ICT Systems
Development Manage-
ment",1.52,0.00,0.30,0.00,20%,,261,0
Sub Total,,522.06,6.00,160.94,0.00,31%,0%,261,0
Finance and Economic Planning,,,,,,,,261,0
"Public Finance Manage-
ment","070401 Finance Ser-
vices",586.51,145.76,275.97,0.00,47%,0%,261,0
,"070402 Revenue
Services",19.30,0.00,5.30,0.00,27%,,261,0
,"070404 Procurement
and Supply Services",9.77,0.00,5.17,0.00,53%,,261,0
,"070405 Internal Audit
Services",1.72,0.00,0.49,0.00,28%,,261,0
,"070408 Budget Formu-
lation, Coordination
and Management",9.05,0.00,2.63,0.00,29%,,261,0
,"070409 Accounting
Services",7.45,0.00,2.36,0.00,32%,,261,0
"County Planning and Eco-
nomic Policy Management","070501 Economic
Planning Services",26.85,0.00,6.43,0.00,24%,,261,0
Sub Total,,660.64,145.76,298.35,0.00,45%,0%,261,0
Medical Services and Public Health,,,,,,,,261,0
"Curative and Rehabilitative
Services","040301 Curative and
Rehabilitative Services","2,180.80",570.57,754.46,117.76,35%,21%,261,0
Sub Total,,"2,180.80",570.57,754.46,117.76,35%,21%,261,0
Education,,,,,,,,261,0
Basic Education,"050101 General Ad-
ministration",383.13,0.00,82.75,0.00,22%,,261,0
,"050102 Free Pre- Pri-
mary Education",6.68,0.00,0.57,0.00,8%,,261,0
"State Education Function
Support","050203 Tertiary Edu-
cation",0.00,20.88,0.00,0.00,,0%,261,0
