Program,Sub Programme,Description,"Approved
Budget
(Kshs.)","Actual Expen-
diture
(Kshs.)","Absorption
(%)",page_number,table_index,col_6
,3260,,,,,616,1,
,103003260,"Infrastructure Development
programme",-,-,-,616,1,
,101003260,"Administration Planning and
Support Services",-,-,-,616,1,
,701003260,"General Administration support
services",-,-,-,616,1,
3261000100,,"County Assembly Headquar-
ters","859,520,871","328,038,179",38,616,1,
,702003260,"County Assembly Infrastructure
improvement",-,-,0,616,1,
,701003260,"General Administration support
services","789,520,871","312,308,330",40,616,1,
,708003260,"Legislation, Oversight & Repre-
sentation","70,000,000","15,729,849",22,616,1,
3262000100,,Headquarters,"432,346,946","259,212,853",60,616,1,
,3260,,,,,616,1,
,701003260,"General Administration support
services","432,346,946","259,212,853",60,616,1,
,704003260,"General Administration and
Management of County Affairs",-,-,0,616,1,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,616,1,
,705003260,"Leadership Development Pro-
gramme",-,-,0,617,0,
3262000200,,"Taveta Sub County Adminis-
tration","2,120,000","43,056",2,617,0,
,705003260,"Leadership Development Pro-
gramme",-,-,0,617,0,
,701003260,"General Administration support
services",-,-,0,617,0,
,709003260,Devolved governance,"2,120,000","43,056",2,617,0,
3262000300,,"Wundanyi Sub County Admin-
istration","1,850,000",-,0,617,0,
,701003260,"General Administration support
services",-,-,0,617,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,0,617,0,
,709003260,Devolved governance,"1,850,000",-,0,617,0,
3262000400,,"Mwatate Sub County Admin-
istration","1,943,000","31,500",2,617,0,
,709003260,Devolved governance,"1,943,000","31,500",2,617,0,
,701003260,"General Administration support
services",-,-,-,617,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,617,0,
3262000500,,"Voi Sub County Administra-
tion","2,364,000","29,500",1,617,0,
,701003260,"General Administration support
services",-,-,0,617,0,
,709003260,Devolved governance,"2,364,000","29,500",1,617,0,
3262000600,,Taveta Town Administration,-,-,-,617,0,
,701003260,"General Administration support
services",-,-,-,617,0,
,705003260,"Leadership Development Pro-
gramme",-,-,-,617,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,617,0,
3262000700,,Voi Town Administration,-,"- 28,000",-,617,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,617,0,
,705003260,"Leadership Development Pro-
gramme",-,-,-,617,0,
,701003260,"General Administration support
services",-,"- 28,000",-,617,0,
3262000800,,County Policing Authority,-,-,-,617,0,
,701003260,"General Administration support
services",-,-,-,617,0,
3262000900,,Human Resource Management,"11,316,000","583,936",5,617,0,
,701003260,"General Administration support
services","11,316,000","583,936",5,617,0,
3262001000,,,"20,000,000","2,013,210",10,617,0,
,701003260,"General Administration support
services","20,000,000","2,013,210",10,617,0,
3262001100,,,"3,360,000",-,-,617,0,
,701003260,"General Administration support
services",-,-,-,618,0,
,709003260,Devolved governance,"3,360,000",-,-,618,0,
3262001200,,"Kenya Devolution Support
Program","37,500,000",-,-,618,0,
,701003260,"General Administration support
services","37,500,000",-,-,618,0,
3263000100,,Headquarters,"278,239,987","112,136,149",40,618,0,
,712003260,"Special programmes & Service
Delivery","9,350,000","349,999",4,618,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,618,0,
,705003260,"Leadership Development Pro-
gramme",-,-,-,618,0,
,704003260,"General Administration and
Management of County Affairs",-,"- 81,000",-,618,0,
,701003260,"General Administration support
services","262,639,987","109,320,876",42,618,0,
,710003260,"Leadership & Coordination of
county affairs","6,250,000","2,546,274",41,618,0,
3263000200,,Office of the Deputy Governor,"13,160,000","2,894,376",22,618,0,
,701003260,"General Administration support
services","13,160,000","2,894,376",22,618,0,
,101003260,"Administration Planning and
Support Services",-,-,-,618,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,618,0,
,705003260,"Leadership Development Pro-
gramme",-,-,0,618,0,
3263000300,,Special Programmes Unit,"22,100,000","2,563,732",12,618,0,
,712003260,"Special programmes & Service
Delivery","22,100,000","2,563,732",12,618,0,
,705003260,"Leadership Development Pro-
gramme",-,-,-,618,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,618,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,618,0,
3263000400,,Service Delivery Unit,"1,200,000","292,732",24,618,0,
,704003260,"General Administration and
Management of County Affairs",-,-,0,618,0,
,712003260,"Special programmes & Service
Delivery","1,200,000","292,732",24,618,0,
3263000500,,Industrialisation,-,-,-,618,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,618,0,
,705003260,"Leadership Development Pro-
gramme",-,-,-,618,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,618,0,
3263000600,,ICT,"8,300,000","250,250",3,618,0,
,703003260,"Decentralised Infrastructure
Development Programme",-,-,-,618,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,619,0,
,701003260,"General Administration support
services","8,300,000","250,250",3,619,0,
,705003260,"Leadership Development Pro-
gramme",-,-,0,619,0,
3263000700,,,"3,600,000","321,800",9,619,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,619,0,
,710003260,"Leadership & Coordination of
county affairs","3,600,000","321,800",9,619,0,
3263000800,,,"3,870,000","83,038",2,619,0,
,710003260,"Leadership & Coordination of
county affairs","3,870,000","83,038",2,619,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,619,0,
3263000900,,,"23,120,000","2,672,200",12,619,0,
,704003260,"General Administration and
Management of County Affairs",-,-,-,619,0,
,710003260,"Leadership & Coordination of
County Affairs","23,120,000","2,672,200",12,619,0,
3264000100,,Headquarters,"190,787,852","88,576,288",46,619,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,"- 425,610",0,619,0,
,701003260,"General Administration support
services","190,787,852","89,001,898",47,619,0,
,707003260,"Treasury Development Pro-
gramme",-,-,-,619,0,
3264000200,,County Emergency Fund,"15,000,000",-,-,619,0,
,707003260,"Treasury Development Pro-
gramme",-,-,-,619,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,619,0,
,701003260,"General Administration support
services","15,000,000",-,-,619,0,
3264000300,,"Equalisation of Wards Infra-
structure",-,-,-,619,0,
,707003260,"Treasury Development Pro-
gramme",-,-,-,619,0,
3264000400,,Planning,"31,126,448","8,027,924",26,619,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,619,0,
,707003260,"Treasury Development Pro-
gramme",-,-,-,619,0,
,713003260,Public Finance Management,"23,754,781","4,826,924",20,619,0,
,714003260,"Economic Policy Formulation &
management","7,371,667","3,201,000",43,619,0,
3264000500,,Gratuity Fund,-,-,-,619,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,620,0,
3264000700,,"County Executive Adminis-
tration","15,000,000","7,450,000",50,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,0,620,0,
,701003260,"General Administration support
services","15,000,000","7,450,000",50,620,0,
3264000800,,Internal Audit Services,"10,470,000","2,077,189",20,620,0,
,713003260,Public Finance Management,"10,470,000","2,077,189",20,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,0,620,0,
3264000900,,Revenue Management,"27,000,000","6,206,709",23,620,0,
,713003260,Public Finance Management,"27,000,000","6,206,709",23,620,0,
,701003260,"General Administration support
services",-,-,0,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,0,620,0,
3264001000,,Procurement,"8,000,000","1,438,349",18,620,0,
,713003260,Public Finance Management,"8,000,000","1,438,349",18,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,0,620,0,
3264001100,,Accounting Services,"19,600,000","7,656,447",39,620,0,
,713003260,Public Finance Management,"19,600,000","7,656,447",39,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,620,0,
,701003260,"General Administration support
services",-,-,-,620,0,
3264001200,,"Kenya Devolution Support
Programme",-,-,-,620,0,
,701003260,"General Administration support
services",-,-,-,620,0,
,706003260,"General Administration, Plan-
ning, Internal Audit & Support
Services",-,-,-,620,0,
