Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 31
December 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",389,1
"Agriculture, Livestock and Fisheries",,,,,,,,389,1
"General Adminis-
tration & Support
Services","General Ad-
ministration &
Support Services","183,998,598",-,"68,948,156",-,37,-,389,1
"Livestock Resourc-
es Management
and Development","Livestock
Resources
Management and
Development","78,250,000","105,823,301","8,800,000","47,823,301",11,45,389,1
"Food Security
and Sustainable
Agriculture","Crop Man-
agement and
Development","62,900,000","427,399,967","41,625,000","80,916,025",66,19,389,1
"Irrigation De-
velopment and
Management","Irrigation De-
velopment and
Management","24,200,000","111,325,484","4,600,000","41,109,998",19,37,389,1
,Sub Total,"349,348,598","644,548,752","123,973,156","169,849,324",35,26,389,1
Land and Urban Development,,,,,,,,389,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",390,0
"General Adminis-
tration & Support
Services","General Ad-
ministration &
Support Services","69,153,340",-,"30,005,256",-,43,-,390,0
"Land Use Plan-
ning and Survey","Land Use Plan-
ning and Survey","41,550,000","48,926,640","17,800,000","20,002,600",43,41,390,0
"Physical Planning
housing and urban
development","Physical Planning
housing and
urban develop-
ment","4,200,000","528,208,000","1,105,800","202,039,000",26,44,390,0
"Solid Waste Man-
agement","Solid Waste
Management","128,684,879",-,"50,075,000",-,39,-,390,0
,Sub-Total,"243,588,219","577,134,640","98,986,056","222,041,600",41,44,390,0
"Roads, Public Works and Transport",,,,,,,,390,0
"General Adminis-
tration & Support
Services","General Ad-
ministration &
Support Services","156,225,616",-,"72,477,906",-,46,-,390,0
"Road And
Air Transport
Infrastructure
Development","Road And
Air Transport
Infrastructure
Development","127,491,417","876,327,815","70,331,449","244,530,387",55,28,390,0
"Public Works
Management","Public Works
Management","10,900,000","39,000,000","3,300,000","4,000,000",30,10,390,0
,Sub-Total,"294,617,033","915,327,815","146,109,355","248,530,387",50,27,390,0
Trade and Cooperative Development,,,,,,,,390,0
"General Admin-
istration and
Planning","General Admin-
istration and
Planning","42,749,748",-,"20,446,158",-,48,-,390,0
"Cooperative
Development and
Promotion","Cooperative
Development and
Promotion","7,400,000","15,449,789","2,250,000","7,449,789",30,48,390,0
"Trade Devel-
opment and
Promotion","Trade Devel-
opment and
Promotion","10,400,000","397,000,000","2,400,000","5,152,174",23,1,390,0
,Sub-Total,"60,549,748","412,449,789","25,096,158","12,601,963",41,3,390,0
Health Services,,,,,,,,390,0
"General Admin-
istration and
Planning","General Admin-
istration and
Planning","1,525,499,284",-,"702,899,165",-,46,-,390,0
