Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25",col_3,"Actual Expenditure as of 31
December 2024",col_5,Absorption Rate (%),col_7,page_number,table_index
"Preventive,
Promotive and Re-
productive Health
Services","Preventive,
Promotive and
Reproductive
Health Services","129,523,501","209,373,070","19,754,600","26,164,859",15,12,390,0
"Curative Rehabili-
tative and Referral
Services","Curative Reha-
bilitative and
Referral Services","510,425,547","282,708,633","258,242,195","105,556,027",51,37,390,0
,Sub-Total,"2,165,448,332","492,081,703","980,895,960","131,720,886",45,27,390,0
"Education and Human Capital
Development",,,,,,,,390,0
"General Admin-
istration and
Planning","General Admin-
istration and
Planning","1,009,626,588",-,"592,084,975",-,59,-,390,0
"Early Childhood
Education","Early Childhood
Education","102,650,000","248,285,210","43,625,000","91,995,678",42,37,390,0
"Vocational and
Technical Training
Services","Vocational and
Technical Train-
ing Services","15,500,000","23,049,894","1,450,000","7,500,000",9,33,390,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",391,0
"Education Support
Services","Education Sup-
port Services","4,500,000",-,"1,200,000",-,27,-,391,0
,Sub-Total,"1,132,276,588","271,335,104","638,359,975","99,495,678",56,37,391,0
County Executive Services,,,,,,,,391,0
"Management of
County Affairs","General Admin-
istration and
Planning","501,872,333",-,"236,073,037",-,47,-,391,0
,Sub-Total,"501,872,333",-,"236,073,037",-,47,-,391,0
Office of the County Secretary,,,,,,,,391,0
"Policy, Leadership
and Executive
Coordination","Leadership and
executive coordi-
nation","196,286,068","50,000,000","69,750,000",-,36,-,391,0
,Sub-Total,"196,286,068","50,000,000","69,750,000",-,36,-,391,0
Office of the County Attorney,,,,,,,,391,0
"Legal and Public
Sector Advisory
Services","Legal and adviso-
ry services","84,957,458",-,"38,100,000",-,45,-,391,0
,Sub-Total,"84,957,458",-,"38,100,000",-,45,-,391,0
County Public Service Board,,,,,,,,391,0
"Ethics, Gover-
nance and Public
Service Values","Ethics, Gover-
nance and Public
Service Values","77,217,041","12,965,500","36,644,020","6,482,750",47,50,391,0
,Sub-Total,"77,217,041","12,965,500","36,644,020","6,482,750",47,50,391,0
County Assembly,,,,,,,,391,0
"Legislation and
Representation","Legislation and
Representation","883,911,204","102,421,313","255,254,823","70,160,320",29,69,391,0
,Sub-Total,"883,911,204","102,421,313","255,254,823","70,160,320",29,69,391,0
Finance and Economic Planning,,,,,,,,391,0
"General Admin-
istration and
Planning","Administration
Planning","339,915,598",-,"150,120,719",-,44,-,391,0
"Public Finance
Management","Accounting
Services","4,300,000",-,"2,050,000",-,48,-,391,0
,"Financial Ser-
vices and Report","6,000,000",-,"2,950,000",-,49,-,391,0
,"Internal Audit
Services","2,800,000",-,"600,000",-,21,-,391,0
,"Supply Chain
Management
Affairs","11,500,000",-,"2,900,000",-,25,-,391,0
,"County Asset
Management
system","9,700,000",-,"700,000",-,7,-,391,0
"Economic Plan-
ning and Statistics","County Econom-
ic Planning and
Statistics","33,958,000",-,"14,315,775",-,42,-,391,0
"Revenue Collec-
tion and Enhance-
ment","Revenue
Collection and
Enhancement","43,415,000","10,000,000","20,800,000","5,000,000",48,50,391,0
"ICT and E-Gov-
ernment Services","ICT and E-Gov-
ernment Services","18,220,000","6,999,408","7,110,000","6,999,408",39,100,391,0
,Sub-Total,"469,808,598","16,999,408","201,546,494","11,999,408",43,71,391,0
County Public Service Management,,,,,,,,391,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",392,0
"General Admin-
istration and
Planning","Administration
Planning","1,967,005,734",-,"824,241,468",-,42,-,392,0
"Devolved
Governance and
Enforcement
Services","Devolved
Governance and
Enforcement
Services",-,-,-,-,-,-,392,0
"Civic Education
and Public Partic-
ipation","Civic Education
and Public Par-
ticipation","4,500,000",-,"1,050,000",-,23,-,392,0
"De-Radicalisation
and Countering
Violence","De-Radicalisa-
tion and Coun-
tering Violence",-,-,-,-,-,-,392,0
"Community
Cohesion and
Conflict Manage-
ment","Community
Cohesion and
Conflict Manage-
ment","35,900,000",-,"15,100,000",-,42,-,392,0
,Sub-Total,"2,007,405,734",-,"840,391,468",-,42,-,392,0
Social Development,,,,,,,,392,0
"General Admin-
istration and
Planning","Administration
Planning","47,454,960",-,"23,812,071",-,50,-,392,0
"Women’s Empow-
erment and Affir-
mative Action","Women’s
Empowerment
and Affirmative
Action","6,200,000","8,000,000","950,000",-,15,-,392,0
"Youth Empower-
ment and Sports","Youth Empower-
ment and Sports","27,000,000","39,199,813","13,350,000","6,299,950",49,16,392,0
"Culture and Gen-
der Development
Promotion","Culture and Gen-
der Development
Promotion","6,450,000","10,000,000","1,600,000","10,000,000",25,100,392,0
"Disaster Pre-
paredness and
Management","Disaster Pre-
paredness and
Management","26,700,000","509,487,878","9,800,000","191,487,878",37,38,392,0
,Sub-Total,"113,804,960","566,687,691","49,512,071","207,787,828",44,37,392,0
"Water, Energy, Environment and
Climate Change",,,,,,,,392,0
"General Admin-
istration and
Planning","Administration
Planning","172,488,370",-,"81,637,095",-,47,-,392,0
"Water and Sewer-
age Management","Water and Sewer-
age Management","150,220,000","1,275,182,562","55,009,516","704,023,732",37,55,392,0
"Energy and Natu-
ral Resources","Energy and Natu-
ral Resources","4,700,000","30,000,000","850,000","16,291,760",18,54,392,0
"Environment and
Climate Change","Environment and
Climate Change","40,300,000","575,029,682","1,400,000",-,3,-,392,0
,Sub-Total,"367,708,370","1,880,212,244","138,896,611","720,315,492",38,38,392,0
Grand Total,,"8,948,800,284","5,942,163,959","3,879,589,184","1,900,985,635.",43,32,392,0
