Programme,Sub-Programme,"Approved Estimates
(Kshs.Million)",col_3,"Actual Expenditure
as of 30 June 2024
(Kshs.Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index,col_8
,,Rec,Dev,Rec,Dev,Rec,Dev,559,0,
Office of the Governor,,,,,,,,559,0,
"General administration, plan-
ning and support services",Service Delivery Coordination,72.10,-,32.75,-,45,-,559,0,
,"Governor’s press services and
administrative support",7.26,-,2.15,-,30,-,559,0,
,"Liaison and Intergovernmental
Relations",16.74,-,2.39,-,14,-,559,0,
,"Special Programs and Diaspora
Affairs",18.50,-,0.25,-,1,-,559,0,
,"Public Participation and Civic
Education",5.40,-,0.30,-,6,-,559,0,
Sub Total,,120.00,-,37.85,-,32,-,559,0,
Office of the County Secretary & Head of Public Service,,,,,,,,559,0,
County Secretary,County Administration,47.45,-,8.06,-,17,-,559,0,
,Cabinet Affairs,2.50,-,1.62,-,65,-,559,0,
,"Communication and Public
Relations",5.35,-,1.76,-,33,-,559,0,
,County Records Management,5.63,-,1.04,-,19,-,559,0,
Sub Total,,60.93,-,12.48,-,21,-,559,0,
Office of the County Attorney,,,,,,,,559,0,
County Attorney Services,legal and public affairs,26.85,-,10.57,-,39,-,559,0,
Sub Total,,26.85,-,10.57,-,39,-,559,0,
Public Service & Devolution (Admin),,,,,,,,559,0,
"Human Resource Manage-
ment","Payroll (Including Compensation
to employees)","2,300.46",-,"1,063.40",-,46,-,559,0,
,"Human Resource Management
(Including employee gratuity,
pension and medical insurance)",268.61,-,132.98,-,50,-,559,0,
Public administration,Public Administration,43.79,-,4.00,,9,-,559,0,
,"sub-county and ward administra-
tion",20.35,-,13.09,-,64,-,559,0,
,Enforcement and Compliance,16.12,2.00,3.58,-,22,-,559,0,
Sub Total,,"2,649.33",2.00,"1,217.04",-,46,-,559,0,
County Public Service Board,,,,,,,,559,0,
County Public Service Board,County Public Service Board,25.93,-,11.88,-,46,-,559,0,
Sub Total,,25.93,-,11.88,-,46,-,559,0,
"Finance, Economic Planning & ICT",,,,,,,,559,0,
Public Finance Management,County Funds,314.90,10.00,314.90,-,100,-,559,0,
,Treasury services,68.96,-,65.35,-,95,-,559,0,
,Financial reporting,8.94,-,7.00,-,78,-,559,0,
,"Revenue Collection and Adminis-
tration (Including automation)",30.09,-,13.10,-,44,-,559,0,
