Programme,Sub-Programme,"Approved Estimates FY
2024/25",col_3,"Actual Expenditure as
of 31 December, 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,"SP1.1: Human Resource Man-
agement",88.27,,49.56,,56,,88,0
,SP1.3: Administration Services,29.11,,11.84,,41,,88,0
,"SP1.4: Financial Services, Plan-
ning and Stewardship",11.76,,,,-,,88,0
"Programme 2: Transport Infrastructure
Development and Management",,,"1,226.75",-,91.96,,8,88,0
,"SP2.1: Construction of Roads
Bridges and Drainage Works",,"1,003.70",,73.52,,7,88,0
,"SP2.3: Rehabilitation of Roads,
Bridges and Drainage Works
RMLF",,184.55,,-,,-,88,0
,Pending Bill,,38.49,,18.44,,48,88,0
Sub Total,,129.14,"1,226.75",61.41,91.96,48,8,88,0
"Environment, Tourism and Climate Change",,,,,,,,88,0
"Programme 1: General Administration
Planning and Support Services",,45.17,-,24.28,-,54,,88,0
,"SP. Human Resources Man-
agement",39.86,,23.96,,60,,88,0
,"Sp. Planning and Support
Services",5.30,,0.31,,6,,88,0
"Programme 2: Protection and Conservation
of the Environment",,,339.10,-,115.56,,34,88,0
,SP. Dumpsite Management,,3.10,,,,-,88,0
,"SP. Waste Management and
Control",,336.00,,115.56,,34,88,0
"Programme3: Climate Change Coordina-
tion and Management",,22.00,233.49,5.24,113.85,24,49,88,0
,"Sp. Climate Change Resilience
Investment Grant",,153.49,,113.85,,74,88,0
,Sp. Climate Change Fund,,80.00,,,,-,88,0
,"SP. Climate Change Institu-
tional Support Grant",22.00,,5.24,,24,,88,0
,,Rec,Dev,Rec,Dev,Rec,Dev,89,0
"Programme5: Tourism Product Promotion,
Marketing and Branding",,-,0.50,-,-,,-,89,0
,"SP. County Tourism, Art and
Cultural Festival",-,0.50,,,,-,89,0
Sub Total,,67.17,573.09,29.52,229.41,44,40,89,0
Water and Natural Resources,,,,,,,,89,0
"Programme 1: General Administration
Planning and Support Services",,55.51,-,29.19,-,53,,89,0
,"SP. Human Resources Man-
agement",46.09,,25.39,,55,,89,0
,"Sp. Planning and Support
Services",9.42,,3.80,,40,,89,0
"Programme 2: Water and Sanitation Devel-
opment and Management",,20.00,680.89,-,8.05,-,1,89,0
,SP. Borehole Development,,26.09,,2.35,,9,89,0
,"SP. KOICA Counterpart
Funding",20.00,,,,-,,89,0
,KOICA Grant,,500.00,,,,-,89,0
,Ward Based Projects,,144.10,,,,-,89,0
,Pending Bills Water Projects,,10.70,,5.70,,53,89,0
Sub Total,,75.51,680.89,29.19,8.05,39,1,89,0
Finance and Economic Planning,,,,,,,,89,0
"Programme 1: General Administration,
Planning and Support Services",,947.12,-,353.04,-,37,,89,0
,"SP: Human Resource Manage-
ment and Development",803.37,,247.04,,31,,89,0
,"SP: Leadership and Gover-
nance",13.47,,,,-,,89,0
,"SP: Administration Support
Services",118.15,,106.01,,90,,89,0
,"SP: Staff Training and Devel-
opment",12.13,,,,-,,89,0
"Programme 2: County Planning Manage-
ment",,76.29,-,19.09,-,25,,89,0
,"SP: Economic Policy and
County Planning Services",19.40,,4.17,,22,,89,0
,SP: Budgeting,36.47,,11.51,,32,,89,0
,SP: Monitoring and Evaluation,10.42,,1.62,,16,,89,0
,SP: Statistics,10.00,,1.79,,18,,89,0
"Programme 3: County Financial Service
Management",,91.67,-,46.20,-,50,,89,0
,SP: Revenue Mobilisation,40.19,,24.37,,61,,89,0
,SP: Accounting Services,18.34,,11.47,,63,,89,0
,SP: Audit Services,16.61,,4.90,,30,,89,0
,SP: Supply Chain Services,16.52,,5.47,,33,,89,0
"Programme 4: Service Delivery and Organi-
sational Transformation",,24.29,155.72,8.59,77.65,35,50,89,0
,SP: Special Coordination Unit,24.29,,8.59,,35,,89,0
,SP: Emergency Fund,,100.00,,51.22,,51,89,0
,ICT Development,,37.47,,26.43,,71,89,0
,Health Management System,,18.25,,,,-,89,0
,,Rec,Dev,Rec,Dev,Rec,Dev,90,0
Sub Total,,"1,139.37",155.72,426.92,77.65,38,50,90,0
Education and Vocational Training,,,,,,,,90,0
"Programme 1: General Administration,
Planning and Support Services",,"1,207.03",-,680.61,-,56,,90,0
,"SP: Human Resource Manage-
ment and Development","1,197.26",,678.25,,57,,90,0
,"SP: Administrative and Sup-
port Services",9.78,,2.36,,24,,90,0
"Programme 2: Education Improvement
Support Services",,255.00,-,128.69,-,51,,90,0
,"SP: Bursary and Scholarship
Support program",225.00,,128.69,,57,,90,0
,SP: School Feeding Initiative,30.00,,,,-,,90,0
"Programme 3: Early Childhood Develop-
ment Education",,-,121.15,-,-,,-,90,0
,"SP: Educational Materials and
Library Supplies",,23.00,,,,-,90,0
