Programme,Sub-Programme,"Revised Gross Approved
Estimates (Kshs.Millions)",col_3,"Actual Expenditure
(Kshs.Millions)",col_5,Absorption Rate (%),col_7,page_number,table_index
County Executive,County Executive,0.00,0.00,-,-,0,,586,1
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,,586,1
"Administration,
Planning and Sup-
port Services",,0.00,0.00,-,-,0,,586,1
,Management of County Affairs,0.00,0.00,-,-,0,,587,0
"County Executive
Services",,443.83,57.50,209.86,3.30,47,6,587,0
,"Administration and Coordina-
tion of County Affairs",0.00,0.00,-,-,0,0,587,0
,Sub County Administration,233.93,57.50,77.81,3.30,33,6,587,0
,"Coordination, Supervision and
Human Resource Services",153.20,0.00,110.29,-,72,0,587,0
,Management of County Affairs,56.71,0.00,21.76,-,38,0,587,0
"Organisation of
County Business",,0.00,0.00,-,-,0,0,587,0
,"Public Sector Advisory Ser-
vices",0.00,0.00,-,-,0,0,587,0
"Economic, Social
& Political Adviso-
ry Service",,23.91,0.00,7.89,-,33,0,587,0
,County Policing,0.00,0.00,-,-,0,0,587,0
,"General Administration Plan-
ning and Support Services",23.91,0.00,7.89,-,33,0,587,0
"Administration of
Human Resources
in County Public
Service",,61.89,0.00,36.94,-,60,0,587,0
,"General Administration Plan-
ning and Support Services",61.89,0.00,36.94,-,60,0,587,0
"Administration
Services",,0.00,0.00,-,-,0,0,587,0
,Special Programs,0.00,0.00,-,-,0,0,587,0
Special Programs,,0.00,0.00,-,-,0,0,587,0
,Special Programs,0.00,0.00,-,-,0,0,587,0
,Grand Total,529.63,57.50,254.70,3.30,48,6,587,0
,,,,,,,,587,0
"Finance, Economic
Planning & ICT","Finance, Economic Planning
& ICT",0.00,0.00,-,-,0,0,587,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,587,0
"Administration
Services",,402.37,54.50,115.65,16.87,29,31,587,0
,System Security,374.97,0.00,109.93,,29,0,587,0
,Public Finance Management,27.40,54.50,5.72,16.87,21,31,587,0
Fiscal Planning,,332.36,1.00,114.63,-,34,0,587,0
,Resource Mobilisation,42.02,0.00,0.54,-,1,0,587,0
,"Budget Formulation Coordina-
tion and management",101.07,1.00,44.80,-,44,0,587,0
,Public finance and Accounting,14.27,0.00,4.60,-,32,0,587,0
,Internal Audit,46.86,0.00,17.97,-,38,0,587,0
,Data Management,20.83,0.00,7.41,-,36,0,587,0
,Procurement,35.23,0.00,13.37,-,38,0,587,0
,"Monitoring & Evaluation /
Statistical",29.70,0.00,10.57,-,36,0,587,0
,Special Programs,42.38,0.00,15.37,-,36,0,587,0
Special Programs,,30.24,0.00,8.37,-,28,0,587,0
,"General Administration(Eco-
nomic Planning and ICT)",30.24,0.00,8.37,-,28,0,588,0
"General Adminis-
tration (Economic
Planning and ICT)",,9.87,0.00,0.52,-,5,0,588,0
,Grand Total,9.87,0.00,0.52,-,5,0,588,0
,Grand Total,774.83,55.50,239.17,16.87,31,30,588,0
,,,,,,,,588,0
"Agriculture,
Livestock Devel-
opment, Veteri-
nary Services &
Fisheries","Agriculture, Livestock Devel-
opment, Veterinary Services &
Fisheries",0.00,0.00,-,-,0,0,588,0
,"General Administration Plan-
ning and Support Services",0.00,0.00,-,-,0,0,588,0
"Administration,
Planning and Sup-
port Services",,62.17,0.00,56.61,-,91,0,588,0
,"Livestock Resource Manage-
ment and Development",62.17,0.00,56.61,-,91,0,588,0
"Promotion of
Value Addition of
Livestock and Live-
stock Products",,78.10,414.95,47.90,67.40,61,16,588,0
,"Promotion of Dairy Produc-
tion, Breeding and Disease
Control",21.36,414.95,17.40,67.40,81,16,588,0
,"Livestock marketing and
rangeland management",25.98,0.00,8.85,-,34,0,588,0
,"Livestock Diseases Manage-
ment and Control",14.24,0.00,11.27,-,79,0,588,0
,,16.53,0.00,10.38,-,63,0,588,0
"Development of
capture fisheries
resources",,13.28,14.50,3.77,-,28,0,588,0
