Programme,Sub-Programme,"Revised Gross Approved
Estimates. (Kshs.Million)
Rec Dev",col_3,"Actual Expenditure.
(Kshs.Million)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index,"Revised Gross Approved
Estimates. (Kshs.Million)"
,Ward Development Services,,10.60,0.00,0.00,0,0,695,0,0.00
,Subtotal,,30.60,63.58,13.69,43,45,695,0,148.22
4336-Housing and Urban Development,,,,,,,,695,0,
,SP Housing Development Services,,20.00,0.00,19.60,#DIV/0!,98,695,0,0.00
,"SP Urban Development and Manage-
ment Services",,990.00,0.00,360.04,0,36,695,0,0.00
,"Administration And Support Ser-
vices",,0.00,2.16,0.00,3,0,695,0,78.40
,Ward Development Services,,2.00,0.00,0.00,0,0,695,0,0.00
,Subtotal,,"1,012.00",2.16,379.64,3,38,695,0,78.40
4337-Lands and Physical Planning,,,,,,,,695,0,
,"SP Land Management and Adminis-
tration Services",,0.00,1.38,0.00,2,0,695,0,57.05
,"Administration And Support Ser-
vices",,25.00,0.00,0.00,0,0,695,0,0.00
,Ward Development Services,,55.80,0.00,5.68,0,10,695,0,0.00
,Subtotal,,80.80,1.38,5.68,2,7,695,0,57.05
"4338-Water, Irrigation and Sanitation",,,,,,,,695,0,
,Ward Development Services,,266.43,0.00,104.30,0,39,695,0,0.00
,Drilling of boreholes,,0.00,19.75,0.00,9,0,695,0,209.78
,Water Supply Development,,450.00,0.00,90.35,0,20,695,0,0.00
,Subtotal,,716.43,19.75,194.66,9,27,695,0,209.78
4339- County Attorney,,,,,,,,695,0,
,115014310,,0.00,10.60,0.00,16,0,695,0,65.54
,Subtotal,,0.00,10.60,0.00,16,0,695,0,65.54
,Grand Total,,"4,714.07","3,470.07","1,272.02",47,27,695,0,"7,374.11"
