Program,"Sub Pro-
gram",Description,Budget (Kshs.),col_4,Expenditure (Kshs.),col_6,"Absorption
(%)",col_8,page_number,table_index
,,,Rec,Dev,Rec,Dev,Rec,Dev,521,1
101004410,,"Administration and
general support
services","704,515,899","255,202,329","440,035,036",,62,-,521,1
,101014410,"Administration and
support services","704,515,899","255,202,329","440,035,036",,62,-,521,1
201004410,,"General Adminis-
tration and Support
Services","76,703,697","366,806,040","37,539,038",,49,-,521,1
,201014410,"General Adminis-
tration and support
services","76,703,697","366,806,040","37,539,038",,49,-,521,1
202004410,,Road Transport,,"534,829,857",,"215,657,020",-,40,521,1
,202024410,Road-works,,"534,829,857",,"215,657,020",-,40,521,1
301004410,,"General Adminis-
tration and Support
Services","36,763,240",,,"5,702,220",-,-,521,1
