Programme,Sub-Programme,Gross Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31 De-
cember 2024",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,376,1
"Land, Physical Planning & Mining",,,,,,,,376,1
"Programme 1: General
administration & plan-
ning","SP1. General admin-
istration & planning","65,444,726",-,"32,161,256",-,49,,376,1
"Programme 2: : Land
Survey & Mapping","SP2. Land Survey &
Mapping","1,926,181","36,566,757","400,292","4,591,490",21,13,376,1
"Programme 3: Urban
planning","SP3. 1 Urban plan-
ning","4,700,000","48,352,239","4,125,000","4,852,395",88,10,376,1
"Programme 4: Mining
mapping & development","SP4. 1 Mining map-
ping & development","1,080,000","1,600,000",-,-,-,-,376,1
"Programme 5: Environ-
ment management and
protection","SP 5. 1 Environment
management and
protection","10,353,253","459,106,500","2,651,373","44,996,944",26,10,376,1
,Sub Total,"83,504,160","545,625,496","39,337,921","54,440,830",47,10,376,1
Wote Municipality,,,,,,,,376,1
Wote Municipality,"SP 1. 1 Wote Munic-
ipality","67,931,605","57,514,011","29,651,853","304,400",44,1,376,1
,Sub Total,"67,931,605","57,514,011","29,651,853","304,400",44,1,376,1
Emali-Sultan Municipality,,,,,,,,376,1
"Emali-Sultan Munici-
pality","SP 1. 1 Emali-Sultan
Municipality","32,044,280","42,745,731","7,117,178","490,398",22,1,376,1
,Sub Total,"32,044,280","42,745,731","7,117,178","490,398",22,1,376,1
Sand Authority,,,,,,,,376,1
"General administration
& planning","SP 1.1: General
Administration &
Planning","57,753,699","5,000,000","26,808,865","1,101,320",46,22,376,1
,Sub Total,"57,753,699","5,000,000","26,808,865","1,101,320",46,22,376,1
Health Services,,,,,,,,376,1
"General administration
& planning","SP1. 1 General
administration &
planning","2,658,433,749","913,117,034","1,290,160,700","357,610,553.60",49,39,376,1
"Curative healthcare
services","SP2. 1: Curative
health care services","363,415,723","31,235,847","156,284,323","1,284,763.00",43,4,376,1
,,Rec,Dev,Rec,Dev,Rec,Dev,377,0
"Preventive and promo-
tive healthcare services","SP3. 1 Preventive and
promotive healthcare
services","94,820,972","175,901,300","59,388,448","23,173,152.25",63,13,377,0
,Sub Total,"3,116,670,444","1,120,254,181","1,505,833,471","382,068,469",48,34,377,0
"Infrastructure, Transport, Public works, Housing & Energy",,,,,,,,377,0
"General administration
& planning","SP1. 1 General
administration &
planning","92,976,455","20,386,455","44,733,071","8,289,897",48,,377,0
Road Transport,SP2.1: Road transport,"19,092,000","849,665,385","1,717,360","15,284,341",9,2,377,0
"Infrastructure develop-
ment","SP3.3: Infrastructure
development","550,000",,"250,000",,45,-,377,0
"Energy Infrastructure &
development","SP4.1: Energy
Infrastructure &
development","17,265,899","100,300,643","9,206,659",,53,-,377,0
,Sub Total,"129,884,354","970,352,483","55,907,090","23,574,238",43,2,377,0
"ICT, Education and Internship",,,,,,,,377,0
"General administration
& planning","SP1. 1 General
administration &
planning","728,195,605",-,"363,175,201",-,50,,377,0
"Early childhood devel-
opment education","SP2.1: Early Child-
hood Development
Education","18,431,871","178,747,807","2,505,920","219,436",14,-,377,0
"Technical training &
non-formal education","SP3.3: Technical
training & non-formal
education","1,050,000","57,701,060","50,000","5,044,644",5,9,377,0
"Support to Education
and Library Services","SP4.1: Support to
Education and Library
Services","155,602,357","59,500","12,714,949",-,8,-,377,0
"ICT Infrastructure &
Systems Development","SP5.1: ICT Infra-
structure & Systems
Development","17,800,000","29,317,694","1,232,900","1,315,900",7,4,377,0
"Internship, Mentorship
and Volunteerism","SP6.1: Internship,
Mentorship and
Volunteerism","18,932,254",-,"1,602,925",-,8,,377,0
,Sub Total,"940,012,087","265,826,061","381,281,895","6,579,980",41,2,377,0
"Trade, Industry & Cooperatives",,,,,,,,377,0
"General administration
& planning","SP1. 1 General admin-
istration & planning","116,877,767",-,"46,877,633",-,40,,377,0
"Trade development &
promotion","SP2.1; Trade develop-
ment & promotion","7,800,000","35,219,270","4,056,475","459,440",52,1,377,0
"Industrial development
and promotion","SP3. 1 Industrial
development and
promotion","5,750,000","1,000,000","2,761,176",-,48,-,377,0
"Tourism development &
promotion","SP4. 1 Tourism devel-
opment & promotion","2,096,088","2,000,000",-,-,-,-,377,0
"Culture, Art and the
Music promotion","SP5. 1 Culture, Art
and the Music pro-
motion","7,963,360","1,500,000","1,667,162",-,21,-,377,0
,Sub Total,"140,487,215","39,719,270","55,362,445","459,440",39,1,377,0
"Department of Gender, Children, Youth, Sports, and Social Services",,,,,,,,377,0
"General administration
& planning","P1: General adminis-
tration & planning","62,357,267",-,"28,099,596",-,45,,377,0
"Gender and Social
Development","P2: Gender and So-
cial Development","17,746,486","74,670,295","3,063,350","2,152,500",17,3,377,0
Sports development,"P3: Sports develop-
ment","24,176,567","15,923,154","441,000",-,2,-,377,0
Youth empowerment,"P4: Youth empower-
ment","38,144,013","58,572,004",-,"6,301,800",-,11,377,0
,Sub Total,"142,424,334","149,165,453","31,603,946","8,454,300",22,6,377,0
343,,,,,,,,377,0
,,Rec,Dev,Rec,Dev,Rec,Dev,378,0
County Attorney,,,,,,,,378,0
"General Administration
& Support Services","P1: General adminis-
tration & planning","42,540,335","5,200,000","25,642,565",-,60,,378,0
,Sub Total,"42,540,335","5,200,000","25,642,565",,60,,378,0
Governorship,,,,,,,,378,0
"General Administration
& Support Services","P1: General adminis-
tration & planning","521,048,407",,"112,725,100",,22,,378,0
,Sub Total,"521,048,407",-,"112,725,100",,22,,378,0
