Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25 (Kshs.Millions)",col_3,"Actual Expenditure Jul 2024 -
December 2024 (Kshs.Millions)",col_5,Absorption Rate (%),col_7,page_number,table_index
,"HUMAN RE-
SOURCE DEVELOP-
MENT-0402024510",3.00,-,-,-,0,0,334,0
,"402044510 HEALTH
LEADERSHIP AND
GOVERNANCE",6.00,-,2.02,-,34,0,334,0
,"STRATEGIC
HEALTH INTERVEN-
TIONS401054510",6.44,-,-,-,0,0,334,0
,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510",25.23,-,-,-,0,0,334,0
Sub-Total,,143.47,822.20,17.60,39.39,12,5,334,0
"GENERAL AD-
MINISTRATIVE
AND PLAN-
NING SERVICES","HUMAN RE-
SOURCE DEVELOP-
MENT-0402024510",0.30,-,-,-,0,0,334,0
,"POLICY MANAGE-
MENT, PUBLIC MOBIL-
ISATION AND PARTIC-
IPATION 401044510",9.70,-,0.75,-,8,0,334,0
,"EMERGENCY REFER-
RAL AND REHABIL-
ITATIVE SERVICES
401064510",8.00,-,1.72,-,22,0,334,0
Sub-Total,,18.00,-,2.48,-,14,0,334,0
Department LAIKIPIA DEPARTMENT OF HEALTH,,,,,,,,334,0
"PREVENTIVE
HEALTH SER-
VICES","COMMUNITY
HEALTH STRATEGY,
ADVOCACY AND SUR-
VEILLANCE-0405044510",35.00,-,11.47,-,33,0,334,0
,"FAMILY PLANNING,
MATERNAL, AND
CHILD HEALTH SER-
VICES-0405014510",2.20,-,0.81,-,37,0,334,0
,"NON -COMMUNICA-
BLE DISEASES CON-
TROL AND PREVEN-
TION-0405024510",1.65,-,0.10,-,6,0,334,0
,,,,,,,300,334,0
,,Rec,Dev,Rec,Dev,Rec,Dev,335,0
,"PUBLIC HEALTH
PROMOTION AND
NUTRITION SER-
VICES-0405034510",4.91,-,1.25,-,25,0,335,0
,"TB/HIV/AIDS PREVEN-
TION AND CON-
TROL-0405054510",1.25,-,-,-,0,0,335,0
Sub-Total,,45.01,-,13.63,-,30,0,335,0
HEALTH TOTAL,,206.48,822.20,33.70,39.39,16,5,335,0
DEPARTMENT: AGRICULTURE,,,,,,,,335,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,,,335,0
Headquarters,"SP1 0103014510 Head-
quarter Administration
Services",4.00,204.00,1.18,8.60,29,4,335,0
,"SP1 0103024510 Head-
quarter Administration
Services",4.00,-,1.15,-,29,0,335,0
"Livestock Produc-
tion","SP2 0104024510 Live-
stock Resource Develop-
ment and Management",1.35,16.00,0.36,-,27,0,335,0
"Veterinary
Services","SP5 0107054510 Animal
Health and Disease Man-
agement",1.35,16.50,0.37,-,27,0,335,0
"Fisheries Produc-
tion","SP1 0110014510 Fisheries
Development and Man-
agement",0.95,2.09,0.37,-,39,0,335,0
"Crop Production
& Horticulture","SP2 0117024510 Land
and Crop Productivity
Enhancement and Man-
agement",3.00,10.00,1.01,-,34,0,335,0
,"SP4 1006044510 Climate
Change Adaptation &
Mitigation",1.35,36.80,0.35,-,26,0,335,0
TOTAL AGRICULTURE,,16.00,285.39,4.79,8.60,30,3,335,0
DEPARTMENT: INFRASTRUCTURE,,,,,,,,335,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 Administration
Services-0105014510",9.60,-,1.06,-,11,0,335,0
"P12-0112004510 -
Physical Planning
and Survey","SP1-0112014510 - Survey
and Planning services",2.05,12.00,0.69,0.31,33,3,335,0
,"SP2-0112024510 - Land
management services",-,8.00,-,-,0,0,335,0
"P13-0113004510-
Land and Hous-
ing Management","SP2 Housing Policy De-
velopment-0113024510",-,9.50,-,-,0,0,335,0
"P14-0114004510-
Public Works
Service Delivery
Improvement","SP4 Building Con-
struction Stan-
dard-0114044510",1.00,2.50,0.14,-,14,0,335,0
"P15-0115004510-
Roads Network
Improvement
Housing and Ur-
ban Development","SP1 Road Network im-
provement-0115014510",2.00,338.30,0.23,18.00,11,5,335,0
,,Rec,Dev,Rec,Dev,Rec,Dev,336,0
,"SP3- Road network main-
tainance-0115034154",-,265.50,-,-,0,0,336,0
,"SP4 Heavy equipment
Maintenance-0115044510",-,35.00,-,-,0,0,336,0
,"SP5-0115054510 - Mech-
anisation Services",-,90.00,-,-,0,0,336,0
,"SP Urban Develop-
ment-0115094510",-,10.00,-,-,0,0,336,0
"P18-0118004510-Re-
newable /Green
Energy Services","SP1 renewable/green en-
ergy services-0118014510",20.35,-,8.50,-,42,0,336,0
TOTAL INFRASTRUCTURE,,35.00,770.80,10.62,18.31,30,2,336,0
DEPARTMENT: EDUCATION,,,,,,,,336,0
"Administration
and planning
services",Headquarter Services,2.50,4.70,1.18,2.30,47,,336,0
,Personnel services,1.00,-,0.50,-,50,0,336,0
Sub Total,,3.50,4.70,1.68,2.30,,0,336,0
"Early childhood
development
(ECD) and child-
care facilities",Education Empowerment,75.00,-,-,-,0,0,336,0
,"ECDE Infrastructure
Improvement",-,44.00,-,-,,0,336,0
,ECDE Teacher Services,1.50,-,0.72,-,48,0,336,0
,"Children’s Institutions
Support Program (CEDC)",2.70,3.00,0.40,-,15,,336,0
Sub Total,,79.20,47.00,1.12,-,,0,336,0
"Youth, Polytech-
nics, Vocational
Training","Vocational Education and
Training",14.50,20.21,6.05,-,42,0,336,0
,Library,0.50,-,0.08,-,16,,336,0
Sub Total,,15.00,20.21,6.13,-,58,0,336,0
TOTAL EDUCATION,,97.70,71.91,8.94,2.30,58,0,336,0
DEPARTMENT: TRADE,,,,,,,,336,0
"Administration,
planning and
support services","301014510-SP1 Adminis-
tration Service",4.56,-,1.74,-,38,0,336,0
,"301044510-SP2 Personnel
Services",1.55,-,-,-,0,0,336,0
Sub Total,,6.11,-,1.74,-,28,0,336,0
"Co-operative
Development","0302034510 SP3 Research
and Development",2.50,-,0.74,-,30,0,336,0
,"302024510-SP2 Co-oper-
ative Revolving fund",-,3.00,-,-,0,0,336,0
Sub Total,,2.50,3.00,0.74,-,0,0,336,0
"Trade and Invest-
ment","0304014510- SP1 Market
Infrastructure Develop-
ment",-,20.59,-,-,0,0,336,0
,"0304054510-SP5 Indus-
trial Development and
Investment Promotion",3.70,400.00,1.17,-,32,0,336,0
Sub Total,,3.70,420.59,1.17,-,,,336,0
"Tourism De-
velopment and
Promotion","0305014510 SP1 Tourism
Promotion and Marketing",1.10,-,-,,0,0,336,0
,"0305024510 SP2 Tourism
Infrastructural Develop-
ment",-,2.30,0.50,-,0,0,336,0
,,Rec,Dev,Rec,Dev,Rec,Dev,337,0
Sub Total,,1.10,2.30,0.50,-,46,0,337,0
TOTAL TRADE,,13.41,425.89,4.15,-,,,337,0
DEPARTMENT: GENDER,,,,,,,,337,0
"Administration
and planning
services","Use of goods and services
- 901014510",2.50,-,0.98,-,39,0,337,0
,"Routine Maintenance -
Other As - 903034510",-,2.00,-,-,0,0,337,0
Sub Total,,2.50,2.00,0.98,-,,,337,0
"Culture and
Social Services","Cultural events promo-
tion services - 903014510",0.60,-,0.24,-,41,0,337,0
,"Social services infrastruc-
ture - 903034510",0.70,-,0.31,-,44,0,337,0
,"Persons with Disability
Programme - 903044510",0.40,-,0.20,-,50,0,337,0
Sub-Total,,1.70,-,0.75,-,,,337,0
TOTAL GENDER,,4.20,2.00,1.73,-,,,337,0
DEPARTMENT: WATER,,,,,,,,337,0
"WATER, ENVIRONMENT, NATURAL RESOURCES AND CLIMATE CHANGE",,,,,,,,337,0
"Water Develop-
ment","1003014510 Administra-
tive and Planning Services",17.00,-,5.74,-,34,0,337,0
"Environment and
Natural Resources","1006014510 Solid Waste
Management",-,45.60,-,10.00,0,22,337,0
,"1006044510 Climate
Change Adaptation &
Mitigation",-,93.00,-,20.23,0,22,337,0
TOTAL WATER,,17.00,138.60,5.74,30.23,0,22,337,0
DEPARTMENT: NANYUKI MUNICIPALITY,,,,,,,,337,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 0103014510 Admin-
istration Services",37.00,-,1.00,-,3,0,337,0
"P15-0115004510-
Roads Network
Improvement
Housing and Ur-
ban Development","SP1-0115014510 Road
Network improvement",-,82.21,-,-,0,0,337,0
TOTAL NANYUKI MUNICIPALITY,,37.00,82.21,1.00,-,3,0,337,0
DEPARTMENT: RUMURUTI MUNICIPALITY,,,,,,,,337,0
"P3-0103004510-Gen-
eral Administration
and Planning Services","SP1 0103014510 Admin-
istration Services",2.00,-,2.00,-,100,0,337,0
"P15-0115004510-
Roads Network
Improvement
Housing and Ur-
ban Development","SP1-0115014510 Road
Network improvement",-,5.00,-,2.50,0,50,337,0
TOTAL RUMURUTI MUNICIPALITY,,2.00,5.00,2.00,2.50,100,50,337,0
"DEPARTMENT:
ASSEMBLY",,,,,,0,0,337,0
