Programme,Sub-Programme,"Gross Approved Estimates FY
2024/25 (Kshs.Millions)",col_3,"Actual Expenditure Jul 2024 -
December 2024 (Kshs.Millions)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,331,1
"DEPARTMENT: COORDINATION, ADMINISTRATION, ICT AND PUBLIC SERVICE",,,,,,,,331,1
"P3 General Ad-
ministration and
Planning","Headquarter Admin-
istration Services -
0103014510",16.10,-,5.36,-,33,0,331,1
,"ICT Infrastructure
and Connectivity -
0505014510",1.30,2.00,0.10,-,7,0,331,1
,"Administration - Laikip-
ia East- 0701034510",0.85,-,-,-,0,0,331,1
,"Administration - Laikip-
ia North - 0701044510",1.30,-,-,-,0,0,331,1
,,Rec,Dev,Rec,Dev,Rec,Dev,332,0
,"Grants and Transfers to
Government entities -
0717014510",37.50,-,-,-,0,0,332,0
,"Administration - Laikip-
ia West - 0701054150",0.45,-,-,-,0,0,332,0
,"Administration - Sports
Promotion Services -
0901054510",8.50,-,0.69,-,8,0,332,0
Sub Total,,66.00,2.00,6.14,-,,,332,0
"General Ad-
ministration and
Planning","Compensation to Em-
ployees- 0701064510","3,611.26",,"1,681.13",-,47,0,332,0
Sub-Total,,"3,611.26",-,"1,681.13",-,,,332,0
ADMINISTRATION,,,,,,,,332,0
"Executive Com-
mittee Support","Executive Support Ser-
vice- 0708014510",56.00,,15.49,-,28,0,332,0
,"Legal Services -
0708024510",3.05,,0.22,-,7,0,332,0
,"Intergovernmental & Do-
nor Liaison - 0708034510",5.00,,0.32,-,6,0,332,0
Sub-Total,,64.05,-,16.04,-,,,332,0
Administration,"Public Participation -
0702054150",2.00,-,-,-,0,0,332,0
,"Services Delivery
and Result report -
0702084510",3.10,-,-,-,0,0,332,0
,"Decentralised Services -
0701064510",-,13.00,-,-,0,0,332,0
Sub-Total,,5.10,13.00,-,-,0,0,332,0
"Security and
Policing Support
Services","Urban Facilities
Management Services-
0723024510",-,-,-,-,0,0,332,0
"Human Capital
Management and
Devolution","Public Service Board-
0722024510",6.00,-,2.79,-,47,0,332,0
"Human Capital
Management and
Devolution","Information and
Records Management-
0722034510",1.80,-,0.34,-,19,0,332,0
Sub-Total,,7.80,-,3.14,-,,,332,0
Administration,Fleet - 0702074510,0.80,,-,-,0,0,332,0
Sub-Total,,0.80,-,-,-,0,0,332,0
"Public Safety, En-
force and Disaster
Management","Disaster Reduction Man-
agement - 0705014510",1.22,1.63,0.21,-,17,0,332,0
,"Fire Services-
0705024510",0.86,3.27,-,-,0,0,332,0
,"Enforcement And
Disaster Management-
0705034510",0.67,,0.35,-,52,0,332,0
,"Alcohol Control Com-
mittee- 0705044510",0.25,,-,-,0,0,332,0
Sub-Total,,3.00,4.90,0.56,-,,,332,0
"TOTAL ADMIN-
ISTRATION",,"3,758.00",19.90,"1,707.00",-,,,332,0
,,Rec,Dev,Rec,Dev,Rec,Dev,333,0
"DEPARTMENT: FINANCE, ECONOMIC PLANNING AND THE TREASURY",,,,,,,,333,0
"707004510 Finan-
cial Services","707064510 Treasury
administrative services",20.00,-,17.79,-,89,0,333,0
,"707084510 Financial
Automation Services",0.80,-,0.23,-,29,0,333,0
,"707074510 Laikipia
Emergency Fund",-,45.00,-,9.93,0,22,333,0
,"707044510 Revenue
management services",-,10.00,-,-,0,0,333,0
Sub-Total,,20.80,55.00,18.02,9.93,,,333,0
"0709004510 Ad-
ministration and
Support Services","709014510 Generation
administration and sup-
port services",72.24,392.00,20.77,322.87,29,82,333,0
Sub-Total,,72.24,392.00,20.77,322.87,,,333,0
"0725004510
Public Finance
Management
Services","725014510 Treasury Ac-
counting and Reporting
Services",4.50,-,0.60,-,13,0,333,0
,"725044510 Budget Man-
agement",3.64,-,0.34,-,9,0,333,0
,"725034510 Internal Audit
Services",4.80,-,0.87,-,18,0,333,0
,"725024510 Supply Chain
Management Services",4.50,-,0.35,-,8,0,333,0
Sub-Total,,17.44,-,2.17,-,,,333,0
"0706004510
Departmental
administrative
services/Cen-
tralised services","706044510 Revenue
collection services",34.50,-,20.18,-,58,0,333,0
,"706054510 Budget supply
services",1.40,-,0.34,-,24,0,333,0
Sub-Total,,35.90,-,20.52,-,,,333,0
"0726004510
Development
Planning Services","726014510 Integrated
Planning Services",-,-,-,-,0,0,333,0
,"726024510 Participa-
tory Budgeting support
services",-,-,-,-,0,0,333,0
,"726034510 Research
Statistics and Documen-
tation services",-,-,-,-,0,0,333,0
,"726064510 Strategic
Partnership and Collab-
oration",5.00,1.91,0.80,-,16,0,333,0
,"0726044510 Programme
Monitoring and Evalu-
ation",1.57,-,0.42,-,26,0,333,0
Sub-Total,,6.57,1.91,1.22,-,,,333,0
"0702004510
Administration","0702054510 Public par-
ticipation",0.24,-,-,-,0,0,333,0
Sub-Total,,0.24,-,-,-,,,333,0
"0721004510 Eco-
nomic planning
services","0721014510 Integrated
Planning Services",1.60,-,0.75,-,47,0,333,0
,"0721054510 Research
Statistics and Documen-
tation",2.20,-,1.58,-,72,0,333,0
Sub-Total,,3.80,-,2.32,-,,0,333,0
,,Rec,Dev,Rec,Dev,Rec,Dev,334,0
"FINANCE
TOTAL",,157.00,448.91,65.02,332.80,,0,334,0
DEPARTMENT: HEALTH,,,,,,,,334,0
"CURATIVE AND
REHABILITA-
TIVE HEALTH","HEALTH PRODUCTS
AND TECHNOLOGIES
SUPPORT-0401014510",-,162.00,-,20.98,0,13,334,0
,"HEALTH INFRA-
STRUCTURE DEVEL-
OPMENT-0401034510",-,148.00,-,18.41,0,12,334,0
,"EMERGENCY
REFERRAL AND
REHABILITATIVE SER-
VICE-0401074510",98.80,512.20,15.58,-,16,0,334,0
,"402014510 ADMINIS-
TRATION, PROJECT
PLANNING AND
IMPLEMENTATION
SERVICES",4.00,-,-,-,0,0,334,0
