Programme,Sub-Programme,"Revised Gross Approved Esti-
mates (Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,472,0
"Governorship, County Coordination and Administration",,,,,,,,472,0
"Monitoring and
Evaluation","101024010 Project Coor-
dination and Monitoring","84,404,600",-,"1,900,000",,2.3,0.0,472,0
"County Coordi-
nation","705024010 Office Ad-
ministration and Support
Services","97,530,000","15,000,000","12,814,534",,13.1,0.0,472,0
"Administration
and Support","706014010 County Exec-
utive and Coordination","181,091,609",-,"72,206,988",,39.9,0.0,472,0
Disaster Program,"902044010 Disaster Re-
sponse and Mitigation","19,500,000",-,"2,122,640",,10.9,0.0,472,0
"Communication
and Information
Services","203014010 Communi-
cation","26,800,000",-,"4,773,031",,17.8,0.0,472,0
Sub Total,,"409,326,209","15,000,000","93,817,193",-,22.9,0.0,472,0
"Finance, Information Technology and Economic Planning",,,,,,,,472,0
"Revenue Pro-
gram","108014010 Local Reve-
nue Mobilisation","35,000,000",-,"6,223,162",,17.8,0.0,472,0
ICT Program,"703014010 Automation
and Revenue System",-,-,,,0.0,0.0,472,0
"Financial
Management
Program","703024010 Budget For-
mulation Coordination
and Management","6,850,000",-,"1,500,000",,21.9,0.0,472,0
,"703034010 Economic
Planning and CIDP
Review","9,600,000",-,"2,092,490",,21.8,0.0,472,0
,101134010 Procurement,"8,000,000",-,,,0.0,0.0,472,0
,705014010 Budget,"6,270,000",-,"330,000",,5.3,0.0,472,0
,"705034010 Public Partic-
ipation","43,700,000",-,"10,048,500",,23.0,0.0,472,0
,"730014010 Monitoring
and Evaluation","3,320,000",-,"700,000",,21.1,0.0,472,0
"Internal Audit
Program","Internal Audit Program
718014010","6,000,000",-,"1,662,566",,27.7,0.0,472,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","242,268,543","46,000,000","98,755,045","3,000,000",40.8,6.5,472,0
Sub Total,,"361,008,543","46,000,000","121,311,763","3,000,000",33.6,6.5,472,0
"Agriculture, Livestock and Fisheries",,,,,,,,472,0
Food Security,"101014010 Land and
Crops Development","1,970,000",-,"450,400",,22.9,0.0,472,0
,"101024010 Promotion
Food Security","2,700,000","100,000,000",,"86,942,320",0.0,86.9,472,0
,"103084010 Veterinary
Services","3,670,000","17,700,000",,,0.0,0.0,472,0
,"107024010 Livestock and
Fisheries Development","2,050,000","5,300,000",,,0.0,0.0,472,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","276,624,150","392,434,071","126,525,229","11,750,000",45.7,3.0,472,0
Sub Total,,"287,014,150","515,434,071","126,975,629","98,692,320",44.2,19.1,472,0
Energy Transport and Roads,,,,,,,,472,0
,,Rec,Dev,Rec,Dev,Rec,Dev,473,0
"Urban Develop-
ment Program","102074010 Urban Devel-
opment and Support",-,"317,000,000",,"4,113,513",0.0,1.3,473,0
"Energy Develop-
ment Program","103094010 Promotion
Of Energy & Renewable
Energy Sources","6,155,000","30,000,000","590,303","8,964,306",9.6,29.9,473,0
"Infrastructure
Development
Program","201014010 Construction
Of Roads and Bridges","26,804,487","325,941,894","3,542,862","21,969,264",13.2,6.7,473,0
,"202064010 Infrastructure
Development","7,770,000","512,000,000",,"140,083,458",0.0,27.4,473,0
Sub Total,,"40,729,487","1,184,941,894","4,133,165","175,130,541",10.1,14.8,473,0
"Commerce, Trade, Industry and Tourism",,,,,,,,473,0
Agro Marketing,102054010 Cooperatives,"4,050,000","33,000,000","10,000",,0.2,0.0,473,0
"Tourism Pro-
gram","110014010 Tourism
Development","730,706",-,,,0.0,0.0,473,0
,"301014010 Tourism Pro-
motion and Marketing",-,-,,,0.0,0.0,473,0
"Trade Develop-
ment Program","111014010 Trade & En-
terprise Development","28,150,000","31,300,000","255,200",,0.9,0.0,473,0
,"Market Development
and Upgrade",-,-,,,0.0,0.0,473,0
,"302014010 Domestic
Trade Development",-,-,,,0.0,0.0,473,0
,"302024010 Fair Trade
and Consumer Protec-
tion",-,-,,,0.0,0.0,473,0
,"502034010 Industry
Development Program",-,-,,,0.0,0.0,473,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","28,320,000",-,"4,334,117",,15.3,0.0,473,0
"Consumer
Protection and
Regulation","Consumer Protection
and Regulation","1,900,000",-,,,0.0,0.0,473,0
Industrialisation,Industrialisation,"1,780,000","233,000,000",,"52,631,579",0.0,22.6,473,0
Sub Total,,"64,930,706","297,300,000","4,599,317","52,631,579",7.1,17.7,473,0
Education & Technical Training,,,,,,,,473,0
Ecde Programme,"501034010 Early Child-
hood Development
Education","139,000,000","12,000,000","30,284,576",,21.8,0.0,473,0
,Infrastructural Work,-,-,,,0.0,0.0,473,0
,ECDE Furniture,-,-,,,0.0,0.0,473,0
"Polytechnics
Program","507014010 Revitalisation
Of Youth Polytechnics","16,500,000","19,985,790","500,000",,3.0,0.0,473,0
"Education Inter-
vention Program","501054010 Motivation
Of Primary and Second-
ary School","244,000,000",-,"118,544,000",,48.6,0.0,473,0
,"509024010 Motivation
Of Primary and Second-
ary Schools",-,-,,,0.0,0.0,473,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","326,823,424",-,"183,038,040",,56.0,0.0,473,0
Sub Total,,"726,323,424","31,985,790","332,366,616",-,45.8,0.0,473,0
,,Rec,Dev,Rec,Dev,Rec,Dev,474,0
Health and Sanitation,,,,,,,,474,0
"Infrastructure
Development
Program","101104010 Infrastructure
Development",-,-,,,0.0,0.0,474,0
,"109024010 Infrastructure
Improvement Services",-,-,,,0.0,0.0,474,0
Alcohol Program,"401014010 Alcoholic
Control and Reviewing
Of Licences","1,710,000",-,"194,400",,11.4,0.0,474,0
,"402034010 Preventive
and Promotive Care",-,"105,184,200",,"15,000,000",0.0,14.3,474,0
"Curative Pro-
gram","402054010 Free Primary
Healthcare","254,800,000","80,000,000","125,429,100","10,580,000",49.2,13.2,474,0
"Nutrition Inter-
national","Nutrition International
(Grant)",-,-,,,0.0,0.0,474,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","2,885,048,895","234,000,000","1,117,523,082","3,115,122",38.7,1.3,474,0
Sub Total,,"3,141,558,895","419,184,200","1,243,146,582","28,695,122",39.6,6.8,474,0
"Lands, Housing & Physical Planning",,,,,,,,474,0
"Urban Develop-
ment","102074010 Urban Devel-
opment",-,-,,,0.0,0.0,474,0
,"103074010 Land Admin-
istration","1,000,000",-,"150,000",,15.0,0.0,474,0
"Land Policy
Succession and
Surveying","103014010 Land Policy
and Planning","4,050,000","20,300,000","895,961",,22.1,0.0,474,0
,103044010 Land Survey,"1,300,000",-,"400,000",,30.8,0.0,474,0
"Estate Manage-
ment","701034010 Public Trusts
and Estates Management",-,-,,,0.0,0.0,474,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","23,429,031",-,"6,900,451",,29.5,0.0,474,0
"Physical Plan-
ning",Physical Planning,-,-,,,0.0,0.0,474,0
"Digitization Of
Lands",Digitization Of Lands,-,-,,,0.0,0.0,474,0
Sub Total,,"29,779,031","20,300,000","8,346,412",-,28.0,0.0,474,0
County Public Service Board,,,,,,,,474,0
"General Admin-
istration and
Support","706014010 General
Administration Planning
and Support Services","33,045,881",-,"2,437,910",,7.4,0.0,474,0
"National Value
and Governance","National Value and
Governance","2,070,000",-,,,0.0,0.0!,474,0
Sub Total,,"35,115,881",-,"2,437,910",-,6.9,0.0,474,0
"Youth, Culture, Gender, Social Services & Special Programs",,,,,,,,474,0
"Social Develop-
ment Program",102054010 Cooperatives,-,-,,,0.0,0.0,474,0
,"901014010 Social
Welfare and Vocational
Rehabilitation",-,-,,,0.0,0.0,474,0
,"902024010 Persons Liv-
ing With Disabilities",-,"6,000,000",,,0.0,0.0,474,0
,"711024010 Gender &
Social-Economic Em-
powerment",-,-,,,0.0,0.0,474,0
,,Rec,Dev,Rec,Dev,Rec,Dev,475,0
"General Admin-
istration and
Support","706014010 General
Administration Planning
and Support Services","49,629,737",-,"11,924,455",,24.0,0.0,475,0
Library Services,Library Services,"5,500,000","3,000,000","500,000",,9.1,0.0,475,0
"Youth Develop-
ment Program","711014010 Youth Devel-
opment Services","1,300,000","133,000,000","30,000","38,660,000",2.3,29.1,475,0
,"Muranga Youth Ser-
vice-Youth Empower-
ment",-,-,,,0.0,0.0,475,0
,Boda Boda Training,-,-,,,0.0,0.0,475,0
,"903034010 Development
and Management Of
Sports Facilities","26,600,000","35,000,000","16,536,500","4,917,600",62.2,14.1,475,0
"Cultural Devel-
opment Program","904014010 Develop-
ment and Promotion Of
Culture","6,700,000",-,,,0.0,0.0,475,0
"Social Develop-
ment Programme","Social Development
Programme","5,950,000",-,"711,350",,12.0,0.0,475,0
,"Community Sports and
Talents",-,-,,,0.0,0.0,475,0
"Sport Develop-
ment Programme","Sport Development
Programme",-,-,,,0.0,0.0,475,0
Sub Total,,"95,679,737","177,000,000","29,702,305","43,577,600",31.0,24.6,475,0
"Environment, Natural Resources, Water and Irrigation",,,,,,,,475,0
"Waste Manage-
ment Program","101094010 Solid Waste
Management","12,194,400","20,000,000","3,358,564","3,320,720",27.5,16.6,475,0
,"102064010 Environ-
mental Management &
Protection","8,370,000",-,"342,200",,4.1,0.0,475,0
FLLoCCA,Climate Change,-,"261,129,613",,"21,363,382",0.0,8.2,475,0
"Administration
and Support","706014010 General
Administration Planning
and Support Services","91,193,128",-,"5,024,509",,5.5,0.0,475,0
"Environmental
Governance","1001054010 Environ-
mental Leadership and
Governance","4,220,000",-,"100,000",,2.4,0.0,475,0
"Environmental
Administration
and Support","General Administration
Planning and Support
Services",-,-,,,0.0,0.0,475,0
"Water Develop-
ment Program","1004014010 Water Sup-
ply Infrastructure","3,430,026",-,"319,600",,9.3,0.0,475,0
"Borehole Drilling
and Equipping
Programme","Borehole Drilling and
Equipping",-,-,,,0.0,0.0,475,0
"Borehole
Rehabilitation
Programme",Borehole Rehabilitation,-,-,,,0.0,0.0,475,0
"ECD Water
Tanks Pro-
gramme",ECD Water Tanks,-,-,,,0.0,0.0,475,0
"Irrigation Devel-
opment","1003024010 Irrigation
Development","2,000,000",-,,,0.0,0.0,475,0
,,Rec,Dev,Rec,Dev,Rec,Dev,476,0
"Last Mile Water
Distribution
Pipelines Pro-
gramme","Last Mile Water Distri-
bution Pipelines",-,-,,,0.0,0.0,476,0
