Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,544,0
Nyamira County Assembly,,,,,,,,544,0
"Policy planning, gener-
al administration and
support services","General administration
and support services","284,308,536",0,"91,261,250",0,32,0,544,0
,"Policy planning and
Support services","89,065,500",0,0,0,0,0,544,0
,"Infrastructure Devel-
opment",,"98,000,000",0,"30,615,445",0,31,544,0
Oversight,Oversight,"43,506,030",0,0,0,0,0,544,0
"Legislation and Repre-
sentation","Legislation and Repre-
sentation","282,882,597",0,"90,181,120",0,32,0,544,0
,Sub-Total,"699,762,663","98,000,000","181,442,370","30,615,445",26,31,544,0
County Executive,,,,,,,,544,0
"General Administra-
tion Support Services","General administration
support services","292,621,030",0,"46,272,033",0,16,0,544,0
,"Policy development and
support services","105,534,627",0,"70,978,631",0,67,0,544,0
"Governance & Coordi-
nation services","County results coordina-
tion and liaison services","33,721,880",0,0,0,0,0,544,0
,"Intergovernmental &
Public Relations","24,640,000",0,0,0,0,0,544,0
,"Executive management
and liaison services","41,316,354",0,0,0,0,0,544,0
,Sub Total,"497,833,891",0,"117,250,664",0,24,0,544,0
Department of Finance and Economic Planning,,,,,,,,544,0
Policy and planning,Policy and planning,"6,098,000",0,0,0,0,,544,0
"General administra-
tion support services","General administration
support services","8,600,000",0,0,0,0,0,544,0
,"Policy development and
support services","67,944,265",0,"40,234,025",0,59,0,544,0
"Financial Manage-
ment & Control","Accounting and finan-
cial services",0,"425,551,340",0,"63,996,400",0,15,544,0
"Accounting and
financial services",Audit services,"7,000,000",0,0,0,0,0,544,0
,"Accounting and finan-
cial services","27,150,000",0,0,0,0,0,544,0
,Sub Total,"116,792,265","425,551,340","40,234,025","63,996,400",34,15,544,0
"Department of Agriculture, Livestock and Fisheries",,,,,,,,544,0
"General
administration and
support services","General administration
and support services","64,088,643",0,"38,402,019",0,60,0,544,0
,Policy and planning,"517,690",0,0,0,0,0,544,0
"Crop, Agribusiness","Crop Development
Services","2,000,000","195,434,071",0,"25,000,000",0,13,544,0
,,Rec,Dev,Rec,Dev,Rec,Dev,545,0
,Sub Total,"66,606,333","195,434,071","38,402,019","25,000,000",58,13,545,0
"Department of Environment, Energy, Natural Resources and Mining",,,,,,,,545,0
"General adminis-
tration and support
services","General administration
and support services","39,779,448",0,"27,705,118",0,70,0,545,0
"Environmental Pro-
tection","Other energy sources
promotion","6,500,000","8,500,000","4,552,640",0,70,0,545,0
,"Pollution and waste
management","3,500,000","1,000,000",0,0,0,0,545,0
,Agroforestry promotion,"11,000,000","379,957,757","11,000,000","22,500,000",100,6,545,0
,Sub Total,"60,779,448","389,457,757","43,257,758","22,500,000",71,6,545,0
Department of Education and ICT,,,,,,,,545,0
"General Adminis-
tration & Support
Services",General administration,"354,371,665",0,"139,661,086",0,39,0,545,0
,"Policy planning and
Support services","47,394,554",,0,0,0,0,545,0
,"improved informal
employment","10,000,000",,0,0,0,0,545,0
"ECDE and CCC man-
agement services","ECDE management and
infrastructure support
services","14,200,000","14,200,000","3,511,766",0,25,0,545,0
,"Vocational management
services","13,000,000","10,000,000","13,000,000",0,100,0,545,0
,Sub Total,"438,966,219","24,200,000","156,172,852",0,36,0,545,0
Department of Health,,,,,,,,545,0
"Policy Planning and
support services","Administration support
services","522,776,355",0,"301,291,462",0,58,0,545,0
"Medical support
services",Medical support services,"158,650,000","447,500,000",0,0,0,0,545,0
,"Facility infrastructural
services","6,000,000",0,0,0,0,0,545,0
,Sub Total,"687,426,355","447,500,000","301,291,462",0,58,0,545,0
"Department of Lands, Housing and Urban Development",,,,,,,,545,0
"General adminis-
tration and support
services","General administration
and support services","75,345,805",0,"39,525,640",0,52,0,545,0
,Policy and planning,"400,000",0,"318,000",0,80,0,545,0
,"Physical Planning and
surveying services","4,000,000","7,000,000",0,0,0,0,545,0
,"Housing and Urban
Development",0,329205536,0,0,0,0,545,0
,"Land management and
administration services","1,000,000","10,000,000",0,0,0,0,545,0
,Sub Total,"80,745,805","346,205,536","39,843,640",0,49,0,545,0
"Department of Water, Sanitation and Irrigation",,,,,,,,545,0
"General Administra-
tion Planning and
Support Services","General administration
and support services","39,297,623",0,0,0,0,0,545,0
,"Major town’s water
services","9,000,000","31,200,000",0,0,0,0,545,0
,Sub Total,"48,297,623","31,200,000",0,0,0,0,545,0
"Department of Roads, Transport and Public Works",,,,,,,,545,0
"General Administra-
tion Planning and
Support Services","Administration and
support services","95,821,356",0,"31,323,522",0,33,0,545,0
"Roads Development
& management","Construction of roads
and bridges","20,800,000","472,026,602",0,"82,663,152",0,18,545,0
,,Rec,Dev,Rec,Dev,Rec,Dev,546,0
,"Infrastructural develop-
ment and fire safety","2,000,000",,0,0,0,0,546,0
,Sub Total,"118,621,356","472,026,602","31,323,522","82,663,152",33,18,546,0
"Department of Trade, Tourism, Industrialization and Cooperatives Development",,,,,,,,546,0
"General
administration and
support services","General administration
and support services","40,158,147",0,"15,961,829",0,40,0,546,0
,"Policy and planning
services","2,000,000",0,0,0,0,0,546,0
"Trade, Cooperative &
Investment",Cooperative promotion,"8,250,000",0,"4,416,925",0,54,0,546,0
,Trade promotion,"14,000,000","200,472,054",0,0,0,0,546,0
"Tourism promotion
and management",Weights and Measures,"1,500,000",0,0,0,0,0,546,0
,Sub Total,"65,908,147","200,472,054","20,378,754",0,31,0,546,0
"Department of Youths, Sports, Gender, Culture and Social Services",,,,,,,,546,0
"General
Administration,
Planning, and","General administration
support services","49,675,667",0,"21,912,206",0,44,0,546,0
,"Cultural Promotion and
Heritage",1000000,0,0,0,0,0,546,0
,"Sports Talent Develop-
ment and Promotion","14,000,000",0,0,0,0,0,546,0
,"Gender and social sup-
port services","2,000,000",0,0,0,0,0,546,0
,"Youth affairs devel-
opment and support
services","1,000,000",0,0,0,0,0,546,0
"Promotion and man-
agement of sports","Community Develop-
ment",,"12,500,000","3,053,200",0,0,0,546,0
,Sub Total,"67,675,667","12,500,000","24,965,406",0,37,0,546,0
County Public Service Board,,,,,,,,546,0
Support Services,legal services,"867,500",0,0,0,0,0,546,0
"General adminis-
tration and support
services",Policy and planning,"2,971,500",0,"2,779,977",0,94,0,546,0
,"General administration
and support services","57,284,925",0,"18,082,911",0,32,0,546,0
,Sub Total,"61,123,925",0,"20,862,888",0,34,0,546,0
Department of Public Administration and Coordination of Decentralized Units,,,,,,,,546,0
"General
administration and
support services",Policy and planning,"200,000",0,0,0,0,0,546,0
,"General administration
and support services","276,110,145",0,"98,173,696",0,36,0,546,0
"Communication
services",Communication services,"1,000,000",0,0,0,0,0,546,0
"community devel-
opment and special
funding","community devel-
opment and special
funding","22,000,000","37,500,000","2,060,641",0,9,0,546,0
,"security enforcement
and compliance support
services","1,000,000",0,0,0,0,0,546,0
"Coordination, strategy
& HR Services","Human resource man-
agement","500,000",0,0,0,0,0,546,0
,"Field coordination and
administration","1,000,000",0,0,0,0,0,546,0
,"Strategy & advisory
services","1,000,000",0,0,0,0,0,546,0
,"Human resource devel-
opment","170,500,000","5,000,000","50,000,000",0,29,0,546,0
,Sub Total,"473,310,145","42,500,000","150,234,337",0,32,0,546,0
,,Rec,Dev,Rec,Dev,Rec,Dev,547,0
Nyamira - Municipality,,,,,,,,547,0
"General
administration and
support services","General administration
and support services","51,434,230",0,"16,398,507",0,32,0,547,0
,Policy and planning,"40,441,800",0,0,0,0,0,547,0
"Infrastructural devel-
opment and fire safety","Infrastructural develop-
ment and fire safety",,"90,025,768",,0,0,0,547,0
,Sub Total,"91,876,030","90,025,768","16,398,507",0,18,0,547,0
Office of County Attorney,,,,,,,,547,0
,"General administration
support services","22,436,539",0,0,0,0,0,547,0
,"legal governance, legal
training, integrity affairs
management and sup-
port services","2,712,000","4,987,040",0,0,0,0,547,0
,Sub Total,"25,148,539","4,987,040",0,0,0,0,547,0
"Department of Economic Planning, Resources Mobilisation and ICT",,,,,,,,547,0
ICT Services,"Information and com-
munication services",,"13,000,000",0,0,0,0,547,0
"General
administration support
services","General administration
support services","164,490,616",0,"66,551,371",0,40,0,547,0
"Economic Planning &
Budgeting","Monitoring and eval-
uation","1,200,000",0,0,0,0,0,547,0
,"Economic planning and
coordination","64,698,400","18,546,994",0,0,0,0,547,0
,Sub Total,"230,389,016","31,546,994","66,551,371",0,29,0,547,0
Department of Livestock and Fisheries Services,,,,,,,,547,0
"General
administration and
support services","General administration
and support services","97,126,827",0,"24,954,237",0,26,0,547,0
,Policy and planning,"517,690",0,0,0,0,0,547,0
"Fisheries Development
& promotion","Aquaculture Promotion
Services","1,000,000",0,0,0,0,0,547,0
"Livestock
Development &
promotion","Animal Health Disease
and Management","1,000,000","8,000,000",0,0,0,0,547,0
,"Livestock Products
Value Addition and
Marketing","1,000,000","3,000,000",0,0,0,0,547,0
,Sub Total,"100,644,517","11,000,000","24,954,237",0,25,0,547,0
Department of Primary Healthcare,,,,,,,,547,0
"General
administration and
support services","General administration
and support services","1,107,780,663",0,"381,463,523",0,34,0,547,0
"Health Policy Planning
and Financing","Health Policy Planning
and Financing","1,500,000",0,0,0,0,0,547,0
,"Promotive and preven-
tive health services","116,821,464",,0,0,0,0,547,0
"Curative Health
Services","Facility infrastructural
services",,"35,000,000","20,102,293",0,0,0,547,0
,Sub Total,"1,226,102,127","35,000,000","401,565,816",0,33,0,547,0
Keroka Municipality Board,,,,,,,,547,0
"General
administration and
support services","General administration
and support services","15,512,809",0,0,0,0,0,547,0
,Environment services,"1,400,000",0,0,0,0,0,547,0
"Infrastructural
development and fire
safety","Infrastructural develop-
ment and fire safety",200000,"13,000,000",0,0,0,0,547,0
