Programme,Sub-Programme,"Revised Gross
Approved Estimates",col_3,Actual Expenditure,col_5,"Absorption
Rate (%)",col_7,col_8,page_number,table_index
,,(Kshs.Million),,(Kshs.Million),,,,,136,0
OFFICE OF GOVERNOR,,,,,,,,,136,0
"General Administration Plan-
ning and Support Services","Management of County Affairs
(Office of Governor)",162.56,8.05,41.70,2.71,26,,-,136,0
"County Leadership and Coor-
dination","Sub-County Administration and
Field Services",50.06,2.48,12.84,"834,379",26,,-,136,0
"County Government Adviso-
ry Services","Public Sector Advisory Services
(Legal, Political, and Economic
Advisors)",50.06,2.48,12.84,0.83,26,,-,136,0
Sub Total,,262.68,13.00,67.39,4.38,26,,34,136,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,,136,0
"General Administration Plan-
ning and Support Services","Recruitment and Selection,
Career Management, HR Policy
& Audit",15.06,0.00,4.97,0.00,33,,-,136,0
"General Administration Plan-
ning and Support Services","Administration of Board pro-
grammes/ Agenda",12.55,0.00,4.14,0.00,33,,-,136,0
"General Administration Plan-
ning and Support Services","Performance Management &
Discipline",8.25,0.00,2.72,0.00,33,,-,136,0
Sub Total,,35.85,0.00,11.83,0.00,33,,,136,0
"ADMINISTRATION, PUBLIC SERVICE, DEVOLUTION, GOVERNANCE, ICT AND GOVERNOR’S DELIVERY UNIT",,,,,,,,,136,0
"General Administration Plan-
ning and Support Services","Service delivery and manage-
ment of County Affairs",350.64,1.79,94.07,0.00,27,,-,136,0
Public Service,"Human Resource Development
and Culture Change Manage-
ment",273.36,1.40,73.34,0.00,27,,-,136,0
ICT Infrastructure,ICT Infrastructure Expansion,158.74,0.81,42.58,0.00,27,,-,136,0
Sub Total,,782.73,4.00,209.99,0.00,27,,-,136,0
COUNTY ASSEMBLY,,,,,,,,,136,0
"General Administration,
Planning and Support Ser-
vices",Administrative Services,210.00,29.73,88.36,0.00,42,,-,136,0
"General Administration,
Planning and Support Ser-
vices","Legislation, Representation and
Legislative Oversight",210.00,29.73,88.36,0.00,42,,-,136,0
"General Administration,
Planning and Support Ser-
vices",Representation Services,210.00,29.73,88.36,0.00,42,,-,136,0
"General Administration,
Planning and Support Ser-
vices","County Assembly Infrastructure
Improvement",76.36,10.81,32.13,0.00,42,,-,136,0
Sub Total,,706.35,100.00,297.22,0.00,42,,-,136,0
FINANCE AND ECONOMIC PLANNING,,,,,,,,,136,0
"General Administration Plan-
ning and Support Services","Administration, Planning and
Support Services",65.73,0.67,25.47,0.00,39,,-,136,0
"Economic Policy and County
Planning","Economic Development Plan-
ning and Coordination",25.39,0.26,9.84,0.00,39,,-,136,0
Revenue Management,Revenue Management Services,62.37,0.64,24.16,0.00,39,,-,136,0
Financial Management,"Control and Management of
Public Finances",31.29,0.32,12.12,0.00,39,,-,136,0
Monitoring and Evaluation,"Monitoring and Evaluation of
projects",7.58,0.08,2.94,0.00,39,,-,136,0
Research and Statistics,County Database,3.07,0.03,1.19,0.00,39,,-,136,0
Sub Total,,195.43,2.00,75.71,0.00,39,,-,136,0
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALISATION",,,,,,,,,136,0
,,,,,,,102,,136,0
,,(Kshs.Million),,(Kshs.Million),,,,,137,0
"Administrative Support
Services",Administrative Support Services,2.59,15.60,0.80,5.60,31,36,,137,0
"Trade Development and
Promotion","Trade Development and Pro-
motion",17.21,103.64,5.32,37.21,31,36,,137,0
"Industrial Development and
Investment","Industrial Development and
Investment",7.26,43.72,2.24,15.70,31,36,,137,0
Tourism Development,Tourism Development,5.94,35.77,1.84,12.84,31,36,,137,0
Sub Total,,33.00,198.72,10.20,71.36,31,36,,137,0
"AGRICULTURE, LIVESTOCK, FISHERIES AND COOPERATIVE DEVELOPMENT",,,,,,,,,137,0
"Administrative Support
Services",Administrative Support Services,50.83,38.52,7.10,0.00,14,-,,137,0
"Crop Development and Man-
agement","Crop Development and Man-
agement",57.13,43.30,7.98,0.00,14,-,,137,0
"Agribusiness and Information
Management","Agribusiness and Information
Management",51.25,38.84,7.16,0.00,14,-,,137,0
"Livestock Resources Manage-
ment and Development","Livestock Resources Manage-
ment and Development",48.36,36.65,6.76,0.00,14,-,,137,0
"Cooperative Development
and management",Strengthening the Cooperatives,43.23,32.76,6.04,0.00,14,-,,137,0
"Aquaculture Development
and management",Fisheries Development,31.08,23.55,4.34,0.00,14,-,,137,0
Sub Total,,281.87,213.62,39.39,0.00,14,-,,137,0
