Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,"Develop-
ment","Re-
cur-
rent","Develop-
ment",705,1
"Admin-
istration,
Planning
and Support
Service",,"919,627,014","188,414,500","359,093,976",-,39,-,706,0
,Administrative Service,"915,575,205","188,414,500","358,950,376",-,39,-,706,0
,"Research and Devel-
opment","3,751,809",-,"143,600",-,4,-,706,0
,"Formulation of Poli-
cies, Regulations and
Legal Framework","300,000",-,--,-,-,-,706,0
"Livestock
Development
and Manage-
ment",,"9,772,500","8,000,000","120,417",-,1,-,706,0
,"Veterinary Services
and Extension","7,908,500","4,500,000","120,417",-,2,-,706,0
,Livestock Extension,"1,614,000","3,500,000",-,-,0,-,706,0
,"Value Chain Develop-
ment","250,000",-,-,-,-,-,706,0
"Fisheries
Development
and Manage-
ment",,"3,146,000","1,000,000","50,000",-,2,-,706,0
,"Promotion of Fish
Farming","3,146,000","1,000,000","50,000",-,2,-,706,0
"Crop Devel-
opment and
Management",,"4,962,000","21,918,919","216,160",-,4,-,706,0
,Crop Extension,"550,000",,"111,900",-,20,-,706,0
,Farm Input Subsidy,"500,000","21,918,919",-,-,-,-,706,0
,"Cash Crop Production
and Development","2,412,000",,"104,260",-,4,-,706,0
,"Food Security Initia-
tives","1,500,000",,-,-,0,-,706,0
"Cooperatives
Development",,"6,599,000","2,000,000","375,000",-,6,-,706,0
,"Cooperative Develop-
ment Services","6,599,000","2,000,000","375,000",-,6,-,706,0
"Land Survey
and Mapping
Services",,"1,000,000","11,800,000","182,525",-,18,-,706,0
,"Land Survey and
Mapping","1,000,000","11,800,000","182,525",-,18,-,706,0
"1 Urban and
Physical
Planning
and Housing
Services",,"62,732,511","27,774,460","1,711,252","20,000,000",3,72,706,0
,"Urban and Physical
Planning","1,500,000","7,774,460","751,790",-,50,-,706,0
,Housing Development,"1,500,000",,-,-,-,-,706,0
,"Vihiga Municipality
{KUSP}","59,732,511","20,000,000","959,462","20,000,000",2,100,706,0
"Admin-
istration,
Planning
and Support
Service",,"91,610,006","196,982,628","8,773,290",-,10,-,707,0
,Administrative Service,"91,610,006","196,982,628","8,773,290",-,10,-,707,0
"Transport
Management",,"7,858,600","15,000,000","800,000",-,10,-,707,0
,"Transport System
Management","5,312,600",,"800,000",-,15,-,707,0
,Mechanical Services,"2,546,000","15,000,000",-,-,-,-,707,0
"Infrastruc-
ture Develop-
ment",,"1,000,000","242,936,293",-,-,-,-,707,0
,Street Lighting,"1,000,000","18,336,293",-,-,-,-,707,0
,Roads Maintenance,,"224,600,000",-,-,,-,707,0
"Admin-
istration,
Planning
and Support
Service",,"47,869,225","373,982,323","3,632,765",-,8,-,707,0
,Administrative Service,"47,869,225","373,982,323","3,632,765",-,8,-,707,0
"Public
Finance
Management",,"200,000",-,-,-,-,-,707,0
,ICT Printing press,"200,000",-,-,-,-,-,707,0
"Trade Devel-
opment and
Investment",,"4,095,000","42,800,000","250,000",-,6,-,707,0
,"Market Development
and Management","4,095,000","39,900,000","250,000",-,6,-,707,0
,"Business Support and
Consumer Protection",,"2,900,000",-,-,-,-,707,0
"Tourism De-
velopment",,"3,159,000",-,"333,000",-,11,-,707,0
,"Tourism Promotion
and Branding","3,159,000",-,"333,000",-,11,-,707,0
"Admin-
istration,
Planning
and Support
Service",,"1,244,501,780","138,200,000","953,334,679","7,846,411",77,6,707,0
,Administrative Service,"1,236,401,780","138,200,000","952,875,061","7,846,411",77,6,707,0
,"Human Resource
Management and
Development","1,000,000",-,"459,618",-,46,-,707,0
,Healthcare Financing,"7,100,000",-,-,-,-,-,707,0
"Promotive
and Preven-
tive Health-
care Services",,"86,792,188",-,"17,947,729",-,21,-,707,0
,Public Health Services,"246,000",-,-,-,-,-,707,0
,"Community Health
Strategy","80,546,188",-,"16,952,729",-,21,-,707,0
,Health Promotion,"1,000,000",-,-,-,-,-,707,0
,"Reproductive Health-
care","5,000,000",-,"995,000",-,20,-,708,0
"Curative And
Rehabilita-
tive Health
Services",,"79,515,000",-,"2,831,560",-,4,-,708,0
,Medical services,"5,000,000",-,"2,831,560",-,57,-,708,0
,"Drugs and Other Med-
ical Supplies","74,515,000",-,-,-,-,-,708,0
"Child and
Maternal
Health Care",,"10,000,000",-,"2,426,467",-,24,-,708,0
,Nutrition Services,"10,000,000",-,"2,426,467",-,24,-,708,0
"Admin-
istration,
Planning
and Support
Service",,"81,228,000","59,018,632","14,847,012","34,959,820",18,59,708,0
,Administrative Service,"81,228,000","59,018,632","14,847,012","34,959,820",18,59,708,0
"Education
Support
Service",,"40,517,177",-,"23,580,971",-,58,-,708,0
,Education Support,"40,517,177",-,"23,580,971",-,58,-,708,0
"Vocational
Education
and Training",,"85,100,000","30,000,000","28,143,976","2,250,047",33,8,708,0
,"Youth Polytechnic
Development","85,100,000","30,000,000","28,143,976","2,250,047",33,8,708,0
"Early Child-
hood Devel-
opment",,"170,100,000","69,700,000","333,015",-,-,-,708,0
,ECD Development,"170,100,000","69,700,000","333,015",-,-,-,708,0
"Admin-
istration,
Planning
and Support
Service",,"1,032,865,033","209,722,151","590,574,993","26,670,825",57,13,708,0
,Administrative Service,"1,009,465,033","198,222,151","589,305,993","23,670,825",58,12,708,0
,"County Administra-
tion","16,800,000","9,500,000","1,269,000","3,000,000",8,32,708,0
,"County Radio Infor-
mation Services","6,600,000","2,000,000",-,-,-,-,708,0
"Public
Finance
Management",,"59,983,508",-,"11,905,268",-,20,-,708,0
,"Public Finance Man-
agement","7,080,002",-,"2,327,383",-,33,-,708,0
,Accounting Services,"7,700,000",-,"1,189,900",-,15,-,708,0
,Audit Services,"7,606,000",-,"444,675",-,6,-,708,0
,"Budget Formulation
Coordination","7,600,000",-,"2,032,090",-,27,-,708,0
,Resource Mobilization,"23,382,653",-,"4,401,700",-,19,-,708,0
,"Budget Expenditure
Management","6,614,853",-,"1,509,520",-,23,-,708,0
"County Plan-
ning Services",,"9,790,000",-,"2,690,603",-,27,-,709,0
,"Monitoring and Eval-
uation","4,650,000",-,"978,600",-,21,-,709,0
,"Coordination of Policy
Formulation and Plans","5,140,000",-,"1,712,003",-,33,-,709,0
"Coordination
and Supervi-
sory Services",,"27,649,288",-,"10,497,900",-,38,-,709,0
,"Performance Manage-
ment","8,424,644",-,"2,518,400",-,30,-,709,0
,"Disaster Management
and Mitigation","19,224,644",-,"7,979,500",-,42,-,709,0
"Management
and Admin-
istration
of County
Services",,"53,906,790",-,"6,574,985",-,12,-,709,0
,County Executive,"48,678,288",-,"5,999,985",-,12,-,709,0
,County Secretary,"5,228,502",-,"575,000",-,11,-,709,0
"Admin-
istration,
Planning
and Support
Service",,"42,886,094","1,586,918","2,899,450",-,7,-,709,0
,Administrative Service,"42,886,094","1,586,918","2,899,450",-,7,-,709,0
903004860,,"33,750,000","8,000,000","2,861,300",-,8,-,709,0
,Promotion of Sports,"15,000,000",,"2,411,300",-,16,-,709,0
,"Promotion of Culture
and Heritage","2,750,000","8,000,000","450,000",-,16,-,709,0
,Recreation and Arts,"16,000,000",-,-,-,-,-,709,0
904004860,,"8,050,000","25,400,000","1,641,900",-,20,-,709,0
,Social Protection,"5,050,000","25,400,000","69,300",-,1,-,709,0
