Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Recurrent,Development,Recurrent,Development,Rec,Dev,603,0
Department County Assembly,,,,,,,,603,0
"Programme
1.",,"801, 348, 339","544, 762, 151","122, 733, 559","42, 933, 925",,,603,0
,S.P. 2. Legislation,"324, 904, 421",0,"128, 874, 892",0,40,-,603,0
,S.P. 3. Oversight,"43, 100, 000",0,"15, 515, 287",0,36,-,603,0
,"S.P 4. Staff management
and development","444, 412, 838","544, 762, 151","189, 183, 211","42, 933, 925",43,8,603,0
,Sub Total,"801, 348, 339","544, 762, 151","333, 573, 390","42, 933, 925",42,8,603,0
Department of Finance and Economic Planning,,,,,,,,603,0
"Programme
3.",,"864, 756, 557","58, 973, 185","293, 277, 865",0,,,603,0
,S.P. 1. Financial services,"16, 327, 000",0,"2, 198, 435",0,13,-,603,0
,"S.P. 2. Administration
planning, revenue &
account","659, 918, 159","58, 973, 185","283, 422, 342","20, 536, 440",43,34,603,0
,S.P. 3. Procurement,"10, 754, 630",0,"1, 437, 074",,13,-,603,0
,S.P. 4. Budget services,"102, 239, 223",0,"33, 432, 729",0,33,-,603,0
,"S.P. 5. Internal Audit
services","8, 139, 329",0,"1, 835, 800",0,23,-,603,0
,"S.P. 6. Economic plan-
ning services","28, 772, 329",0,"3, 800, 338",0,13,-,603,0
,"S.P. 7. Economic Plan-
ning services","27, 881, 426",0,"3, 426, 900",0,12,-,603,0
,"S.P. 9. Public partici-
pation","8, 324, 461",0,"25, 000",0,0,-,603,0
,Sub-Total,"864, 756, 557","58, 973, 185","349, 548, 229","20, 536, 440",40,34,603,0
Department of Health Services.,,,,,,,,603,0
"Programme
1.",,"2,253,339,757",0,"622, 498, 155",0,,,603,0
,"S.P. 1. General adminis-
tration & planning","1,725,523,280",0,"388, 092, 037",0,23,-,603,0
,"S.P. 2. Curative health-
care services","191, 190, 963",0,"82, 047, 336",0,43,-,603,0
,"S.P. 3. Preventive, pro-
motive & rehabilitative","114, 889, 848",0,"42, 631, 635",0,37,-,603,0
,"S.P. 5. Facility improve-
ment fund","98, 360, 771",0,"49, 933, 447",0,50,-,603,0
,S.P. 6. HIV services,"27, 038, 243",0,"9, 881, 998",0,37,-,603,0
569,,,,,,,,603,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,604,0
,S.P. 9. Nutrition services,"50, 928, 536",0,"20, 135, 229",0,40,-,604,0
,"S.P. 10. Environmental
health services","45, 408, 116",0,"18, 785, 980",0,41,,604,0
"Programme
3.",,0,"499, 212, 470",0,"104, 345, 948",,,604,0
,"SP 2. Administration,
planning & revenue",0,"499, 212, 470",0,"104, 345, 948",-,21,604,0
,Sub-Total,"2,253,339,757","499, 212, 470","622, 498, 155","104, 345, 948",28,21,604,0
"Governorship, administration and ICT",,,,,,,,604,0
"Programme
2.",,"739, 424, 604",0,"223, 971, 747",0,,,604,0
,"S.P. 1. General admin,
planning & support
services","286, 178, 811",0,"107, 604, 850",0,38,-,604,0
,"S.P. 2. Office of the
Governor","155, 613, 129",0,"58, 373, 341",0,38,-,604,0
,"S.P. 4. County Public
Service board","61, 651, 031",0,"1, 585, 750",0,26,-,604,0
,"S.P. 5. Firefighting &
disaster management","25, 825, 200",0,"16, 592, 970",0,64,-,604,0
,"S.P. 6. Sub-county
administration","118, 027, 908",0,"65, 305, 201",0,55,-,604,0
,"S.P. 7. Human resource
management","32, 913, 010",0,"11, 202, 800",0,34,-,604,0
,"S.P. 8. Communication
& public relations","36, 171, 012",0,"3, 273, 600",0,9,-,604,0
,"S.P. 9. Information
technology","23, 044, 503",0,"2, 033, 235",0,9,-,604,0
,Subtotal,"739, 424, 604",0,"274, 522, 485",0,37,-,604,0
"Department of Smart agriculture, irrigation, food security, livestock and fisheries",,,,,,,,604,0
"Programme
1.",,"336, 714, 775","411, 410, 417","15, 468, 680","59, 574, 163",,,604,0
,"S.P. 1. General admin-
istration","118, 050, 499","81, 541, 822","52, 344, 128","18, 562, 245",44,16,604,0
,"S.P. 3. Veterinary
services","28, 943, 305","11, 000, 000","3, 360, 000","907, 456",12,8,604,0
,"S.P. 4. Crop manage-
ment","159, 025, 221","284, 700, 271","78, 394, 698","33, 604, 462",49,12,604,0
,"S.P. 5. Fisheries develop-
ment & management","30, 695, 750","34, 168, 324","2, 678, 034","6, 500, 000",9,19,604,0
,Subtotal,"336, 714, 775","411, 410, 417","136, 245, 311","59, 574, 163",41,15,604,0
"Department of Water, sanitation, environment, climate change and natural resources.",,,,,,,,604,0
"Programme
1.",,"88, 208, 148","710, 782, 180","30, 355, 365","96, 709, 978",,,604,0
,"S.P. 1. General admin-
istration","44, 960, 227",0,"20, 741, 198",0,46,-,604,0
,S.P. 2. Water services,"38, 454, 007","710, 782, 180","7, 844, 797","96, 709, 978",20,14,604,0
,S.P. 3. Forestry,"4, 793, 914",0,"1, 769, 369",0,37,-,604,0
,Subtotal,"88, 208, 148","710, 782, 180","30, 355, 364","96, 709, 978",34,14,604,0
"Department of Education, youth affairs, gender and social services.",,,,,,,,604,0
