Programme,Sub-Programme,"Approved Gross Approved
Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,72,1
Administration and Public Service,,,,,,,,72,1
"Administration and
Public Service",County Executive,"173,180,072",0,"82,348,207",0,48,0,72,1
,County PSB,"23,798,200",0,"8,818,131",0,37,0,72,1
,Administration/Governance,"129,816,291","56,000,000","60,763,150","6,660,741",47,12,72,1
,Public Service,"2,213,752,795",0,"925,289,891",0,42,0,72,1
,Sub-Total,"2,540,547,358","56,000,000","1,077,219,379","6,660,741",42,12,72,1
"Finance, Economic Planning and ICT",,,,,,,,72,1
Finance,"Financial Management
Services","134,885,173","59,000,000","62,005,921","12,000,000",46,20,72,1
,Sub-Total,"134,885,173","59,000,000","62,005,921","12,000,000",46,20,72,1
Economic Planning,Administration,"59,187,995","170,000,000","22,884,682.60","12,900,399",39,8,72,1
,"Budget Preparation & Man-
agement","7,200,000",0,"4,465,100",0,62,0,72,1
,"Monitoring & Evaluation
Services","6,548,574",0,"2,928,000",0,45,0,72,1
,Planning & Statistics,"22,800,000",0,"6,562,050",0,29,0,72,1
,Sub-Total,"95,736,569","170,000,000","36,839,832.60","12,900,399",38,8,72,1
ICT,Administration,"29,670,000","11,000,000","8,598,642.45",0,29,0,72,1
,Sub-Total,"29,670,000","11,000,000","8,598,642.45",0,29,0,72,1
,,Rec,Dev,Rec,Dev,Rec,Dev,73,0
"Lands, Housing and Urban Planning",,,,,,,,73,0
"Lands, Housing and
Urban Planning",Lands,"16,676,000","52,000,000","4,079,400","2,000,000",24,4,73,0
,Urban Management,"78,460,000","44,620,000","28,632,452",0,36,0,73,0
,Housing Development,"3,466,000","7,000,000",0,"3,314,041",0,47,73,0
,Municipality,"85,420,000","27,778,289","45,800",0,0,0,73,0
,Sub-Total,"184,022,000","131,398,289","32,757,652","5,314,041",18,4,73,0
"Gender, Culture and Social Services",,,,,,,,73,0
Gender and Culture,"Policy Development and
Administrative Services","45,651,628","6,973,556","11,521,834.35","2,518,239",25,36,73,0
,Sub-Total,"45,651,628","6,973,556","11,521,834.35","2,518,239",25,36,73,0
Medical Services and Public Health,,,,,,,,73,0
"Medical Services
and Public Health","Administration, Planning
and Support Services","1,463,397,433",0,"820,206,630",0,56,0,73,0
,"Health Care Financing –
Transfers to Health Facilities","184,726,421",0,"67,527,898",0,37,0,73,0
,Curative Services,"256,287,510",0,"50,740,834",0,20,0,73,0
,"Preventive and Promotive
Services","308,100,782",0,"1,110,000",0,0,0,73,0
,"Reproductive Health
Services","10,000,000",0,"1,017,000",0,10,0,73,0
,"Health Infrastructure Devel-
opment",0,"165,000,000",0,"4,549,800",0,3,73,0
,Sub-Total,"2,222,512,146","165,000,000","940,602,362","4,549,800",42,3,73,0
"Agriculture, Livestock and Cooperatives",,,,,,,,73,0
Agriculture,Administration,"16,040,000",0,"2,587,200",0,16,0,73,0
,Crop Management,0,"309,116,189",0,"249,725",0,0,73,0
,Food & Nutrition Security,0,"46,600,000",0,"19,720,459",0,42,73,0
,Sub-Total,"16,040,000","355,716,189","2,587,200","19,970,184",16,6,73,0
"Livestock, Fisheries
& Veterinary
Services",Livestock Development,0,"57,394,720",0,0,0,0,73,0
,Fisheries Development,0,"300,000",0,0,0,0,73,0
,Veterinary Services,0,"44,000,000",0,"23,174,263",0,53,73,0
,Sub-Total,0,"101,694,720",0,"23,174,263",0,23,73,0
"Cooperative &
Enterprise Devel-
opment",Administration,"20,530,000","52,600,000","3,525,068.95","6,514,335",17,12,73,0
,Sub-Total,"20,530,000","52,600,000","3,525,068.95","6,514,335",17,12,73,0
Water Sanitation and Environment,,,,,,,,73,0
"Water and Irriga-
tion",Administration,"77,073,100",0,"65,339,982",0,85,0,73,0
,"Development of Water
Supply for Domestic and
Commercial purposes",0,"487,770,853",0,"67,774,064",0,14,73,0
,Sub-Total,"77,073,100","487,770,853","65,339,982","67,774,064",85,14,73,0
"Waste Water Man-
agement",Waste Water management,0,"5,000,000",0,0.,0,0,73,0
,Sub-Total,0,"5,000,000",0,0,0,0,73,0
"Environment &
Natural Resources",Administration,"56,716,742",0,"2,754,315",0,5,0,73,0
,"Environmental and Natural
Resources Protection and
Conservation",0,"397,223,290",0,"62,866,256",0,16,73,0
,Sub-Total,"56,716,742","397,223,290","2,754,315","62,866,256",5,16,73,0
Education and Vocational Training,,,,,,,,73,0
