Programme,Sub-Programme,"Revised Gross Approved Estimates
(Kshs.)",col_3,"Actual Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,Sub-Total,"154,702,416.00","54,299,178.00","58,571,152.30","999,978.00",38,2,732,0
"WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,,,732,0
"Programme
10 -","SP 1 - (General Administration, plan-
ning and Support Services)","56,304,774.30",-,"29,868,545.40",-,53,-,732,0
,SP 2 -(Water Supply Services),"17,165,414.00","23,075,216.00","4,233,000.00","23,075,216.00",25,100,732,0
,"SP 3 -(Environment & Natural Resource
Development)","1,581,280.00","328,967,694.00",-,"16,797,100.00",-,5,732,0
,SP 4 -(Ward Specific),-,"160,470,714.00",-,-,-,-,732,0
,Sub-Total,"75,051,468.30","512,513,624.00","34,101,545.40","39,872,316.00",45,8,732,0
"TOURISM, YOUTH SPORTS AND CULTURE",,,,,,,,732,0
"PRO-
GRAMME 11-","SP 1 - (General Administration, plan-
ning and Support Services)","75,799,889.00",-,"29,152,344.05",-,38,-,732,0
,SP 2-(Tourism Development),"5,494,000.00",-,"913,450.00",-,17,-,732,0
,"SP 3-(Gender, Youths and Sports
Development)",0.00,"12,999,873.00",-,"4,999,950.00",-,38,732,0
,SP 4(Culture and Social Development),"3,439,718.00",-,-,-,-,-,732,0
,SP 5-(Ward Specific),"4,536,612.00","32,495,117.00",-,"3,298,787.00",-,10,732,0
,Sub-Total,"89,270,219.00","45,494,990.00","30,065,794.05","8,298,737.00",37,18,732,0
"COUNTY PUBLIC SERVICE, ICT AND DECENTRALISED UNITS",,,,,,,,732,0
"Programme
12 -","SP 1 - (General Administration, plan-
ning and Support Services)","371,572,693.00",-,"100,094,280.05",-,27,-,732,0
,SP 2-(Human Resource),"5,377,548.90",-,-,-,-,-,732,0
,SP 3-(Legal Services),"11,520,000.00",-,"3,565,439.00",-,31,-,732,0
,SP 4 - (Records Management),"9,528,000.00",-,"1,960,700.00",-,21,-,732,0
,SP 5- (Communication Services),"4,200,000.00",-,-,-,-,-,732,0
,SP 6 - (ICT Infrastructure Connectivity),"28,176,926.00","3,549,400.00","2,799,870.00",-,10,-,732,0
,SP 7 - (Field Administration),"15,480,000.00",-,-,-,-,-,732,0
,Sub-Total,"425,378,841.90","3,549,400.00","108,420,289.05",-,25,-,732,0
SPECIAL PROGRAMMES AND DIRECTORATES,,,,,,,,732,0
