"Pro-
gramme",Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 31
December 2024",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,275,0
"County
Assembly","Administration and
Support Services","827,043,113",_,"320,768,307",_,38.8,_,275,0
,"Oversight and Legisla-
tive Services","297,594,882","76,722,235","101,491,508",_,34.1,_,275,0
,Sub Total,"1,124,637,995","76,722,235","422,259,815",_,37.5,_,275,0
"Executive
(Office
of the
Governor,
Deputy
Governor,
County
Secretary
and Public
Service
Board","Administration,
Planning and Support
Services","326,700,000","200,000,000","119,160,244","79,866,372",36.5,39.9,275,0
,"Office of the County
Secretary","8,650,000",_,_,_,_,_,275,0
,Legal Services,"42,570,000",_,_,_,_,_,275,0
,"Communication Ser-
vices","3,180,000",_,_,_,_,_,275,0
,"Governor’s Advisors,
Service Delivery Unit
and Efficiency Moni-
toring","1,260,000",_,_,_,_,_,275,0
,Chief of staff,"750,000",_,_,_,_,_,275,0
,"County Public Service
Board","16,384,950",_,_,_,_,_,275,0
,County Liaison office,"620,000",_,_,_,_,_,275,0
,Sub-Total,"400,114,950","200,000,000","119,160,244","79,866,372",29.8,39.9,275,0
"Admin-
istration,
Corporate
Services
and Stake-
holder
Manage-
ment","Administration,
Planning and Support
Services","540,853,683",_,"179,664,445",_,33.2,_,275,0
,Devolved Units Services,"1,400,000","33,300,000",_,"1,982,700",_,6.0,275,0
,"Human Resource Devel-
opment","1,600,000",_,_,_,_,_,275,0
,Enforcement Services,"8,456,000",_,_,_,_,_,275,0
,"Stakeholder Manage-
ment","39,303,018",_,"16,225,805",_,41.3,_,275,0
,"Public Participation and
Civic Education","2,700,000",_,_,_,_,_,275,0
,Disaster Management,"9,050,000","10,200,000",_,_,_,_,275,0
,Fleet Management,"7,300,000",_,_,_,,_,275,0
,"Strategy Delivery &
Project Management","400,000",_,_,_,_,_,275,0
,Special Programmes,"1,965,444",_,_,_,_,_,275,0
,Sub-Total,"613,028,145","43,500,000","195,890,250","1,982,700",32.0,4.6,275,0
"Finance
and
Economic
Planning","Administration, Coor-
dination and Support
Services","956,453,776",_,"253,359,865",_,26.5,_,275,0
,"Public Financial man-
agement services","85,882,512",_,"520,000",_,0.6,,275,0
,"County Planning Ser-
vices","146,563,712","246,000,000","36,309,948","9,960,825",24.8,4,275,0
,Sub-Total,"1,188,900,000","246,000,000","290,189,813","9,960,825",24.4,4.0,275,0
,,Rec,Dev,Rec,Dev,Rec,Dev,276,0
"Agri-
culture,
Livestock,
Fisheries
and Co-
operative
Develop-
ment","Administration and
Support Services","111,024,568",_,"25,088,316",_,22.6,_,276,0
,Veterinary Services,_,"45,145,078",_,"8,876,950",_,19.7,276,0
,Livestock Development,_,"44,659,200",_,_,_,_,276,0
,Fisheries development,_,"46,656,525",_,"1,995,443",_,4.3,276,0
,"Crop development head-
quarters","177,931,929","278,434,431","18,710,805","37,609,921",10.5,13.5,276,0
,"Kisii Agricultural Train-
ing Centre","300,000","48,159,006",_,"2,044,120",_,4.2,276,0
,"Cooperative Develop-
ment and Management","400,000","4,500,000",_,_,_,_,276,0
,Crop development,"450,000","5,532,336",_,_,_,_,276,0
,Cooperative Audit,_,_,_,_,_,_,276,0
,"Monitoring and Eval-
uation",_,_,_,_,_,_,276,0
,"Agro-processing, Value
addition, and Marketing","700,000","500,000",_,_,_,_,276,0
,"Engineering, Irrigation
and Drainage","300,000","3,000,000",_,_,_,_,276,0
,Sub-Total,"291,106,497","476,586,576","43,799,121","50,526,434",15.0,10.6,276,0
"Energy,
Water,
Environ-
ment and
Natural
Resources",Energy Services,_,"67,100,000",_,_,_,_,276,0
,"Environment Manage-
ment","18,020,000","211,950,000",_,"3,999,500",_,1.9,276,0
,"Water and sanitation
services","113,166,382","429,905,963","29,073,855","59,124,068",25.7,13.8,276,0
,Sub-Total,"131,186,382","708,955,963","29,073,855","63,123,568",22.2,8.9,276,0
"Education,
Labour
and
Manpower
Develop-
ment","General Administration
and Planning Services","964,859,123",_,"268,601,000",_,27.8,_,276,0
,"Early childhood devel-
opment education",_,"366,804,478",_,_,_,_,276,0
,Vocational training,_,"32,366,950",_,_,_,_,276,0
,Sub-Total,"964,859,123","399,171,428","268,601,000",_,27.8,_,276,0
"County
Health
Services",Medical Services,"3,421,154,652","699,871,055","1,156,633,201","66,833,219",33.8,9.5,276,0
,public health,"92,750,000",_,_,_,_,_,276,0
,Sub-Total,"3,513,904,652","699,871,055","1,156,633,201","66,833,219",32.9,9.5,276,0
"Lands,
Physical
Planning
and Urban
Develop-
ment","Administration,
planning and support
services","230,100,000",_,"38,909,000",_,16.9,_,276,0
,Urban development,_,"239,503,308",_,"9,350,000",_,3.9,276,0
,Land use services,_,_,_,_,_,_,276,0
,Sub-Total,"230,100,000","239,503,308","38,909,000","9,350,000",16.9,3.9,276,0
"Roads,
Public
Works,
Transport
and Hous-
ing","General administration
and planning services","184,700,000",_,"49,825,625",_,27,_,276,0
,Roads development,_,"1,764,306,009",_,"175,737,002",_,10,276,0
,Public works,"70,300,000","6,000,000","21,896,832",_,31.1,_,276,0
,Sub-Total,"255,000,000","1,770,306,009","71,722,457","175,737,002",28.1,9.9,276,0
