Programme,Sub- Programme,"Approved Esti-
mates (Kshs)","Actual
Expenditure
(Kshs)","Variance
(Kshs)","Absorp-
tion rate
(%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,164,1
"General administration
and support services","Staff Remuneration and Welfare
Support Services","451,893,111","223,754,172","359,390,967",20.5,164,1
,"General Logistics, Coordination
and Asset Management Services","172,735,098","38,955,376","164,443,339",4.8,164,1
,Subtotal,"624,628,209","262,709,548","523,834,306",16.1,164,1
"Planning, Budgeting and
Development Coordina-
tion Services","Economic planning and develop-
ment coordination services","10,953,000","500,000","10,453,000",4.6,165,0
,Resource allocation services,"9,393,200",-,"9,393,200",-,165,0
,"Public Participation Facilitation
services","12,589,000",-,"12,589,000",-,165,0
,Subtotal,"32,935,200","500,000","32,435,200",1.5,165,0
"Resource mobilisation
services","External Resources Mobilization
Services",-,-,-,-,165,0
,"Internal Revenue Generation
Services","28,486,600","6,350,467","22,136,133",22.3,165,0
,Subtotal,"28,486,600","6,350,467","22,136,133",22.3,165,0
"Financial management
services","Accounting and Financial Report-
ing Services","8,859,400",-,"8,859,400",-,165,0
,"Supply Chain Management
Services","9,592,861",-,"9,592,861",-,165,0
,Audit and Advisory Services,"7,072,885",-,"7,072,885",-,165,0
,Emergency Management Services,"234,935,539","12,000,000","222,935,539",5.1,165,0
,Subtotal,"260,460,685","12,000,000","248,460,685",4.6,165,0
,Total,"946,510,694","281,560,015","664,950,679",29.7,165,0
County Public Service Board,,,,,,165,0
"General Policy, Planning
and Administration
Services",Policy Development Services,"1,425,000",-,-,-,165,0
,Administrative Support Services,"63,014,549","29,860,814","36,696,589",44.9,165,0
,"Infrastructure Development
Services",0,0,0,0,165,0
,Subtotal,"64,439,549","29,860,814","37,196,589",44.5,165,0
"Personnel Sourcing and
Management Services","Recruitment, Selection and De-
ployment Services","2,877,854",-,"2,877,854",-,165,0
,"Human Resource Management
and Development Services","140,000",-,"140,000",-,165,0
,"Establishment and abolishment of
Offices",-,-,-,-,165,0
,"National Performance Manage-
ment Systems",-,-,-,-,165,0
,Capacity Development Services,"2,000,000",-,"2,000,000",-,165,0
,Subtotal,"5,017,854",-,"5,017,854",-,165,0
,Total,"69,457,403","29,860,814","39,596,589",43.0,165,0
County Assembly Service Board,,,,,,165,0
Legislative Services,"Members’ welfare Support
services","247,066,059","125,752,231","120,895,908",51.0,165,0
,"Legislative development and
approval services","131,636,498","97,146,491","34,653,509",73.7,165,0
,Subtotal,"378,702,557","222,898,722","155,549,417",58.9,165,0
"Oversight and Control
Services",Capacity building services,"80,000,000","31,026,740","48,973,260",38.8,165,0
,Report writing services,"40,000,000","31,072,900","8,927,100",77.7,165,0
,"Public Participation and
Education Services","20,000,000",-,"20,000,000",-,165,0
,Subtotal,"140,000,000","62,099,640","77,900,360",44.4,165,0
"Ward Representation
Services",Staff welfare support services,"59,712,348","14,570,611","45,141,737",24.4,165,0
,Ward operations and maintenance,"17,284,320","8,847,792","8,436,528",51.2,165,0
,Subtotal,"76,996,668","23,418,403","53,578,265",30.4,165,0
"Policy, Planning and
Administrative
Support Services",Administrative support services,"272,270,879","118,198,712","154,072,167",43.4,166,0
,Financial Management Services,"159,190,000","63,384,524","95,805,476",39.8,166,0
,"Assembly Infrastructure Develop-
ment Services","142,564,789",-,"142,564,789",-,166,0
,Subtotal,"574,025,669","181,583,236","392,442,432",31.6,166,0
,Total,"1,169,724,894","490,000,000","679,724,894",41.9,166,0
Homa Bay Municipal Board,,,,,,166,0
"Planning, Finance and
Administrative Support
Services",Policy and planning services,-,-,-,-,166,0
,Financial Management Services,"6,811,419",-,"6,811,419",-,166,0
,"Personnel remuneration and
development services","22,945,272","10,600,000","12,345,272",46.2,166,0
,Subtotal,"29,756,691","10,600,000","19,156,691",35.6,166,0
"Public Works and Infra-
structure Improvement
Services","Transport Infrastructure Improve-
ment Services","37,861,088",-,"37,861,088",-,166,0
,"Environmental Management
Services","5,000,000",-,"5,000,000",-,166,0
,Provision for pending bills,"2,000,000",-,"2,000,000",-,166,0
,Subtotal,"44,861,088",-,"44,861,088",-,166,0
"Housing and Urban De-
velopment Services","Social outreach and Engagement
Services",-,-,-,-,166,0
,"Neighbourhood Planning and
Development Services","4,000,000",-,"4,000,000",-,166,0
,"Workforce development and
enterprise support services",-,-,-,-,166,0
,Subtotal,"4,000,000",-,-,-,166,0
,Total,"78,617,779","10,600,000","68,017,779",13.5,166,0
"Office of The Deputy Governor and Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,166,0
"Policy Planning, General
Administration and Sup-
port Services",Policy and Planning Services,-,-,-,-,166,0
,"General Administration and
Support Services","210,480,293","97,609,726","112,870,567",46.4,166,0
,Subtotal,"210,480,293","97,609,726","112,870,567",46.4,166,0
"Crop, Land and Agri-
business Development
Services",Crop Development Services,"21,499,430",-,"21,499,430",-,166,0
,"Agribusiness Development
Services",-,-,-,-,166,0
,Land Development Services,-,-,-,-,166,0
,"National Agriculture Rural Inclu-
sive Growth",-,-,-,-,166,0
,"Agriculture Sector Development
Support Programme",-,-,-,-,166,0
,National Value Chain Project,-,-,-,-,166,0
,Subtotal,"21,499,430",-,"21,499,430",-,166,0
"Food Security Enhance-
ment Services","Sub Sector Infrastructure Devel-
opment Services","5,000,000",-,"5,000,000",-,166,0
,Farm Input Access Services,"43,000,000","30,070,739","12,929,261",69.9,166,0
,"National Agriculture Rural Inclu-
sive Growth",-,-,-,-,166,0
,"Kenya Agriculture Business De-
velopment Programme","10,918,919",-,"10,918,919",-,166,0
,National Value Chain Project,"156,515,152",-,"156,515,152",-,166,0
,Subtotal,"215,434,071","30,070,739","185,363,332",14.0,166,0
"Livestock Development
Programme","Livestock Improvement and
Development","2,000,000",-,"2,000,000",-,167,0
,"Livestock Infrastructure Develop-
ment Services","23,605,379","1,144,517","22,460,862",4.8,167,0
,"Livestock Health and Disease
Management",-,-,-,-,167,0
,Subtotal,"25,605,379","1,144,517","24,460,862",4.5,167,0
,Total,"473,019,173","128,824,982","344,194,191",27.2,167,0
"Department of Gender Equality and Inclusivity Youth, Sports, Talent Development, Cultural Heritage and Social Services",,,,,,167,0
"Policy, Planning and
General Administration
services","General Administration and
Support Services","83,952,751","60,650,993","23,301,758",72.2,167,0
,Policy and Planning Services,"15,199,521","2,731,000","12,468,521",18.0,167,0
,Office Development Operations,-,-,-,-,167,0
,Subtotal,"99,152,272","63,381,993","35,770,279",63.9,167,0
"Cultural And Creative
Sector Development
Services","Creative Economy Development
Services","1,557,877",-,"1,557,877",-,167,0
,"Cultural Development and Promo-
tion Services","9,000,000",-,"9,000,000",-,167,0
,Subtotal,"10,557,877",-,"10,557,877",-,167,0
"Social Development and
Empowerment Services","Gender Mainstreaming and Wom-
en Empowerment Services","6,604,418",-,"6,604,418",-,167,0
,"Youth Empowerment and Main-
streaming Services","7,632,000",-,"7,632,000",-,167,0
,SGBV Control Services,"6,773,000",-,"6,773,000",-,167,0
,Subtotal,"21,009,418",-,"21,009,418",-,167,0
"Management and De-
velopment of Sports and
Sports Facilities","Sports Infrastructure Development
Services","83,000,000","16,109,890","66,890,110",19.4,167,0
,"Sports Management and Talent
Development","35,000,000",-,"35,000,000",-,167,0
,Subtotal,"118,000,000","16,109,890","101,890,110",13.7,167,0
,Total,"248,719,567","79,491,883","169,227,684",32.0,167,0
"Department of Roads, Transport and Public Works and Subtotalcture",,,,,,167,0
"General Administration,
Planning and Support
Services","Human Resource and Capacity
Development Services","130,541,652","59,000,000","71,541,652",45.2,167,0
,"Administration Support And Staff
Capacity Development Services","25,930,038","600,000","25,330,038",2.3,167,0
,"Policy Planning And Field Sup-
port Services","613,500",-,"613,500",-,167,0
,"Monitoring Evaluation and Learn-
ing and Report Development
Services","300,000",-,"300,000",-,167,0
,Subtotal,"157,385,190","59,600,000","97,785,190",37.9,167,0
"Public works and main-
tenance services",Quality Control and Enforcement,-,-,-,-,167,0
,"Infrastructure Development
Services","33,000,000","13,583,204","19,416,796",41.2,167,0
,"Plants, equipment and
vehicle support services","35,000,000",,"35,000,000",-,167,0
,Subtotal,"68,000,000","13,583,204","54,416,796",20.0,167,0
"Road Development and
Rehabilitation Services",Road Development Services,"425,000,000","243,381,823","181,618,177",57.3,167,0
