Programme,Sub-Programme,Approved Estimates FY 2024/25,col_3,"Actual Expenditure as of 31
December, 2024",col_5,Absorption Rate (%),col_7,page_number,table_index,col_8
,,Rec,Dev,Rec,Dev,Rec,Dev,434,1,
Department of County Executive,,,,,,,,434,1,
"General
administration
& support
services","General Adminis-
tration","101,065,257","140,000,000","89,311,199","5,996,961",88,4,434,1,
Pending Bills,"Pending Bills -
2023/24FY","86,303,660","1,499,961","18,755,091",-,22,-,434,1,
,,Rec,Dev,Rec,Dev,Rec,Dev,435,0,
"Governance &
Administration
Services","Governor’s State-
house Services","16,000,000",-,"4,000,000",-,25,-,435,0,
,"Coordination and
Supervision Services","14,000,000",-,"5,571,700",-,40,-,435,0,
,"Lake Region Eco-
nomic Bloc","5,000,000",-,"290,500",-,6,-,435,0,
,"Council of Gover-
nors","5,000,000",-,"1,898,200",-,38,-,435,0,
,"Liaison office -
Nairobi","5,000,000",-,"200,000",-,4,-,435,0,
,Chief of Staff,"5,000,000",-,-,-,-,-,435,0,
,Protocol Office,"5,000,000",-,"450,000",-,9,-,435,0,
,Security Services,"5,000,000",-,-,-,-,-,435,0,
,"Communication and
Press","5,000,000",-,-,-,-,-,435,0,
,Political Advisor,"5,000,000",-,-,-,-,-,435,0,
,Economic Advisor,"5,000,000",-,-,-,-,-,435,0,
,"Sub- Total-Office of
the Governor","262,368,917","141,499,961","120,476,690","5,996,961",46,4,435,0,
"General
administration
& support
services","Administrative
services","21,900,000",-,"7,695,400",-,35,-,435,0,
,"County Cabinet
Office/Assembly","6,000,000",-,"646,650",-,11,-,435,0,
"County secre-
tary services","County secretary
service.","13,600,000",-,"594,870",-,4,-,435,0,
,"Sub- Total- County
Secretary","41,500,000",-,"8,936,920",-,22,-,435,0,
"General
administration
& support
services","Administrative
services","25,000,000",-,"9,867,630",-,40,-,435,0,
,Security Services,"1,000,000",-,-,-,-,-,435,0,
"Cohesion &
peacebuilding","Peace Building
Initiatives","6,250,000",-,"246,900",-,4,-,435,0,
,"Conflict manage-
ment & resolution","6,350,000",-,-,-,-,-,435,0,
"Research &
Education","Research & Educa-
tion Services","1,000,000",-,-,-,-,-,435,0,
"Geospatial
information
services.","Geospatial informa-
tion services","4,000,000",-,-,-,-,-,435,0,
"Performance
management
services","Performance Man-
agement services.","3,700,000",-,-,-,-,-,435,0,
,"Sub- Total- Deputy
Governor","47,300,000",-,"10,114,530",-,21,-,435,0,
"General
administration
& support
services","General administra-
tion services","25,810,000",-,"6,786,191",-,26,-,435,0,
"ICT infra-
structure","ICT infrastructure &
connectivity","2,400,000",-,"1,700,000",-,71,-,435,0,
"Communica-
tion services","Communication
services","1,500,000",-,-,-,-,-,435,0,
E-governance,Automation services,"500,000",-,-,-,-,-,435,0,
,,Rec,Dev,Rec,Dev,Rec,,436,0,Dev
E-learning,"Digital curriculum
integration & devel-
opment.",-,-,-,-,-,,436,0,-
Pending Bills,"Pending Bills -
2023/24FY","13,322,900","11,960,500","5,028,300","11,960,500",38,,436,0,100
"Digital inno-
vation",Innovation services,"1,600,000",-,"1,548,500",,97,,436,0,-
,Sub- Total- (ICT),"45,132,900","11,960,500","15,062,991","11,960,500",33,,436,0,100
"General
Administration
& Support
Services","Administrative &
support services","12,650,000",-,"5,750,571",-,46,,436,0,-
"Resource
Mobilisation
Services","Resource Mobilisa-
tion services","2,550,000",-,"1,100,000",-,43,,436,0,-
"Cohesion &
peace building",Civic Education,-,-,-,-,-,,436,0,-
,"Peace Building
Initiatives","1,300,000",-,"670,000",-,52,,436,0,-
Pending Bills,"Pending Bills -
2023/24FY","8,817,750",-,"6,989,000",-,79,,436,0,-
"External
partnerships &
affairs","External partner’s
relations manage-
ment","7,100,000",-,"400,000",-,6,,436,0,-
,"Intergovernmental
Relations","1,200,000",-,-,-,-,,436,0,-
,"Linkages and part-
nerships","3,600,000",-,-,-,-,,436,0,-
,"Sub- Total- (Special
Programmes)","37,217,750",-,"14,909,571",-,40,,436,0,-
Sub- Total,,"433,519,567","153,460,461","169,500,702","17,957,461",39,,436,0,12
Department of County Attorney,,,,,,,,436,0,
"General
administration
& support
services","Finance & Adminis-
tration","17,078,400",-,"11,251,700",,66,,436,0,-
Pending Bills,"Pending Bills -
2023/24FY","15,453,890",-,-,,-,,436,0,-
Legal Services,"Advisory & Research
services","2,400,000",-,-,,-,,436,0,-
,Staff Development,"1,700,000",-,"200,000",,12,,436,0,-
,"Legal Advisory
Services","5,000,000",-,"564,000",,11,,436,0,-
,"Legal compliance
services","76,621,600",-,"44,360,424",,58,,436,0,-
Sub- Total,,"118,253,890",-,"56,376,124",-,48,,436,0,-
"Department of Public Service Management, Monitoring & Evaluation & Performance Contracting",,,,,,,,436,0,
"General
Administration
& Support
Services","Administrative
Support Services","641,079,413",-,"180,381,460",-,28,,436,0,-
"Human
Capital Man-
agement &
Development
Services","Human Resource
Management Ser-
vices","6,355,162",-,"2,224,800",-,35,,436,0,-
,,,,,,,402,436,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,437,0,
"Devolved
Units Adminis-
tration Services","Devolved Units Ad-
ministration Services","14,300,000",-,"5,661,320",-,40,-,437,0,
,"Devolved Units
(Ward) Development
Programme",-,-,,-,-,-,437,0,
"Civic Educa-
tion & Public
Participation","Civic Education
services","35,000,000",-,"3,827,915",-,11,-,437,0,
"Public Com-
munication
& Records
Management
Services","Record management
programme","1,600,000",-,"500,000",-,31,-,437,0,
,"Public Communi-
cations","16,300,000",-,"500,000",-,3,-,437,0,
,"Public Service coor-
dination services","8,400,000",-,-,-,-,-,437,0,
"Kenya Devo-
lution Support
Program II","Kenya Devolution
Support Program II","47,500,000",-,-,-,-,-,437,0,
Pending Bills,"Pending Bills -
2023/24FY","21,709,909","19,854,449","15,522,704",-,72,-,437,0,
"County
Security and
Compliance
Enforcement
Services","Support and admin-
istration services","6,500,000",-,"756,000",-,12,-,437,0,
,Sub- Total- (PSM),"798,744,484","19,854,449","209,374,199",-,26,-,437,0,
"Policy, plan-
ning, general
administration,
& support
services","General Administra-
tion services","56,600,000",-,"23,773,186",-,42,-,437,0,
"Public Service
Board services","Public Service Board
services","10,100,000",-,-,-,-,-,437,0,
"National
values &
principles of
governance","National Values &
Principles of Gover-
nance","8,100,000",-,"580,000",-,7,-,437,0,
Pending Bills,"Pending Bills -
2023/24FY","13,059,000",-,"2,400,000",-,18,-,437,0,
"Information &
records man-
agement","Records manage-
ment services","500,000",-,-,-,-,-,437,0,
,Sub- Total- (PSB),"88,359,000",-,"26,753,186",-,30,-,437,0,
"General
administration
& support
services","Administrative
Support Services","2,900,000",-,"1,149,630",-,40,-,437,0,
,"Efficient Monitoring
& Evaluation","6,600,000",-,"2,599,360",-,39,-,437,0,
Pending Bills,"Pending Bills -
2023/24FY","4,253,094",-,"2,003,844",-,47,-,437,0,
,Sub- Total- (M&E),"13,753,094",-,"5,752,834",-,42,-,437,0,
Sub- Total,,"900,856,578","19,854,449","241,880,219",-,27,-,437,0,
"Department of Agriculture, Livestock, Veterinary Services, Fisheries & Blue Economy",,,,,,,,437,0,
"General
Administration
& Support
Services","Administrative
services","155,549,626",-,"65,000,674",,42,-,437,0,
,,Rec,Dev,Rec,Dev,Rec,Dev,438,0,
"Agricultural
Policy & Plan-
ning","Policies & Legal
Framework","3,943,000",-,"1,281,600",,33,-,438,0,
"Agricultural
Extension
services","Field extension ser-
vices & support","14,441,649",-,"2,473,113",,17,-,438,0,
"Crop De-
velopment &
Management",Crop Development,-,"14,041,500",-,"12,041,500",-,86,438,0,
