Programme,Sub-Programme,"Revised Gross Approved
Estimates (Kshs.Million",col_3,"Actual Expenditure
) (Kshs.Million)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index,"Revised Gross Approved
Estimates (Kshs.Million)","Actual Expenditure
(Kshs.Million)"
Office of the Governor and Deputy Governor,,,,,,,,198,1,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",127.03,,- 46.23,-,36,-,198,1,,
"Coordination Devolution
Service","County Executive
Intergovernmental Relation
County Advisory
Special Programs
Information, Communica-
tion and Technologies",39.81,,- 27.10,-,68,-,198,1,,
,,23.47,,- -,-,-,-,198,1,,
,,19.47,,- -,-,-,-,198,1,,
,,20.72,,- -,-,-,-,198,1,,
,,20.71,,6.18,,30,-,198,1,,
,Sub Total,251.20,,- 79.51,-,32,-,198,1,,
County Public Service Board,,,,,,,,198,1,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,30,-,199,0,134.82,40.06
,Sub-Total,,-,,-,30,-,199,0,134.82,40.06
Department of Medical Service and Public Health,,,,,,,,199,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,40,-,199,0,"2,744.24","1,090.99"
Curative and Rehabilitative,Hospital Service,,98.10,,20.00,32,20,199,0,16.46,5.22
,"Health Products and Tech-
nologies",,-,,-,33,-,199,0,200.28,65.30
,Emergency Responses,,-,,-,28,-,199,0,6.58,1.83
Public Health and Sanitation,Reproductive Maternal,,-,,-,4,-,199,0,56.77,2.32
,"Communicable and
Non-Communicable disease",,-,,-,-,-,199,0,4.61,-
,Primary Health Care,,-,,-,8,-,199,0,97.82,8.25
,"Disease Surveillance and
Response",,-,,-,104,-,199,0,3.19,3.31
,Environmental Health,,-,,,27,-,199,0,34.07,9.15
,Sub Total,,98.10,,20.00,38,20,199,0,"3,164.02","1,186.37"
"Department of Water, Irrigation, Environment and Natural Resource",,,,,,,,199,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,43,-,199,0,126.82,54.25
Water Service,Water Service,,302.01,,19.69,44,7,199,0,26.30,11.46
,Storm Water Management,,-,,-,-,-,199,0,6.24,-
,Sanitation Service,,-,,-,-,-,199,0,3.40,-
"Environment and Natural
Resources",Environmental,,-,,-,54,-,199,0,9.28,5.05
,Natural Resources,,-,,-,-,-,199,0,3.90,-
,Climate Change,,-,,-,-,-,199,0,9.36,-
,Sub Total,,302.01,,19.69,38,7,199,0,185.30,70.75
"Department of Roads, Transport, Public Works and Energy",,,,,,,,199,0,,
"General Administration,
Planning and Support
Service","General Administration,
Planning and Support Service",,-,,-,46,-,199,0,164.35,75.08
