Programme,Sub-Programme,"Approved Budget FY
2024/25 (Kshs.Million)",col_3,"Actual Payments First
Half FY 2024/25 (Kshs.
Million)",col_5,% Absorption,col_7,page_number,table_index
"Food Systems and Surveil-
lance","Food Systems and Sur-
veillance Services",1.46,14.00,0.15,-,10,-,488,0
County Assembly,,,,,,,,488,0
"Legislation, Oversight and
Representation","Legislation and Repre-
sentation",6.27,-,0.42,-,7,-,488,0
,Oversight,829.18,-,486.62,-,59,-,488,0
,"General Administration
and Support Services","1,089.66","1,635.00",81.29,17.38,8,1,488,0
"Environment, Water, Energy & Natural Resources",,,,,,,,488,0
"General Administration &
Support Services","General Administration
& Support","1,789.93",-,838.47,-,47,-,488,0
,,Recc.,Dev,Recc.,Dev,Recc.,Dev,489,0
"Environment Management
and Protection.","Beautification, Recre-
ation, and Greening
Services",15.23,-,1.80,-,12,-,489,0
,Solid waste management,"1,580.43",400.00,742.91,216.60,47,54,489,0
,"Environment Planning
Management Services",2.03,-,-,-,-,-,489,0
,"Energy & Natural re-
sources",17.87,141.46,0.66,-,4,-,489,0
"Water Resources Manage-
ment","Environment planning
Management",6.50,-,0.08,-,1,-,489,0
Ward Development Programmes,,,,,,,,489,0
Ward Development,"Ward Development &
Administration",80.00,"2,155.00",-,-,-,-,489,0
Emergency Fund,,,,,,,,489,0
"General Administrative
Services","General Administration
& Support Services",100.00,-,-,-,-,-,489,0
Liquor Licensing Board,,,,,,,,489,0
"Licensing and Fair Trade
Practices","Liquor Licensing &
Regulation",294.00,57.00,161.10,-,55,-,489,0
Boroughs and Public Administration,,,,,,,,489,0
"General Administrative
Services","General Administration
& Support Services",260.74,205.00,125.62,58.29,48,28,489,0
"Performance Management
and Public Service Delivery","Performance Contracting
management",8.77,-,2.91,-,33,-,489,0
"Coordination of executive
services","Executive Office Manage-
ment Services",242.75,-,82.15,-,34,-,489,0
,"Intergovernmental Rela-
tion services",8.53,-,0.31,-,4,-,489,0
"Coordination of boroughs
and devolved units","Donor Coordination
Services",31.68,-,-,-,-,-,489,0
,"Boroughs, Sub County
Administration & Coor-
dination of Devolve",574.95,387.00,288.84,-,50,-,489,0
"Security and Safety Man-
agement",Inspectorate,"2,253.19",35.00,"1,120.16",-,50,-,489,0
,Investigative Services,50.02,-,24.13,-,48,-,489,0
"Disaster Management &
Coordination","General Administrative
Services",325.08,-,153.96,-,47,-,489,0
,"Firefighting and rescue
services",110.80,120.00,1.80,34.50,2,29,489,0
,Ambulance Services,9.92,-,-,-,-,-,489,0
,Disaster Risk Reduction,31.25,15.00,0.65,-,2,-,489,0
Internal Audit,Audit Services,66.57,10.00,27.39,-,41,-,489,0
County Attorney,,,,,,,,489,0
Management of legal affairs,Legal services,253.75,15.00,214.46,-,85,-,489,0
Innovation and Digital Economy,,,,,,,,489,0
"General Administration
Planning and Support
Services","General Administration,
Planning, And Support
Services",99.54,-,53.74,-,54,-,489,0
"Digital Economy and
Startups",Digital Economy,3.22,-,0.78,-,24,-,489,0
,E-Learning,4.25,-,-,-,-,-,489,0
,Startups,6.34,-,-,-,-,-,489,0
,,Recc.,Dev,Recc.,Dev,Recc.,Dev,490,0
Smart Nairobi,Smart Nairobi,13.81,263.97,0.44,-,3,-,490,0
"ICT Infrastructure Con-
nectivity","Infrastructure Connec-
tivity",2.64,-,-,-,-,-,490,0
,Information Security,61.58,-,3.65,-,6,-,490,0
Health Wellness & Nutrition,,,,,,,,490,0
Public Health,"HIV/AIDS Prevention &
Control Unit",1.62,-,-,-,-,-,490,0
,TB Control,0.49,-,-,-,-,-,490,0
,"Malaria Control & Other
Communicable Diseases",2.80,-,0.12,-,4,-,490,0
,"Environmental / Public
Health",4.06,-,0.12,-,3,-,490,0
,"Health Policy and Reg-
ulation",4.06,40.00,-,-,-,-,490,0
,Coroner Services Unit,6.09,65.00,3.62,-,60,-,490,0
,"Nairobi County Pub-
lic Health Emergency
Response",2.40,-,-,-,-,-,490,0
Health Facilities,"County Referral Hos-
pitals",26.10,992.65,-,-,-,-,490,0
,"Health planning and
financing",12.62,187.98,-,-,-,-,490,0
,"Health Centers & Dis-
pensaries",60.03,699.77,-,-,-,-,490,0
,"Pumwani School of
Nursing",0.81,52.48,-,-,-,-,490,0
,Health Commodities,25.00,-,-,-,-,-,490,0
Medical services,Primary Health Care,34.68,-,-,-,-,-,490,0
,"Reproductive Health &
Maternal Health (RM-
NCAH)",28.65,-,6.33,-,22,-,490,0
,Clinical Services,138.54,-,5.31,-,4,-,490,0
,"Research, Quality assur-
ance & standards unit",1.62,-,-,-,-,-,490,0
Wellness and Nutrition,Nutrition,4.87,-,-,-,-,-,490,0
,Wellness,4.06,-,-,-,-,-,490,0
,Nutrition,808.08,-,161.93,-,20,-,490,0
"General administration,
planning, and support
services","Administration/Human
Resource for Health","7,009.05",,"3,669.99",-,52,-,490,0
Built Environment & Urban Planning,,,,,,,,490,0
"General Administrative
Services","Administration, Planning
& Support Services",351.62,-,196.07,-,56,-,490,0
"Urban Development &
Planning","Urban Planning Com-
pliance & Enforcement
Services",10.15,-,-,-,-,-,490,0
"Land management and
Property Management","Land Survey, GIS, and
Mapping Services",90.15,217.00,3.69,-,4,-,490,0
,,50.00,-,-,-,-,-,490,0
,,Recc.,Dev,Recc.,Dev,Recc.,Dev,491,0
"Housing Development and
Building Services","Urban Renewal; Housing
and Urban Renewal
Services",8.45,865.00,0.43,-,5,-,491,0
,Building services,1.71,-,-,-,-,-,491,0
