col_0,Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Subtotal,,"81, 342, 803","24, 100, 007","57, 242, 796",-,432,0
020200,"Roads development and
management","200, 700, 000","3, 526, 950","197, 173, 050",1.8,432,0
Subtotal,,"200, 700, 000","3, 526, 950","197, 173, 050",-,432,0
020200,"Roads development and
management","2, 500, 000","807, 900","1, 692, 100",32.3,432,0
Subtotal,,"2, 500, 000","807, 900","1, 692, 100",-,432,0
"Department of trade, tourism, industrialisation and co - operative development",,,,,,432,0
030100,"Policy planning, general
administration and support
services","25, 659, 700","8, 179, 828","17, 479, 872",31.9,432,0
030300,"Tourism development and
promotion","5, 000, 000",-,"5, 000, 000",-,432,0
,Subtotal,"30, 659, 700","8, 179, f828","22, 479, 872",-,432,0
030200,"Trade, cooperative,
investment development
promotion","302, 553, 900","2, 793, 966","299, 759, 934",0.9,433,0
Subtotal,,"302, 553, 900","2, 793, 966","299, 759, 934",-,433,0
030200,"Trade, cooperative,
investment development
promotion","27, 020, 400","1, 776, 500","25, 243, 900",6.6,433,0
,,"27, 020, 400","1, 776, 500","25, 243, 900",-,433,0
"Department of youths, sports, gender, culture, and social services",,,,,,433,0
070100,"General administration and
support services","52, 609, 984","11, 576, 351","41, 033, 632",22.0,433,0
,Subtotal,"52, 609, 984","11, 576, 351","41, 033, 623",-,433,0
090200,"Promotion and manage-
ment of sports","11, 500, 000","148, 000","11, 352, 000",1.3,433,0
090100,"Policy planning, general
administration & S. S.","1, 810, 000","50, 000","1, 760, 000",1.8,433,0
Subtotal,,"13, 310, 000","198, 000","13, 112, 000",-,433,0
090200,"Promotion and manage-
ment of sports","20, 370, 000","152, 000","20, 218, 000",0.7,433,0
Subtotal,,"20, 370, 000","152, 000","20, 218, 000",-,433,0
Department of County Public Service Board,,,,,,433,0
070100,"General administration and
support services","1, 816, 600","774, 800","1, 041, 800",42.7,433,0
100100,"Policy planning, general
administration and support
services","56, 356, 260","14, 487, 332","41, 868, 928",25.7,433,0
Subtotal,,"58, 172, 860","15, 262, 132","42, 910, 728",-,433,0
Department of Public Service Management,,,,,,433,0
010100,"Policy planning, general
administration and support
services","224, 598, 785","62, 803, 666","161, 795, 119",28.0,433,0
070100,"General administration and
support services","2, 075, 000","72, 400","2, 002, 600",3.5,433,0
070200,"Budget formulation and
management","500, 000","150, 600","349, 400",30.1,433,0
071000,"Coordination, strategy and
HR Services","114, 398, 000","1, 743, 200","112, 654, 800",1.5,433,0
,Subtotal,"341, 571, 785","64, 769, 866","276, 801, 919",-,433,0
Department of Nyamira Municipality,,,,,,433,0
010100,"Policy planning, general
administration and support
services","36, 745, 074","11, 161, 921","25, 583, 152",30.4,433,0
020200,"Roads development and
management","89, 981, 942","597, 275","89, 384, 667",0.7,433,0
Sub total,,"126, 727, 016","11, 759, 196","114, 967, 819",-,433,0
County Attorney,,,,,,433,0
070100,"General administration and
support services","5, 149, 000","849, 000","4, 300, 000",16.5,433,0
Sub,,"5, 149, 000","849, 000","4, 300, 000",-,433,0
"Economic planning, Resource mobilisation and ICT",,,,,,433,0
070100,"General administration and
support services","170, 342, 303","39, 336, 902","131, 005, 401",23.1,433,0
