Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,478,0
County Assembly,,,,,,,,478,0
Legislation,Legislation,"389,936,744",-,"18,102,032.40",-,4.6,-,478,0
Oversight,Oversight,"40,000,000",-,"18,544,850",-,46.4,-,478,0
"Staff Management
and Development","Staff Management
and Development","378,235,007","543,655,931","46,284,070.35","14,396,268",12.2,2.6,478,0
,Sub Total,"808,171,751",543655931,82930952.75,14396267.6,10.3,2.6,478,0
Governance and Administration,,,,,,,,478,0
"General Adminis-
tration, Planning
and Support
Services","General Adminis-
tration, Planning
and Support
Services","204,626,124",-,"74,729,348.75",-,36.5,-,478,0
"The Office of the
Governor","The Office of the
Governor","135,561,668","28,148,023","11,125,492.30",,8.2,-,478,0
"County Executive
Administration","County Executive
Administration","3,814,267",-,"269,400",-,7.1,-,478,0
"County Public
Service Board","County Public
Service Board","61,651,031",-,"932,500",-,1.5,-,478,0
"Firefighting and
Disaster Manage-
ment","Firefighting and
Disaster Manage-
ment","5,696,955.00",-,"340,000",-,6.0,-,478,0
"Sub County Ad-
ministration","Sub County
Administration","121,846,232.00",-,"50,267,500",-,41.3,-,478,0
"Human Resource
Management","Human Resource
Management","7,126,500.00",-,"435,000",-,6.1,-,478,0
,Sub-Total,"540,322,777","28,148,023","138,099,241",-,25.6,-,478,0
Finance and Economic Planning,,,,,,,,478,0
Financial Services,Financial Services,"26,678,460",-,"2,277,800",-,8.5,-,478,0
"Administration
Planning, Revenue
and Accounting","Administration
Planning, Reve-
nue and Account-
ing","772,358,419","40,768,230","114,773,331",-,14.9,-,478,0
Procurement,Procurement,"9,704,630",-,"592,400",-,6.1,-,478,0
Budget Services,Budget Services,"85,811,446",-,"2,151,600",-,2.5,-,478,0
Internal Audit,Internal Audit,"11,539,329",-,"1,421,570",-,12.3,-,478,0
"Economic Planning
Services","Economic Plan-
ning Services","74,574,832",-,"3,224,162",-,4.3,-,478,0
,Sub-Total,980667116,40768230,124440862.7,-,12.7,-,478,0
"Agriculture, Food, Livestock and Fisheries",,,,,,,,478,0
Administration,Administration,"99,981,644","401,682,545","3,364,364.25","1,350,066",3.4,0.3,478,0
Veterinary Services,"Veterinary Ser-
vices","27,535,163","22,835,589","375,528.30",-,1.4,-,478,0
Crop Management,"Crop Manage-
ment","168,628,017","320,985,936","66,840,213","18,597,280.70",39.6,5.8,478,0
"Fisheries Develop-
ment and Manage-
ment","Fisheries De-
velopment and
Management","27,260,088","62,964,820","353,750","4,682,740.20",1.3,7.4,478,0
,Sub-Total,"323,404,912","808,468,890","70,933,856","24,630,087",21.9,3.0,478,0
,,Rec,Dev,Rec,Dev,Rec,Dev,479,0
"Water, Irrigation, Environment and Natural Resources",,,,,,,,479,0
Administration,Administration,"39,811,497",-,"14,331,600",-,36.0,-,479,0
Water Services,Water Services,"35,436,480","305,558,448","6,464,830","13,631,630",18.2,4.5,479,0
Forestry,Forestry,"34,179,152","91,160,000","386,500",-,1.1,-,479,0
,Sub-Total,109427129,396718448,21182930,13631630,19.4,3.4,479,0
"Education, Youth Affairs, Gender and Social Services",,,,,,,,479,0
"Administration
Services","Administration
Services","326,760,941",-,"11,257,953.80",-,3.4,-,479,0
ECD Programmes,ECD Programmes,"12,049,382","285,661,800","486,600","25,098,584.30",4.0,8.8,479,0
"Youth Polytechnics
& Youth Training","Youth Polytech-
nics & Youth
Training","4,693,584","120,077,241","683,572","7,912,761",14.6,6.6,479,0
Sports,Sports,-,"235,106,461",-,-,-,-,479,0
Social Resources,Social Resources,"24,829,585","38,063,031","542,600","780,807",2.2,2.1,479,0
,Sub Total,368333492,678908533,12970725.8,33792152.3,3.5,5.0,479,0
County Health Services,,,,,,,,479,0
"General Adminis-
tration and Plan-
ning Services","General Admin-
istration and Plan-
ning Services","1,608,698,362",-,"101,950,000",-,6.3,-,479,0
"Curative Health-
care Services","Curative Health-
care Services","188,193,825","396,252,780","43,079,790","32,338,098.80",22.9,8.2,479,0
"Preventive, Promo-
tive and Rehabilita-
tive Health Services","Preventive,
Promotive and
Rehabilitative
Health Services","101,076,175","204,425,562","488,720",-,0.5,-,479,0
"Facility Improve-
ment Fund","Facility Improve-
ment Fund","151,814,034",-,-,-,-,-,479,0
HIV Services,HIV Services,"30,160,688.00",-,"11,326,020",-,37.6,-,479,0
TB Services,TB Services,"4,400,000.00",-,"1,249,692",-,28.4,-,479,0
Nutrition Services,Nutrition Services,"60,578,536.00",-,-,-,-,-,479,0
"Environmental
Health Services","Environmental
Health Services","50,158,116.00",-,-,-,-,-,479,0
,Sub-Total,"2,195,079,736","600,678,342","158,094,222","32,338,099",7.2,5.4,479,0
"Lands, Physical Planning, Urban Development and Housing",,,,,,,,479,0
Physical Planning,Physical Planning,"67,394,533",,"339,010",-,0.5,-,479,0
"Land Survey and
Mapping","Land Survey and
Mapping","11,470,000","20,243,766","441,476",-,3.8,-,479,0
Housing,Housing,"6,615,000","22,113,446","423,200",-,6.4,-,479,0
"General Adminis-
tration, Planning
and Support
Services","General Adminis-
tration, Planning
and Support
Services","43,763,565","63,854,295","2,324,598","12,398,615.40",5.3,19.4,479,0
,Sub-Total,129243098,106211507,3528284,12398615.4,2.7,11.7,479,0
"Roads, Public Works, Energy and Transport",,,,,,,,479,0
"General Adminis-
tration Services","General Adminis-
tration Services","4,536,199",-,"142,100",-,3.1,-,479,0
