Programme,Sub-Programme,"Approved Estimates FY
2023/24",col_3,"Actual Expenditure as of
30th September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,196,1
Education & Vocational Training,,,,,,,,196,1
,"Administration, Planning
and Support Services","99,679,516",-,"17,000,000",-,-,-,196,1
,Sub Total,"99,679,516",-,"17,000,000",-,-,-,196,1
"0502013110
P2.1: Free
Pre-Primary
Education",Early Childhood Education,"13,000,000",-,"560,491,937",-,-,-,196,1
,"Ward Scholarship Admin-
istration","350,000,000",-,-,-,-,-,196,1
,"Vocational Education and
Training","14,000,000",-,"58,271,812",-,-,-,196,1
,Sub-Total,"377,000,000",-,"58,271,812",-,-,-,196,1
Grand Total,,"476,679,516",-,"75,271,812",-,-,-,196,1
PUBLIC SERVICE MANAGEMENT,,,,,,,,196,1
,"Administration, Planning
and Support Services","4,969,381,302",-,"75,000,000",-,1.5,-,196,1
,"Human Resource Devel-
opment","6,788,633",-,-,-,-,-,196,1
Grand Total,,"4,976,169,935",-,-,,-,,196,1
,"Administration, Planning
and Support Services","99,679,516",-,"17,000,000",-,17.1,-,196,1
,Sub Total,"99,679,516",-,"17,000,000",-,17.1,-,196,1
"0502013110
P2.1: Free
Pre-Primary
Education",Early Childhood Education,"13,000,000",-,"560,491,937",-,"4,311.5",-,196,1
,"0503023110 SP 2: Ward
Scholarship Administration","350,000,000",-,-,-,-,-,196,1
,,Rec,Dev,Rec,Dev,Rec,Dev,197,0
,"0504013110 SP 1:
Vocational Education and
Training","14,000,000",-,"58,271,812",-,416.2,-,197,0
,Sub-Total,"377,000,000",-,"618,763,749",-,164.1,-,197,0
,Grand Total,"476,679,516",-,"635,763,749",-,133.4,-,197,0
Agriculture,,-,-,-,-,-,-,197,0
Programme 1,Sub-programme,"19,879,891",-,"366,228,330",-,"1,842.2",-,197,0
,Sub Total,"19,879,891",-,"366,228,330",-,"1,842.2",-,197,0
Agriculture Division,,,,,,,,197,0
Programme 2,Sub-programme,"25,640,000",-,"50,694,286",-,197.7,-,197,0
,Sub-Total,"25,640,000",-,"50,694,286",-,197.7,-,197,0
Programme 3,Sub-programme,"3,054,632",-,"3,000,000",-,98.2,-,197,0
,Grand Total,"3,054,632",-,"3,000,000",-,98.2,-,197,0
"Public Service
Management",,,,,,,,197,0
"Programme
1: General
Administra-
tion, Planning
and Support
Services","Administration, Planning
and Support Services","4,969,381,302",-,"75,000,000",-,1.5,-,197,0
,,"6,788,633",-,-,-,-,-,197,0
,Grand Total,"4,976,169,935",-,"75,000,000",-,1.5,-,197,0
"Office Of The
Governor",,,-,,-,,-,197,0
"Administra-
tion, Planning
and Support
Services",Administrative services,"145,456,235",-,"28,054,341",-,19.3,-,197,0
,"Governance and national
values","56,375,435",-,-,-,-,-,197,0
,Sub Total,"201,831,670",-,"28,054,341",-,13.9,-,197,0
,Sub-Total,"201,831,670",-,"28,054,341",-,13.9,-,197,0
,Grand Total,"201,831,670",-,"28,054,341",-,13.9,-,197,0
Programme 1,Sub-programme,"22,307,752",-,"90,491,654",-,405.7,-,197,0
"Information
Technology &
Communica-
tion",,,-,-,-,,-,197,0
"0902013110
P2.1: ICT
infrastructure
connectivity","ICT infrastructure connec-
tivity","42,848,430",-,-,-,,-,197,0
,Sub Total,"42,848,430",-,,-,-,-,197,0
