Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"Agriculture, Livestock and Fisheries",,,,,,,,206,0
"Livestock Resource
Management and
Development","010102 Livestock
Extension and Capacity
Building Services","305,000",-,-,-,-,-,206,0
,"010105 Livestock
Production Management",-,-,-,-,-,-,206,0
,"010106 Livestock Disease
Management & Control","1,200,000",-,-,-,-,-,206,0
"Crop Development and
Management","010202 Agricultural
Extension Services","1,000,000",-,"278,600",-,27.9,-,206,0
,"010203 Agribusiness and
Market Development","100,000",-,-,-,-,-,206,0
,"010206 Land and Crop
Development","5,149,000",,,,-,-,206,0
,"010207 Food Security
Initiatives","400,000",-,-,-,-,-,206,0
"Kamweti Agricultural
Training Centre",Extension and Training,-,-,-,-,-,-,206,0
,,Rec,Dev,Rec,Dev,Rec,Dev,207,0
Fisheries Development,"010402 Aquaculture
Development","200,000",-,-,-,-,-,207,0
"Policy Strategy and
Management of
Agriculture","010801 Development of
Agricultural Policy","543,000",-,"115,900",-,21.3%,-,207,0
,"011001 General
Administration and
Planning","209,081,626","524,997,954","31,295,212","27,156,162",15.0,5.2,207,0
Sub Total,,"217,978,626","524,997,954","31,689,712","27,156,162",14.5,5.2,207,0
Gender and Youth,,,,,,,,207,0
Culture,"090702 Social Welfare
Services","10,687,000",-,-,-,-,-,207,0
,"091201 Gender
Administration Services","30,821,210",-,"6,136,168",-,19.9,-,207,0
,"091301 Gender and Social
Development","1,490,000","51,150,000",-,-,-,-,207,0
Youth,"090901 Youth
Development and
Empowerment Services","670,000",-,-,-,-,-,207,0
Sub Total,,"43,668,210","51,150,000","6,136,168",-,14.1,-,207,0
Sports Culture and Social Services,,,,,,,,207,0
Sports,"090701 General
Administration","12,721,217",-,"2,219,323",-,17.4,-,207,0
,"090801 Development of
Sports and Sports Facilities",-,"21,520,000",-,-,-,-,207,0
,"091401 Management &
Development of Sports and
Sports Facilities","18,905,000",-,"1,316,600",-,7.0,-,207,0
,"091601Control &
Campaign Against Drug &
Substance Abuse","1,549,000",-,-,-,-,-,207,0
,"091701 Preservation &
Promotion of Heritage and
Culture","248,800",-,"10,000",-,4.0,-,207,0
Children Services,"091101 Child Community
Support Services","4,784,000",-,"50,000",-,1.0,-,207,0
Sub Total,,"38,208,017","21,520,000","3,595,923",-,9.4,-,207,0
Cooperative Development Trade and Tourism,,,,,,,,207,0
"Trade Development and
Investment","030401 General
Administration and
Planning",-,"285,700,000",-,-,-,-,207,0
,"030103 Capacity Building
for Traders and SME’s","977,000",-,-,-,-,-,207,0
,"030104 promotion,
Development & Growth
of Trade","354,000",-,-,-,-,-,207,0
,"030105 Fair Trade Practises
and Consumer Protection","205,000",-,-,-,-,-,207,0
,,Rec,Dev,Rec,Dev,Rec,Dev,208,0
"Tourism Development
and Marketing","030302 Tourism
Promotion and Marketing","195,500",-,-,-,-,-,208,0
,"030304 International
Tourism Promotion and
Marketing","310,000",-,-,-,-,-,208,0
,"030305 Promotion of
Industrial Development","6,268,500",-,-,-,-,-,208,0
,"030306 Provision of
Industrial Training","140,000",-,-,-,-,-,208,0
"Cooperative
Development and
Marketing","030101 General
Administration & Planning","38,449,441",-,"5,724,100",-,14.9,-,208,0
,"030405 Cooperative
Advisory and Extension
Services","295,000",-,"25,000",-,8.5,-,208,0
,"030406 Cooperative
Education and Training","416,000",-,-,-,-,-,208,0
,"030407 Cooperative
Governance and
Accountability","159,000",-,"25,000",-,15.7,-,208,0
"Cooperative Audit
Services","030603 Inspections
and Investigations for
Cooperatives","70,000",-,-,-,-,-,208,0
Sub Total,,"47,839,441","285,700,000","5,774,100",-,12.1,-,208,0
Environment and Natural Resources,,,,,,,,208,0
Water Supply Services,"090101 Water and
Irrigation",-,"161,843,333",-,-,-,-,208,0
Energy Programme,090301 Energy Services,"405,000",-,"70,000",-,17.3,-,208,0
"Cleaning and Waste
Management","090502 Environment
Management and
Protection","675,800",-,-,-,-,-,208,0
"Environment
Management and
Protection","100401 Environment
Management and
Protection","11,000,000","131,648,938","11,000,000",-,10.2,-,208,0
Nema,"090401 Waste
Management Services","107,408,439",-,"22,563,780",-,-,-,208,0
Sub Total,,"119,489,239","293,492,271","33,633,780",-,28.1,-,208,0
"Lands, Housing and Urban Development",,,,,,,,208,0
"Land and Physical
Planning","010601 General
Administration and
Planning","29,853,028",-,"1,415,731",-,4.7,-,208,0
,"010604 County Spatial
Planning","3,190,000",-,-,,-,-,208,0
,"010605 Town Zoning and
Mapping",-,"56,433,333",,-,-,-,208,0
,"010607 Survey and
Mapping","505,000",-,"50,000",-,9.9,-,208,0
Housing Development,"010701 Improvement and
Development of Human
Settlements","420,000",-,-,-,-,-,208,0
Sub Total,,"33,968,028","56,433,333","1,465,731",-,4.3,-,208,0
Transport and Infrastructure,,,,,,,,208,0
