Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th September 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
"General Administra-
tion Planning and
Support Services","General Administra-
tion Services","350,092,246","31,806,172","28,905,900",-,8.3,-,105,0
Sub Total,,"1,867,085,521","169,626,274","154,158,765",-,8.3,-,105,0
EMBU LEVEL 5 HOSPITAL,,,,,,,,105,0
"Curative Health
Services",Primary Healthcare,"117,990,665","87,420,220","3,801,591",-,3.2,-,105,0
"Preventive and
Promotive Health
Services","Health Promotion
and Disease Control","32,412,785","24,014,890","1,044,321",-,3.2,-,105,0
"General Administra-
tion Planning and
Support Services","General Administra-
tion Services","23,707,250","17,564,890","763,834",-,3.2,-,105,0
Sub Total,,"174,110,700","129,000,000","5,609,746",-,3.2,-,105,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING",,,,,,,,105,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","3,265,587","61,206,669",-,-,-,-,105,0
Road Development,Road Development,"21,226,317","397,843,346",-,-,-,-,105,0
Public Works,Public Works,"1,632,794","30,603,334",-,-,-,-,105,0
"Renewable Energy
Development",Energy,"3,265,587","61,206,669",-,-,-,-,105,0
"Transport and
logistics","Transport and Lo-
gistics","3,265,587","61,206,669",-,-,-,-,105,0
Sub Total,,"32,655,872","612,066,687",-,-,-,-,105,0
,,Rec,Dev,Rec,Dev,Rec,Dev,106,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,,,106,0
"Education adminis-
tration and Support
Services","Human Resource
Development","25,366,976","5,784,374","3,914,442",-,15.4,-,106,0
"Education adminis-
tration and Support
Services","General Operation
and Maintenance","25,366,976","5,784,374","3,914,442",-,15.4,-,106,0
"Education adminis-
tration and Support
Services","Continuous assess-
ment, monitoring
and Evaluation","25,366,976","5,784,374","3,914,442",-,15.4,-,106,0
"Access and Retention
In ECDE Centers","Construction of ECD
Classes.","22,830,279","5,205,936","3,522,998",-,15.4,-,106,0
"Access and Retention
in ECDE Centers","Community mobili-
zation and sensiti-
zation","22,830,279","5,205,936","3,522,998",-,15.4,-,106,0
"Access and Retention
in ECDE Centers","Development and
review of nurturing
care ACTS & policies","22,830,279","5,205,936","3,522,998",-,15.4,-,106,0
"Access and Retention
in ECDE Centers","Facilitate school
feeding Programmes/
Reintroduce school
milk programmes","22,830,279","5,205,936","3,522,998",-,15.4,-,106,0
"Access and Retention
in ECDE Centers","Provide and improve
on outdoor and in-
door play equipment.","22,830,279","5,205,936","3,522,998",-,15.4,-,106,0
"Improve Quality and
Relevance of ECDE
Services","Enhance the use
of digital learning
programmes","7,610,093","1,735,312","1,174,333",-,15.4,-,106,0
"Improve Quality and
Relevance of ECDE
Services","Retooling of ECDE
Teachers","7,610,093","1,735,312","1,174,333",-,15.4,-,106,0
"Improve Quality and
Relevance of ECDE
Services","Provision of adequate
and relevant learning
materials","7,610,093","1,735,312","1,174,333",-,15.4,-,106,0
,,Rec,Dev,Rec,Dev,Rec,Dev,107,0
"Improve Quality and
Relevance of ECDE
Services","Renovation of ECDE
facilities","7,610,093","1,735,312","1,174,333",-,15.4,-,107,0
"Improve Quality and
Relevance of ECDE
Services","Improve quality
assurance","7,610,093","1,735,312","1,174,333",-,15.4,-,107,0
"Improve on Transi-
tion from Pre-Prima-
ry to Primary School","Develop a county ed-
ucation management
system to track the
transition of children.","47,563,080","10,845,700","7,339,579",-,15.4,-,107,0
"Improve on Transi-
tion from Pre-Prima-
ry to Primary School","Sensitization of par-
ents and BOMs on
ECDE issues","47,563,080","10,845,700","7,339,579",-,15.4,-,107,0
"Increase access and
retention in Voca-
tional training.","Refurbish existing
VTCs","11,415,139","2,602,968","1,761,499",-,15.4,-,107,0
"Increase access and
retention in Voca-
tional training.","Construction of dor-
mitories in existing
VTCs","11,415,139","2,602,968","1,761,499",-,15.4,-,107,0
"Increase access and
retention in Voca-
tional training.","Construction of din-
ing halls and kitchens
in existing VTCs","11,415,139","2,602,968","1,761,499",-,15.4,-,107,0
"Increase access and
retention in Voca-
tional training.","Provision of bursaries,
grants, and scholar-
ships","11,415,139","2,602,968","1,761,499",-,15.4,-,107,0
"Increase access and
retention in Voca-
tional training.","Provision of modern
tools and equipment","11,415,139","2,602,968","1,761,499",-,15.4,-,107,0
Sub Total,,"380,504,642","86,765,603","58,716,633",-,15.4,-,107,0
,,Rec,Dev,Rec,Dev,Rec,Dev,108,0
"YOUTH EMPOWERMENT AND SPORTS, GENDER, CULTURE, CHILDREN AND SOCIAL SERVICES",,,,,,,,108,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tive Unit","19,585,174","2,631,360","5,088",-,-,-,108,0
"Gender and Social
Development","Gender mainstream-
ing and Development","24,481,468","3,289,200","6,360",-,-,-,108,0
Children Services,"Child Rehabilitation
and Custody","16,320,979","2,192,800","4,240",-,-,-,108,0
"Culture and Cultural
Preservation",Cultural preservation,"21,217,272","2,850,640","5,512",-,-,-,108,0
"Youth Development
and Empowerment
Services","Youth Development
and Empowerment
Services","44,066,642","5,920,560","11,448",-,-,-,108,0
"Management and de-
velopment of Sports
and Sport facilities","Community Sports
Programme","18,769,126","2,521,720","4,876",-,-,-,108,0
"Management and de-
velopment of Sports
and Sport facilities","Sports administration
and development","18,769,126","2,521,720","4,876",-,-,-,108,0
Sub Total,,"163,209,787","21,928,000","42,400",-,-,-,108,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,-,-,108,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","8,209,887","4,430,214","402,975",-,4.9,-,108,0
Physical Planning,"Physical Planning
Services","20,524,717","11,075,535","1,007,438",-,4.9,-,108,0
Physical Planning,"Establishment and
Promotion of Land
Policy","8,209,887","4,430,214","402,975",-,4.9,-,108,0
Urban Development,Urban Development,"32,839,548","17,720,857","1,611,901",-,4.9,-,108,0
"Municipality of
Embu","Municipality of
Embu","4,104,944","2,215,107","201,488",-,4.9,-,108,0
"Automation of land
records and opera-
tions","Establishment of GIS
(Geo-referencing)
Information Station","4,104,944","2,215,107","201,488",-,4.9,-,108,0
,,Rec,Dev,Rec,Dev,Rec,Dev,109,0
Valuation and Rating,Valuation Roll,"4,104,944","2,215,107","201,488",-,4.9,-,109,0
Sub Total,,"82,098,870","44,302,142","4,029,753",-,4.9,-,109,0
EMBU COUNTY REVENUE AUTHORITY (ECRA),,,,,,,,109,0
"General Administra-
tion Planning and
Support Services","General Administra-
tion Planning and
Support Services","8,111,774","2,001,026","405,141",-,5,-,109,0
"General Administra-
tion Planning and
Support Services","Revenue Manage-
ment Services","4,049,649","998,974","202,259",-,5,-,109,0
Sub Total,,"12,161,423","3,000,000","607,400",-,5,-,109,0
EMBU MUNICIPAL BOARD,,,,,,,,109,0
"General Administra-
tion, Planning and
Support Services","1) General Adminis-
tration Services","493,829","3,177,363",-,-,-,-,109,0
Road Transport,"1) Rural Roads Im-
provement and Main-
tenance Services","7,356,171","47,330,578",-,-,-,-,109,0
Sub Total,,"7,850,000","50,507,941",-,-,-,-,109,0
EMBU - FINANCING LOCALLY LED CLIMATE ACTION PROGRAM,,,,,,,,109,0
"General Administra-
tion, Planning and
Support Services","General Administra-
tion Services","9,350,000","3,850,000",-,-,-,-,109,0
"Locally Led Climate
Action Program","Environment and
Natural Resource
Management","1,700,000","700,000",-,-,-,-,109,0
"Locally Led Climate
Action Program","Urban and Rural
Development","4,250,000","1,750,000",-,-,-,-,109,0
"Locally Led Climate
Action Program","Social Development
and Protection","1,700,000","700,000",-,-,-,-,109,0
Sub Total,,"17,000,000","7,000,000",-,-,-,-,109,0
Grand Total,,"5,228,184,221","2,533,941,392","813,787,335",-,15.6,-,109,0
