"Pro-
gramme",Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expen-
diture (Kshs.)",Absorption Rate (%,col_6,col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Development
Expenditure",343,0
Department of County Executive,,,,,,,,343,0
"General
adminis-
tration &
support
services","General Administration
(Office of the Governor)","228,600,000",-,"29,681,805",-,13.0,-,343,0
,other infrastructure,-,"65,000,000",-,-,-,-,343,0
,"General Administration
(County sec)","38,900,000",-,"2,632,650",-,6.8,-,343,0
,"General Administration
(dep gov)","39,000,000",-,"2,300,000",-,5.9,-,343,0
,"General Administration
(ICT)","43,930,000",-,"6,560,249",-,14.9,-,343,0
,"General Administration
(Special prog)","15,200,000",-,"490,000",-,3.2,-,343,0
"Governance
& Admin-
istration
Services","Governor’s Statehouse
Services","24,000,000",-,"5,436,000",-,22.7,-,343,0
,"Lake Region Economic
Bloc","5,000,000",-,-,-,-,-,343,0
,Council of Governors,"5,000,000",-,-,-,-,-,343,0
,Liaison office - Nairobi,"5,500,000",-,-,-,-,-,343,0
,Chief of Staff,"5,000,000",-,-,-,-,-,343,0
,Protocol Office,"5,000,000",-,-,-,-,-,343,0
,Security Services,"8,500,000",-,-,-,-,-,343,0
,Communication and Press,"5,000,000",-,-,-,-,-,343,0
,Political Advisor,"5,000,000",-,-,-,-,-,343,0
,Economic Advisor,"5,000,000",-,-,-,-,-,343,0
"County
secretary
services",County secretary service.,"21,600,000",-,"3,742,150",-,17.3,-,343,0
"Cohesion
and peace
building",Peace Building Initiatives,"10,000,000",-,"1,100,000",-,11.0,-,343,0
,"Conflict management and
resolution","10,000,000",-,-,-,-,-,343,0
,Civic Education,"2,800,000",-,"113,000",-,4.0,-,343,0
,Peace Building Initiatives,"1,200,000",-,"175,000",-,14.6,-,343,0
"Research &
Education","Research & Education
Services","2,000,000",-,-,-,-,-,343,0
"Geospatial
information
services.","Geospatial information
services.","5,000,000",-,-,-,-,-,343,0
"Perfor-
mance
man-
agement
services","Performance management
services","4,000,000",-,-,-,-,-,343,0
"ICT Infra-
structure","ICT infrastructure and
connectivity","10,370,000",-,"283,557",-,2.7,-,343,0
"Commu-
nication
services",Communication services,"9,950,000",-,-,-,-,-,344,0
"E-gover-
nance",Automation services,"11,550,000",-,-,-,-,-,344,0
E-learning,"Digital curriculum integra-
tion and development.","5,400,000",-,-,-,-,-,344,0
"Digital
innovation",Innovation services,"3,320,000",-,-,-,-,-,344,0
"Resource
Mobilisa-
tion Service","Resource Mobilisation
Service","5,000,000",-,"665,000",-,13.3,-,344,0
"External
partner-
ships and
affairs","External partners’ relations
management","35,800,000",-,"6,347,700",-,17.7,-,344,0
,Sub- Total,"576,620,000","65,000,000","59,527,111",-,10.3,-,344,0
Office of the County Attorney,,,,,,,,344,0
"General
adminis-
tration and
support
services","Finance and Administra-
tion","36,970,805",-,"4,594,000",-,12.4,-,344,0
"Legal Ser-
vices","Advisory and Research
Services","2,900,000",-,"570,000",-,19.7,-,344,0
,Staff Development,"2,600,000",-,"480,000",-,18.5,-,344,0
,Legal compliance services,"138,499,400",-,"25,653,000",-,18.5,-,344,0
,Sub- Total,"180,970,205",-,"31,297,000",-,17.3,-,344,0
"Department of Public Service Management, Monitoring and Evaluation and Performance Contracting",,,,,,,,344,0
"General
Adminis-
tration &
Support
Services","Administrative Support
Services (PSM)","602,185,934",-,"128,943,552",-,21.4,-,344,0
,"General Administration
Services (PSB)","50,465,000",-,"5,143,659",-,10.2,-,344,0
,"General Administration
services (Monitoring)","18,087,000",-,"1,247,500",-,6.9,-,344,0
