Programme,Sub-Programme,"Approved Estimate
(Kshs.)",col_3,"Actual Expenditure as of 30th Sep-
tember 2023 (Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"General Ad-
ministration","General Admin-
istration","8,540,000.00","841,837,419.15","2,165,600.00",-,25.36,-,333,0
Livestock,Livestock,"8,250,000.00","153,394,800.00","500,000.00",-,6.06,-,333,0
Fisheries,Fisheries,"4,605,000.00","26,806,584.00","300,000.00",-,6.51,-,333,0
"Veterinary
Services","Veterinary
Services",-,"19,000,000.00",,-,,-,333,0
"Agricultural
Services","Agricultural
Services","13,792,586.00",-,"1,000,000.00",-,7.25,-,333,0
"Animal Disease
Management","Animal Disease
Management","4,260,000.00",-,"207,000.00",-,4.86,-,333,0
"Agricultural
Training Cen-
tre (Kaguru)","Agricultural
Training Centre
(ATC)",-,"20,000,000.00",-,"6,534,960.00",-,32.67,333,0
Total,,"39,447,586.00","1,061,038,803.15","4,172,600.00","6,534,960.00",10.58,0.62,333,0
DEPARTMENT: WATER IRRIGATION ENVIRONMENT & NATURAL RESOURCES,,,,,,,,333,0
"Water & Irri-
gation","Water & Irriga-
tion","21,014,471.00","328,639,884.00","2,968,970.00",-,14.13,-,333,0
"Environment
and Natural
Resources","Environment
and Natural
Resources","29,113,144.28","70,882,428.04","3,600,000.00","59,882,426.04",12.37,84.48,333,0
Total,,"50,127,615.28","399,522,312.04","6,568,970.00","59,882,426.04",13.10,14.99,333,0
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,,,333,0
"Administration
Services","Administration
Services","12,402,100.00",-,"1,810,000.00",-,14.59,-,333,0
"Early Child-
hood Develop-
ment Educa-
tion(ECDE)","Early Childhood
Development
Education(EC-
DE)","223,557,595.00","40,143,318.19","33,943,100.00",-,15.18,-,333,0
"Technical
and Vocation
Education","Technical and
Vocation Edu-
cation","9,372,225.00","48,027,375.00","1,055,000.00",-,11.26,-,333,0
,,Rec,Dev,Rec,Dev,Rec,Dev,334,0
Culture & Arts,Culture & Arts,"10,726,400.00",-,"772,000.00",-,7.20,-,334,0
Total,,"256,058,320.00","88,170,693.19","37,580,100.00",-,14.68,-,334,0
DEPARTMENT: HEALTH SERVICES,,,,,,,,334,0
"General
Administration
Support &
Planning","General Admin-
istration Support
& Planning","21,732,383.42",-,"1,390,600.00",-,-,-,334,0
"Curative
Health",Curative Health,"495,079,867.26","448,815,213.15","106,225,537.00","50,000,000.00",21.46,11.14,334,0
"Preventive and
Promotive
Health","Preventive and
Promotive
Health","40,451,102.34",-,"1,078,500.00",-,2.67,-,334,0
Total,,"557,263,353.02","448,815,213.15","108,694,637.00","50,000,000.00",19.51,11.14,334,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,,,334,0
"Lands &
Housing","Lands & Hous-
ing","15,050,000.00","60,000,000.00","1,377,096.00",-,9.15,-,334,0
"Physical Plan-
ning & Urban
Development","Lands & Public
Works","15,600,000.00","102,546,296.00","1,530,000.00",-,9.81,-,334,0
"Meru Munici-
pality","Meru Munici-
pality","20,000,000.00",-,"2,266,000.00",-,11.33,-,334,0
"Maua Munici-
pality","Maua Munici-
pality","9,000,000.00",-,"254,000.00",-,2.82,-,334,0
"Timau Munic-
ipality","Timau Munici-
pality","7,000,000.00",-,"100,000.00",-,1.43,-,334,0
Public Works,Public Works,"4,530,000.00","10,000,000.00","100,000.00",-,2.21,-,334,0
Total,,"71,180,000.00","172,546,296.00","5,627,096.00",-,7.91,-,334,0
DEPARTMENT: PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,,,334,0
"General Ad-
ministration","General Admin-
istration","17,860,531.00",-,"3,628,781.95",-,20.32,-,334,0
"Coordination
of County
Government
Functions
Sub-County","Coordination of
County Govern-
ment Functions
Sub-County","26,613,124.00",-,"1,590,000.00",-,5.97,-,334,0
"County Office
Accommo-
dation and
Enforcement
Services","County Office
Accommodation
and Enforcement
Services","46,671,068.25",-,"1,626,600.00",-,3.49,-,334,0
"Human Re-
source",Human Resource,"4,910,623,730.75","105,000,000.00","1,101,618,466.69","20,000,000.00",22.43,19.05,334,0
"Legal Repre-
sentation, Ad-
visory Services
and Legislative
Process","Legal Represen-
tation, Advisory
Services and Leg-
islative Process","77,200,000.00",-,"25,324,000.00",-,32.80,-,334,0
"Town Man-
agement & Ad-
ministration","Town Manage-
ment & Admin-
istration","1,100,000.00",-,-,-,-,-,334,0
Total,,"5,080,068,454.00","105,000,000.00","1,133,787,848.64","20,000,000.00",22.32,19.05,334,0
