Programme,Sub Programme,"Approved Estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
DEPARTMENT NAIVASHA MUNICIPALITY,,,,,,,,396,0
"Programme 1; Adminis-
tration and planning and
support services","SP 1.1 Administration and
Planning","20,674,400",-,-,-,-,-,396,0
,SP 1.2; personnel services,"10,863,064",-,"1,381,622",-,13,-,396,0
,SP 1.3 financial services,-,-,-,-,-,-,396,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,397,0
"Programme 2; Naivasha
municipal services","SP 2.1 planning and infra-
structure",-,"18,000,000",-,-,-,-,397,0
,"SP 2.2 environmental
management and sani-
tation",-,"15000,000",-,-,-,-,397,0
,"SP 2.3 Naivasha Social
Services","1,000,000",-,-,-,-,-,397,0
,"SP 2.4 tourism investment
and trade","1000,000",-,-,-,-,-,397,0
,Sub-Total,"33,537,464","33,000,000","1,381,622",-,4.0,-,397,0
"DEPARTMENT PUBLIC SERVICE, TRAINING AND DEVOLUTION",,,,,,,,397,0
"Programme 1: Admin-
istration, planning and
support service","SP 1.1 administration
service","52,459,392",-,-,-,-,-,397,0
,SP 1.2 personal service,"540,808,604",-,"145,047,771",-,26.8,-,397,0
,"SP 1.3 FINANCIAL
SERVICE",-,-,-,-,-,-,397,0
,"SP 1.4 Co-ordination of
public and special com-
munity",-,-,-,-,-,-,397,0
,"SP 1.5 Mainstream work-
place HIV/aids, alcohol
and drug abuse control","990,000",-,-,-,-,-,397,0
,"SP 1.6 Construction of
county offices",-,"60,087,984",-,-,-,-,397,0
,"SP 1.7; Co-ordination of
county compliance and
enforcement agents",-,-,-,-,-,-,397,0
"Programme 2; human
resource management
and development","SP 2.1; performance
contracting","9,855,040",-,-,-,-,-,397,0
,"SP 2.2 PERFORMANCE
Appraisal system","9,855,040",-,-,-,-,-,397,0
,"SP 2.3 Staff development
through capacity building
and training","3,350,000",-,-,-,-,-,397,0
"Programme 3; civil
education & public
participation
Programme 4: Disaster
management and hu-
manitarian assistance","SP 3.1 co-ordination of
public and special commu-
nity programme","530,000",-,-,-,-,-,397,0
,"SP 4.1disaster manage-
ment and humanitarian
assistance","7,950,880",-,-,-,-,-,397,0
,Subtotals,"625,798,956","60,087,984","145,047,770.98",-,26.8,-,397,0
"DEPARTMENT OF EDUCATION, VOCATIONAL TRAINING, ICT AND E-GOVERNMENT",,,,,,,,397,0
"Programme 1: Admin-
istration, planning and
support service","SP 1.1 administration and
support service","26,822,999","209,983,949",-,-,-,-,397,0
,SP 1.2 Personnel service,"544,281,008.16",-,"122,392,625",0,22.5,-,397,0
,SP 1.3 financial services,-,-,-,-,-,-,397,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,398,0
"Programme 2: Promo-
tion of early childhood
education and develop-
ment","SP 2.1 Promotion of Early
Childhood","90,375,165",-,-,-,-,-,398,0
,SP 2.2 Bursaries,"339,499,082",-,-,-,-,-,398,0
,"SP 2.3Education devel-
opment",-,"20,000,000",-,-,-,-,398,0
"Programme 3: Vocation-
al training",SP 3.1 Vocational training,"73,730,371","81,396,969",-,-,-,-,398,0
,"SP 3.2 Revitalization of the
youth programme",-,-,-,-,-,-,398,0
"Programme 4 Informa-
tion and communication","SP 4.1 Public communica-
tion and media services","34,739,959","3,000,000",-,-,-,-,398,0
"Programme 5 ICT
Infrastructure Develop-
ment and e-government
Services","SP 5.1 Network Infra-
structure",-,"10,500,000",-,-,-,-,398,0
,"5.2 Hardware and software
platforms",-,"5,000,000",-,-,-,-,398,0
,5.3 E-government services,-,-,-,-,-,-,398,0
,Sub-Total,"1,109,448,583","329,880,918","122,392,625",-,11.3,-,398,0
DEPARTMENT OF FINANCE,,,,,,,,398,0
"Programme 1; Admin-
istration, planning and
support services","SP 1.1 Administration
services","554,117,808","344,714,135","178,625,047",-,32.2,-,398,0
,SP 1.2 Personnel services,"540,888,137",-,"139,535,009",-,25.8,-,398,0
,SP 1.3 financial services,"300,000",-,-,-,-,-,398,0
"Programme 2; Public
Finance Management","SP 2.1 Budget formula-
tion co-ordination and
management","201,326,190",-,-,-,-,-,398,0
,"SP 2.2Resources mobili-
zation","88,019,926",-,-,-,-,-,398,0
,SP 2.3 internal audit,"41,169,007","5,000,000",-,-,-,-,398,0
,SP 2.4 procurement,"18,931,885","5000,000",-,-,-,-,398,0
,"SP 2.5 public finance and
accounting","25,366,504",-,-,-,-,-,398,0
,SP 2.6 Debt management,"7,263,581","300,000",-,-,-,-,398,0
,"SP 2.7 External Resources
Mobilisation","12,538,988",-,-,-,-,-,398,0
"Programme 3: Economic
and financial policy
formulation and man-
agement",SP 3.1 Fiscal planning,"37,635,796",-,-,-,-,-,398,0
,"SP 3.2 monitoring and
evaluation /statistical data
management","9,284,167",-,-,-,-,-,398,0
,SP 3.3 KDSP programme,-,-,-,-,-,-,398,0
,Sub-Total,"1,536,842,025","654,714,135","813,160,056",-,20.7,-,398,0
DEPARTMENT OF NAKURU CITY BOARD,,,,,,,,398,0
Programme 1,"SP 1.1 Administration and
Planning","24,970,000",-,-,-,-,-,398,0
,SP 1.2 personnel services,"13,988,504",-,"5,180,794",-,37,-,398,0
,SP 1.3 financial services,"600,000",-,-,-,-,-,398,0
Programme 2,"SP 2.1 Infrastructure devel-
opment and urban",-,"29,100,000",-,-,-,-,398,0
,"SP 2.2 Nakuru City Envi-
ronments Management","6500,000",-,-,-,-,-,398,0
,"SP 2.3 Trade markets and
investments","2,800,000",-,-,-,-,-,398,0
,"SP 2.4 Nakuru City Social
Services",-,"2,899,418",-,-,-,-,398,0
,Sub-Total,"48,858,504","31,999,418","5,180,794",-,11,-,398,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,399,0
"DEPARTMENT OF YOUTH, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,,,399,0
"Programme 1: Admin-
istration, planning and
support services",SP 1.1 Administration,"61,494,853.23",-,-,-,-,-,399,0
,SP 1.2 Personnel services,"113,607,430",-,"25,882,380",-,22.9,-,399,0
,SP 1.3 financial services,"1,000,000",-,-,-,-,-,399,0
"Programme 2 Develop-
ment of social-cultural
diversity, economic
empowerment and
responsible Gaming","SP 2.1; gender equality
and empowerment","18,450,000",-,-,-,-,-,399,0
,"SP 2.2 social inclusion and
empowerment","56,050,000",-,-,-,-,-,399,0
"Programme 3 Manage-
ment and development
of sports, recreation and
sports facilities","SP 3.1 development of
sports infrastructure","20,823,107",-,-,-,-,-,399,0
,"SP 3.2 promotion of
sports development and
recreation","52,500,000",-,-,-,-,-,399,0
,SP 3.3 Sports funding,-,-,-,-,-,-,399,0
"Programme 4: Youth
empowerment and
participation","SP 4.1 youth empower-
ment and participation","36,674,533",-,-,-,-,-,399,0
,SP 4.2 Youth development,-,-,-,-,-,-,399,0
,Sub-Total,"360,599,923",-,"25,882,380",-,7.2,-,399,0
DEPARTMENT OF WATER ENVIRONMENT ENERGY AND NATURAL RESOURCES,,,,,,,,399,0
"Programme 1 Adminis-
tration","SP 1.1 Administration
services","36,213,776","1,525,329",0,-,-,-,399,0
,SP 1.2 Human resources,"241,882,319",-,"16,666,138",-,-,-,399,0
,SP 1.3 Finance services,-,-,-,-,-,-,399,0
"Programme 2 water and
sewage management",SP 2.1 Provision of water,"9,193,152","580,468,388",-,-,-,-,399,0
,SP 2.2 provision,-,-,-,-,-,-,399,0
"Programme 3 environ-
ment management",SP 3.1 Pollution control,-,-,-,-,-,-,399,0
,"SP 3.2 Solid Waste Man-
agement","16,173,70",-,-,-,-,-,399,0
,"SP 3.3 Environmental
Resources Mapping","1,525,000",-,-,-,-,-,399,0
"Programme 4 County
energy, planning, reg-
ulation, operation and
development","SP 4.1 County Energy
Development",-,"180,000,000",-,-,-,-,399,0
,"SP 4.2 Climate change
resilience/forestry","16,197,581",-,-,-,-,-,399,0
,Sub-Total,"321,185,618","782,146,151","16,666,138",-,6,-,399,0
OFFICE OF THE GOVERNOR AND DEPUTY GOVERNOR,,,,,,,,399,0
"Programme 1 Admin-
istration, planning and
support","SP;1.1 Administration and
Planning","117,231,530","107,467,176","73340,689",-,62.7,-,399,0
,SP 1.2 Personnel services,"94,925,337",-,"5000,000",-,5.3,-,399,0
"Programme 2 manage-
ment of county affairs","SP 2.1 county executive
services","15,618,492",-,-,-,-,-,399,0
,"SP 2.2 policy direction and
co-ordination","84,609,245",-,"11,500,000",-,13.6,-,399,0
,"SP 2.3 county policing
services","4,685,548",-,-,-,-,-,399,0
,"SP 2.4 leadership and
governance","3,123,698",-,-,-,-,-,399,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,400,0
"Programme 3 co-ordi-
nation and supervisory
services","SP 3.1 organisation of
county businesses","23,427,738",-,"2,500,000",-,10.7,-,400,0
,SP 3.2 Special programmes,"7,809,246",-,-,-,-,-,400,0
,Sub-Total,"351,430,834","107,467,176","92,340,689",-,,-,400,0
OFFICE OF COUNTY ATTORNEY,,,,,,,,400,0
"Programme 1 Adminis-
tration",SP 1.1 Administration,"20,070,798","4000,000",-,-,-,-,400,0
,SP 1.2 Personnel services,"19,229,202",-,-,-,-,-,400,0
,SP 1.2 financial services,"500,000",-,-,-,-,-,400,0
"Programme 2Advisory
services",SP 2.1 Advisory services,"1,300,000",-,-,-,-,-,400,0
,SP 2.2 legal matters,"3,560,966",-,-,-,-,-,400,0
,SP 3.1 Litigation,"15,700,920",-,-,-,-,-,400,0
,"SP 3.2 Formulation and
review of bills","2,000,000",-,-,-,-,-,400,0
,"SP 3.3 Conveyance and
commercial transactions","1,000,000",-,-,-,-,-,400,0
,Sub-Total,"63,361,886","4000,000",-,-,-,-,400,0
DEPARTMENT OF INFRASTRUCTURE,,,,,,,,400,0
"Programme 1 admin-
istration, planning and
support services","SP 1.1 Administration
services","45,702,695",-,-,-,-,-,400,0
,SP 1.2 Personnel services,"145,718,287",-,"14,779,670.55",-,-,-,400,0
,SP 1.3 financial services,-,-,-,-,-,-,400,0
"Programme 2 infrastruc-
ture, development and
maintenance","SP 2.1 Construction,
rehabilitation and mainte-
nance of road drainage and
bridges","18,824,999","900,743,13",-,-,-,-,400,0
,"SP 2.2 Rehabilitation and
maintenance of transport
terminus","4800,000",-,-,-,-,-,400,0
,"SP 2.3 Construction and
maintenance of non-resi-
dential county buildings","9,725,000","4000,000",-,-,-,-,400,0
,"SP 2.4 Installation, rehabil-
itation and maintenance of
lighting facilities","103,625,000","60,000,000",-,-,-,-,400,0
"Programme 3 firefighting
and disaster management","SP 3.1 Firefighting and
Emergency Services",-,-,-,-,-,-,400,0
,"SP 3.2 Disaster manage-
ment",-,-,-,-,-,-,400,0
,Sub-Total,"328,395,981","964,743,913","14,779,671",0,1.1,-,400,0
DEPARTMENT OF HEALTH SERVICES,,,,,,,,400,0
"Programme 1 adminis-
tration and planning","SP 1.1 Health information
systems",-,-,-,-,-,-,400,0
,"SP 1.2 governance and
leadership",-,-,-,-,-,-,400,0
,"SP 1.3 Human resource
management",-,-,-,-,-,-,400,0
,"SP 1.4 Research and
development",-,-,-,-,-,-,400,0
,"SP 1.5 Health infrastruc-
ture and development",-,-,-,-,-,-,400,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,401,0
"Programme 2 health pre-
ventive and promotive
services",SP 2.1 Primary Healthcare,-,-,-,-,-,-,401,0
,"SP 2.2 environmental
health and sanitation",-,-,-,-,-,-,401,0
,SP 2.3 human resource,-,-,-,-,-,-,401,0
,"SP 2.4 Disease surveillance
and emergency response",-,-,-,-,-,-,401,0
,SP 2.5 Health promotive,-,-,-,-,-,-,401,0
,SP 2.6 HIV programme,-,-,-,-,-,-,401,0
,SP 2.7 Nutrition,-,-,-,-,-,-,401,0
,SP 2.8 Reproductive health,"1,250,000",-,-,-,-,-,401,0
,SP 2.9 immunisation,"1,596,425",-,-,-,-,-,401,0
"Programme 3 Health
curative and rehabilita-
tive services","SP 3.1 Provision of essen-
tial health services in all","1,208,750,945","969,436,672","412,643,500","13,099,531",34,3,401,0
,"SP 3.2 Elimination
of communicable and
non-communicable
diseases","2,200,000",-,-,-,-,-,401,0
,SP 3.3 Human resource,"246,760,037",-,-,-,-,-,401,0
,Sub-Total,"5,750,251,631","1,174,302","1,336,862,576","13,099,531",23,1,401,0
"Department of Lands, Physical Planning and Housing",,,,,,,,401,0
"Programme 1: Adminis-
tration, Planning, Man-
agement and Support
Services","SP 1.1: Administration and
Financial Services","41,181,943",-,-,-,-,-,401,0
,SP 1.2: Personnel Services,"96,075,353",-,"22,028,667",-,22.9,-,401,0
,Sub Total,,-,-,-,-,-,401,0
"Land Use Planning and
Survey","SP 2.1: Nakuru County
Land Use Plan","16,328,575","45,300,000",-,-,-,-,401,0
,"SP 2.2: Land Information
Management System
(LIM)",-,-,-,-,-,-,401,0
,"SP 2.3: Urban Plan and
Development","9,500,000",-,-,-,-,-,401,0
,"SP 2.4: Survey and Map-
ping of Nakuru County",-,-,-,-,-,-,401,0
,"SP 2.5: Surveying of Urban
Centres",-,-,-,-,-,-,401,0
,"SP 2.6: Surveying of
County Estate and Facilita-
tion of Lease Processing",-,-,-,-,-,-,401,0
,"SP 2.7: Establishment
of a Survey Centre and
Mapping Centre",-,-,-,-,-,-,401,0
,Sub-Total,-,,,,,,401,0
"Programme 3: Housing
Development and Man-
agement","SP 3.1: Maintenance of
County Estates","5,803,574",-,-,-,-,-,401,0
,"SP 3.2: Housing Tech-
nology (Establishment of
ABMT Centres)",-,-,-,-,-,-,401,0
,"SP 3.3: Development of
Affordable Housing and
Housing Infrastructure",-,-,-,-,-,-,401,0
,Sub-Total,"168,889,444","545,452,387","22,028,667",-,22.9,-,401,0
"DEPARTMENT OF TRADE, COOPERATIVES, INDUSTRIALISATION AND TOURISM",,,,,,,,401,0
"Programme 1 Adminis-
tration planning","SP 1.1 Administration,
planning and support
services",-,-,-,-,-,-,401,0
,SP 1.2 Personnel services,-,-,-,-,-,-,401,0
,SP 1.3 financial services,-,-,-,-,-,-,401,0
378,,,,,,,,401,0
,,Recurrent,Development,Recurrent,"Develop-
ment",Rec,Dev,402,0
"Programme 2 cooper-
atives","SP 2.1management of mar-
ket cooperatives",-,-,-,-,-,-,402,0
,"SP 2.2 Sacc0 empower-
ment",-,-,-,-,-,-,402,0
,"SP 2.3 cooperatives leader-
ship and governance",-,-,-,-,-,-,402,0
,"SP 2.4 Strengthening
cooperatives",-,-,-,-,-,-,402,0
,"SP 2.5 empowering youth,
women and peds participa-
tion in cooperatives","1,127,588",-,-,-,-,-,402,0
"Programme 3: Com-
merce and Enterprise","SP 3.1 Business develop-
ment services for SMEs","1,050,000",-,-,-,-,-,402,0
,"SP 3.2 Producer business
groups","800,000",-,-,-,-,-,402,0
,SP 3.3 SMES training,"1,000,000",-,-,-,-,-,402,0
,SP 3.4 SMES funding,"25,000,000",-,-,-,-,-,402,0
,"SP 3.5 Development and
management of county bus
terminus",-,-,-,-,-,-,402,0
,"SP 3.6 consumer protec-
tion","3,500,000","3,000,000",-,-,-,-,402,0
,"SP 3.7 Establishment of
the industrial park",-,"250,000,000",-,-,-,-,402,0
Programme 4 market,"SP 4.1 Market rehabili-
tation",-,"10,000,000",-,-,-,-,402,0
,"SP 4.2 Development of
new market",-,"46,681,722",-,-,-,-,402,0
,"SP 4.3 Market users’ deliv-
ery services","12,800,000",-,-,-,-,-,402,0
Programme 5 Tourism,"SP 5.1 Promotion of local
tourism","9,200,000",-,-,-,-,-,402,0
,"SP 5.2 Management of
county tourism informa-
tion centre",0,-,-,-,-,-,402,0
"Programme 6 alcoholic
drinks and
Control","SP 6.1 inspection, approval
and liquor licencing","2,450,000",-,-,-,-,-,402,0
,"SP 6.2 Liquor enforcement
and compliance","150,000",-,-,-,-,-,402,0
,"SP 6.3 research and
innovation","600,000",-,-,-,-,-,402,0
,"SP 6.4 Treatment and
rehabilitation of persons
dependent on alcoholic
drinks","1,050,000",-,-,-,-,-,402,0
,"SP 6.5 Education and
training of sub-county and
review committee","1,200,000",-,-,-,-,-,402,0
"Programme 7: Develop-
ment of socio-cultural
diversity and promotion","SP 7.1 Cultural Develop-
ment Activities","20,983,063","7,000,000",-,-,-,-,402,0
,"SP 7.2 promotion of
responsible gaming","6,250,000",-,-,-,-,-,402,0
,Sub-Total,"224,530,872","334,681,772","14,560,972",-,6.5,-,402,0
Grand Total,,"12,540,306,604","6,250,603,410","3,075,858,542.85","13,099,531",22.1,0.2,402,0
