Economic Planning,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"Default - Non
Programmatic",-,-,-,-,-,-,463,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","27,202,209.50",-,"1,879,146.45",-,7,-,463,0
,"Administration,
Planning and Support
Services","27,202,209.50",-,"1,879,146.45",-,7,-,463,0
,,Rec,Dev,Rec,Dev,Rec,Dev,464,0
"Livestock Resource
Management and
Development","Livestock Resource
Management and
Development","35,343,139.00","478,631,316.00","6,333,375.95",-,18,-,464,0
,"Promotion of Value
Addition of Livestock
and Livestock Products","9,151,882.00","449,881,316.00",-,-,-,-,464,0
,"Promotion of Dairy
Production, Breeding
and Disease Control","12,070,927.00",-,"5,933,375.95",-,49,-,464,0
,"Livestock marketing and
rangeland management","5,870,952.00",-,"400,000.00",-,7,-,464,0
,"Livestock Diseases
Management and
Control","8,249,378.00","28,750,000.00",-,-,-,-,464,0
104004214,,"4,166,332.00","8,100,000.00","1,059,414.00",-,25,-,464,0
,"Development of capture
fisheries resources","4,166,332.00","8,100,000.00","1,059,414.00",-,25,-,464,0
"Crop Production
and Management","Crop Production and
Management","25,849,354.00","31,465,832.00","2,174,628.65",-,8,-,464,0
,"Crop Production and
Food Security","5,316,411.00",-,"577,285.00",-,11,-,464,0
,"Agricultural Extension
Research and Training","20,532,943.00","31,465,832.00","1,597,343.65",-,8,-,464,0
,Grand Total,"92,561,034.50","518,197,148.00","11,446,565.05",-,12,-,464,0
"Water, Environment, Natural Resources & Energy",,,,,,,,464,0
,"Default - Non
Programmatic",-,-,-,-,-,-,464,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services",-,-,-,-,-,-,464,0
,"Administration,
Planning and Support
Services",-,-,-,-,-,-,464,0
"Pollution control &
monitoring","Pollution control &
monitoring","35,431,131.00","139,739,500.00","3,078,196.45",-,9,-,464,0
,Administration,"35,431,131.00","139,739,500.00","3,078,196.45",-,9,-,464,0
"Forests Conservation
and Management","Forests Conservation
and Management","5,616,925.50","35,600,000.00","1,086,700.00",-,19,-,464,0
,"Forests Conservation
and Management","2,171,010.00","1,100,000.00","880,900.00",-,41,-,464,0
,"Pollution control &
monitoring","3,445,915.50",-,"205,800.00",-,6,-,464,0
"Forests Conservation
and Management","Forests Conservation
and Management","5,737,405.00",-,"267,785.60",-,5,-,464,0
,Control of soil erosion,"2,830,985.00",-,"174,675.60",-,6,-,464,0
,Mining Services,"1,230,395.00",-,-,-,-,-,464,0
,,Rec,Dev,Rec,Dev,Rec,Dev,465,0
,"Water Catchment and
Protection Services",-,-,-,-,-,-,465,0
"Environmental
Management and
Protection","Environmental
Management and
Protection",-,-,-,-,-,-,465,0
,"Water and sanitation
services",-,-,-,-,-,-,465,0
,"Stormwater
management",-,-,-,-,-,-,465,0
,Grand Total,-,-,-,-,-,-,465,0
"Education and
Vocational Training",,-,-,-,-,-,-,465,0
,"Default - Non
Programmatic",-,-,-,-,-,-,465,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services",-,-,-,-,-,-,465,0
,"Administration,
Planning and Support
Services",-,-,-,-,-,-,465,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services",-,-,-,-,-,-,465,0
,"Bursary Management
Services",-,-,-,-,-,-,465,0
,"General Administration
Planning and Support
Services",-,-,-,-,-,-,465,0
"Education &
Training Services","Education & Training
Services",-,-,-,-,-,-,465,0
,"Promotion of Early
Childhood Education",-,-,-,-,-,-,465,0
,"Promotion of youth
empowerment",-,-,-,-,-,-,465,0
"Management and
development of
sports and sports
facilities","Management and
development of sports
and sports facilities",-,-,-,-,-,-,465,0
,"Sports Development,
Training &
Competition",-,-,-,-,-,-,465,0
"Youth Training and
Development","Youth Training and
Development",-,-,-,-,-,-,465,0
,"SP1 Revitalization of
Youth Polytechnics",-,-,-,-,-,-,465,0
,Grand Total,"343,632,655.00","94,097,500.00","50,924,921.55",-,15,-,465,0
,,Rec,Dev,Rec,Dev,Rec,Dev,466,0
"Medical Services,
Public Health &
Sanitation",,,,,,,,466,0
,"Default - Non
Programmatic",-,-,-,-,-,-,466,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services",-,-,-,-,-,-,466,0
,"Administration,
Planning and Support
Services",-,-,-,-,-,-,466,0
"Preventive and
Promotive Health
Services","Preventive and
Promotive Health
Services","139,411,073.00",-,"74,822,101.30",-,54,-,466,0
,"Non-Communicable
Disease & prevention
control","16,509,257.50",-,"7,163,099.00",-,43,-,466,0
,"Maternal Health
Services","27,318,569.00",-,"12,725,396.15",-,47,-,466,0
,"Communicable Disease
Control","42,014,868.00",-,"26,209,810.45",-,62,-,466,0
,"Health Promotive
Services","53,568,378.50",-,"28,723,795.70",-,54,-,466,0
"Health curative
Services","Health curative
Services","517,985,746.00",-,"294,494,210.90",-,57,-,466,0
,County Referral Services,"364,465,754.00",-,"209,725,886.40",-,58,-,466,0
,Free Primary Healthcare,"142,192,523.00",-,"80,797,746.00",-,57,-,466,0
,"Provision Of Essential
Health Services In All
The Levels","11,327,469.00",-,"3,970,578.50",-,35,-,466,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","121,832,989.50","164,988,562.00","39,869,780.85",-,33,-,466,0
,"Health Standards and
Quality Assurance
Services","38,417,245.00",-,"21,999,787.75",-,57,-,466,0
,"Research And
Development","4,778,086.00",-,"55,060.00",-,1,-,466,0
,"Health Infrastructure
development","4,986,788.00",-,"2,584,529.90",-,52,-,466,0
,"Human Resources for
health","50,917,741.00",-,"7,648,862.10",-,15,-,466,0
,"Health Policy, Planning
& Financing","22,733,129.50","164,988,562.00","7,581,541.10",-,33,-,466,0
1003004217,,-,-,-,-,-,-,466,0
,"Water Catchment and
Protection Services",-,-,-,-,-,-,466,0
,,Rec,Dev,Rec,Dev,Rec,Dev,467,0
,Grand Total,"779,229,808.50","164,988,562.00","409,186,093.05",-,53,-,467,0
"Lands, Housing,
Physical Planning &
Urban Development",,,,,-,,-,467,0
,"Default - Non
Programmatic",-,-,-,-,-,-,467,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","61,381,007.50","2,500,000.00","6,495,722.00",-,11,-,467,0
,"Administration,
Planning and Support
Services","61,381,007.50","2,500,000.00","6,495,722.00",-,11,-,467,0
"Land Use Policy
and Planning","Land Use Policy and
Planning","8,286,412.00","26,565,000.00","626,859.70",-,8,-,467,0
,"Housing management
services","502,477.50",-,"78,300.00",-,16,-,467,0
,GIS Data Base creation,-,-,-,-,-,-,467,0
,Spatial planning,"3,808,522.00",-,"86,954.00",-,2,-,467,0
,Survey And Mapping,"3,975,412.50","26,565,000.00","461,605.70",-,12,-,467,0
"Urban Centers
Administration","Urban Centers
Administration","16,796,369.50","18,000,000.00","1,832,611.60",-,11,-,467,0
,"Urban center
management","16,796,369.50","18,000,000.00","1,832,611.60",-,11,-,467,0
,Grand Total,"86,463,789.00","47,065,000.00","8,955,193.30",-,10,-,467,0
"Roads, Transport &
Public Works",,,,,,,,467,0
,"Default - Non
Programmatic",-,-,-,-,-,-,467,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services",-,-,-,-,-,-,467,0
,"Administration,
Planning and Support
Services",-,-,-,-,-,-,467,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","36,879,817.50",-,"8,879,870.05",-,24,,467,0
,Administrative services,"27,556,604.50",-,"8,591,481.95",-,31,,467,0
,"Design, implementation
and supervision of
public buildings","7,009,430.00",-,"283,388.10",-,4,-,467,0
,Firefighting services,"2,313,783.00",-,"5,000.00",-,-,-,467,0
,,Rec,Dev,Rec,Dev,Rec,Dev,468,0
"Infrastructure,
Roads & Transport
Services","Infrastructure, Roads
& Transport Services","21,461,598.50","149,750,000.00","2,688,656.30",-,13,-,468,0
,"Street lights
management","8,223,866.00","9,750,000.00","2,364,456.30",-,29,-,468,0
,"Rehabilitation of Roads,
Drainage and Bridges","5,775,404.50","140,000,000.00","324,200.00",-,6,-,468,0
,"Public Road transport
and parking","1,960,418.00",-,-,-,-,-,468,0
,"Design, supervision and
rehabilitation of County
Buildings","5,501,910.00",-,-,-,-,-,468,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services",-,-,-,-,-,-,468,0
,Administration,-,-,-,-,-,-,468,0
"Land Use Policy
and Planning","Land Use Policy and
Planning",-,-,-,-,-,-,468,0
,"Pollution control &
monitoring",-,-,-,-,-,-,468,0
"Conservation and
Management of
Natural Ecosystems","Conservation and
Management of
Natural Ecosystems",-,-,-,-,-,-,468,0
,"Stormwater
management",-,-,-,-,-,-,468,0
,"Water and sanitation
services",-,-,-,-,-,-,468,0
,Grand Total,"58,341,416.00","149,750,000.00","11,568,526.35",-,20,-,468,0
"Tourism, Trade, Enterprise Development & Cooperatives",,,,,,,,468,0
,"Default - Non
Programmatic",-,-,-,-,-,-,468,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","29,308,612.00","103,500,000.00","1,137,387.85",-,4,-,468,0
,General administration,"29,308,612.00","103,500,000.00","1,137,387.85",-,4,-,468,0
"Cooperatives
Development and
Management","Cooperatives
Development and
Management","11,827,644.50",-,"1,813,096.00",-,15,-,468,0
,"SACCO members’
empowerment",-,-,-,-,-,-,468,0
,"Enhance Marketing
Cooperatives","11,827,644.50",-,"1,813,096.00",-,15,-,468,0
"Promote Commerce
and Enterprises","Promote Commerce
and Enterprises","1,270,750.00",-,"38,636.00",-,3,-,468,0
,,Rec,Dev,Rec,Dev,Rec,Dev,469,0
,"Business Development
Services for MSE’s","1,270,750.00",-,"38,636.00",-,3,-,469,0
"Promotion of
Tourism and
Marketing","Promotion of Tourism
and Marketing","60,418,549.00",-,"14,024,360.05",-,23,-,469,0
,"Tourism and
Infrastructure
Development",-,-,-,-,-,-,469,0
,"Establishment &
Management the
County Tourism
Information Centre","55,768,549.00",-,"13,774,360.05",-,25,-,469,0
,"Tourism Training &
capacity Building","4,650,000.00",-,"250,000.00",-,5,-,469,0
"Trade Development
and Promotion","Trade Development
and Promotion","8,962,385.50",-,-,-,-,-,469,0
,"Domestic trade
development","8,302,385.50",-,-,-,-,-,469,0
,"Market development
and promotion of fair
trade services","660,000.00",-,-,-,-,-,469,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","5,918,842.00","67,600,000.00",-,-,-,-,469,0
,"General Administration
Planning and Support
Services","5,918,842.00","67,600,000.00",-,-,-,-,469,0
,Grand Total,"117,706,783.00","171,100,000.00","17,013,479.90",-,14,-,469,0
"Culture, Social Services, Gender, Sports & Youth Affairs",,,,,,,,469,0
,"Default - Non
Programmatic",-,-,-,-,-,-,469,0
"Education &
Training Services","Education & Training
Services",-,-,-,-,-,-,469,0
,"Promotion of youth
empowerment",-,-,-,-,-,-,469,0
"Management and
development of
Sports & Sports
facilities","Management and
development of Sports
& Sports facilities","25,650,000.00","9,750,000.00","1,803,816.00",-,7,-,469,0
,"Sports Development,
Training &
Competition","25,650,000.00","9,750,000.00","1,803,816.00",-,7,-,469,0
"Public Sector
Advisory Services","Public Sector Advisory
Services","2,543,018.00",-,"363,200.00",-,14,-,469,0
,"Economic, Social &
Political Advisory
Service","2,543,018.00",-,"363,200.00",-,14,-,469,0
,,Rec,Dev,Rec,Dev,Rec,Dev,470,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","30,365,092.50","14,100,000.00","1,635,214.00",-,5,-,470,0
,"General Administration
Planning and Support
Services","30,365,092.50","14,100,000.00","1,635,214.00",-,5,-,470,0
"Community
Mobilisation and
Development","Community
Mobilisation and
Development","12,723,442.00",-,"2,883,100.00",-,23,-,470,0
,"Community
Mobilization and
Development","2,804,436.00",-,-,-,-,-,470,0
,"Development and
Promotion of Culture","2,309,006.00",-,"285,000.00",-,12,-,470,0
,"Social Welfare and
Gender","7,200,000.00",-,"2,556,900.00",-,36,-,470,0
,"Conservation of
Heritage","410,000.00",-,"41,200.00",-,10,-,470,0
"Development and
management of
sports facilities","Development and
management of sports
facilities","3,730,000.00",-,"300,000.00",-,8,-,470,0
,"Development and
management of sports
facilities","3,730,000.00",-,"300,000.00",-,8,-,470,0
"General
Administration
Planning and
Support Services","General
Administration
Planning and Support
Services","8,647,073.50",-,"348,500.00",-,4,-,470,0
,"General Administration
Planning and Support
Services (Sports)","8,647,073.50",-,"348,500.00",-,4,-,470,0
,Grand Total,"83,658,626.00","23,850,000.00","7,333,830.00",-,9,-,470,0
County Assembly,,,,,-,,-,470,0
Legislative and Oversight,,,,,,,,470,0
,"Legislative and
Oversight","183,752,154.00","22,000,000.00","63,949,368.00",-,35,-,470,0
,"County Assembly
Administration","218,384,974.50","73,000,000.00","40,388,023.70",-,18,-,470,0
,Representation,"171,861,968.50",,"47,051,124.00",-,27,-,470,0
,Sub Total,"573,999,097.00","95,000,000.00","151,388,515.70",-,26,-,470,0
Total,,"2,695,728,420.00","1,447,514,210.00","1,006,348,205.55",-,21.3,-,470,0
