Program,Sub-program,"Approved estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
405005085,,"90,000,000","25,000,000","30,000,000",,33,-,229,0
,"Jaramogi Oginga
Odinga Teaching
and Referral
Hospital","90,000,000","25,000,000","30,000,000",-,33,-,229,0
407005085,,"42,000,000",-,"14,000,000",-,33,-,229,0
,"Kisumu County
Referral Hospital","42,000,000",-,"14,000,000",-,33,-,229,0
408005085,,"42,000,000","211,174,534","20,922,110",-,50,-,229,0
,"County and
Sub-County
Hospital Services","42,000,000","211,174,534","20,922,110",-,50,-,229,0
409005085,,"2,000,000",-,-,-,-,-,229,0
,"Routine Nutri-
tional Survey","2,000,000",-,-,-,-,-,229,0
514005085,Grand Total,"3,381,063,837","236,174,534","437,339,842",-,13,-,229,0
"Education, Technical Training, Innovation & Social Services-5081",,,,,,,,229,0
,,"467,786,687",,"99,653,700",-,21,-,229,0
Program,"Planning and
Coordination
Services","467,786,687",,"99,653,700",-,21,-,229,0
101005081,,"1,600,000","14,800,000","71,600",-,4,-,229,0
,"Youth Polytech-
nics Services","1,600,000","14,800,000","71,600",-,4,-,229,0
502005081,,"247,790,263","88,700,000","190,500",-,-,-,229,0
,"Early Child
Education","247,790,263","88,700,000","190,500",-,-,-,229,0
505005081,,"1,750,000","97,332,281","84,200",-,5,-,229,0
,"Youth Training
and Legislation","1,750,000","97,332,281","84,200",-,5,-,229,0
517005081,Grand Total,"718,926,950","200,832,281","100,000,000",-,14,-,229,0
"Sports, Culture, Gender & Youth Affairs-5086",,,,,,,,229,0
,-,"91,056,101","22,561,013","6,218,842",-,7,-,229,0
Program,"Planning and
Coordination
Services","91,056,101","22,561,013","6,218,842",-,7,-,229,0
101005086,,"1,078,875",-,"229,375",-,21,-,229,0
,"Physical planning
services","1,078,875",-,"229,375",-,21,-,229,0
103005086,,"14,053,355",-,"1,533,125",-,11,-,229,0
,,Rec,Dev,Rec,Dev,Rec,Dev,230,0
,"Infrastructure
Development","14,053,355",-,"1,533,125",-,11,-,230,0
301005086,,"32,267,690",-,"22,551,489",-,70,-,230,0
,"Administration
planning","32,267,690",-,"22,551,489",-,70,-,230,0
304005086,,"1,020,000","100,000,000","216,433",-,21,-,230,0
,"Youth Training
Facilities","1,020,000","100,000,000","216,433",-,21,-,230,0
502005086,,"2,373,000",-,"151,000",-,6,-,230,0
,"Gender & Dis-
ability Main-
streaming","577,500",-,,-,-,-,230,0
504005086,"Social Dev.
Facilities","1,795,500",-,"151,000",-,8,-,230,0
,,"26,554,385","5,000,000","4,727,460",-,18,-,230,0
,"Sports Manage-
ment","4,274,375","5,000,000","595,250",-,14,-,230,0
506005086,"Talent Develop-
ment","22,280,010",-,"4,132,210",-,19,-,230,0
,,"7,943,400",-,"194,375",-,2,-,230,0
,Sports Academy,"7,943,400",-,"194,375",-,2,-,230,0
507005086,,"14,726,825",-,"5,043,000",-,34,-,230,0
,"Artistic Talent
Development","2,798,625",-,"594,500",-,21,-,230,0
907005086,"Culture and
Heritage Devel-
opment","11,928,200",-,"4,448,500",-,37,-,230,0
,Grand Total,"191,073,631","127,561,013","40,865,100",-,21,-,230,0
"Infrastructure, Energy & Public
Works-5082",,"96,000,000","443,400,000","24,000,000",-,25,-,230,0
Program,"Road construc-
tion and mainte-
nance services","96,000,000","443,400,000","24,000,000",-,25,-,230,0
201005082,,"6,000,000","66,800,000",-,-,-,-,230,0
,,"6,000,000","66,800,000",-,-,-,-,230,0
205005082,,"26,051,994",-,-,-,-,-,230,0
,"Mechanical Engi-
neering Services","23,551,994",-,-,-,-,-,230,0
207005082,Public Works,"2,500,000",-,-,-,-,-,230,0
,,"123,056,493",-,"86,000,000",-,70,-,230,0
,"Administration
planning","123,056,493",-,"86,000,000",-,70,-,230,0
304005082,Grand Total,"251,108,487","510,200,000","110,000,000",-,44,-,230,0
"Trade, Tourism, Industry &Market-
ing-5084",,"3,200,000","57,647,203","389,600",-,12,-,230,0
Program,"Trade Support
Services","3,200,000","57,647,203","389,600",-,12,-,230,0
301005084,,"4,750,000","17,500,000","782,200",-,16,-,230,0
,"Verification and
Calibration of
Weighing Equip-
ment","4,750,000","17,500,000","782,200",-,16,-,230,0
,,Rec,Dev,Rec,Dev,Rec,Dev,231,0
302005084,,"22,250,000",-,"4,833,475",-,22,-,231,0
,"Tourism Event
Management","18,349,998",-,"3,986,375",-,22,-,231,0
303005084,"Tourism Devel-
opment","3,900,002",-,"847,100",-,22,-,231,0
,,"3,900,000",-,"1,618,500",-,42,-,231,0
,"Co-operative
Governance","3,900,000",-,"1,618,500",-,42,-,231,0
305005084,,"1,700,000","200,000,000","33,600",-,2,-,231,0
,"Business Devel-
opment Services","1,700,000","200,000,000","33,600",-,2,-,231,0
306005084,,"200,000",-,,-,-,-,231,0
,"Betting Control
Services","200,000",-,,-,-,-,231,0
504005084,,"100,000",-,,-,-,-,231,0
,Alcoholic Drinks,"100,000",-,,-,-,-,231,0
508005084,,"81,314,464",-,"19,076,339",-,23,-,231,0
,"General Admin-
istration and
Support services","81,314,464",-,"19,076,339",-,23,-,231,0
704005084,Grand Total,"117,414,464","275,147,203","26,733,714",-,23,-,231,0
City of Kisumu-5072,,"21,855,964",-,"8,676,253",-,40,-,231,0
Program,"Local Revenue
Mobilization","21,855,964",-,"8,676,253",-,40,-,231,0
5072,-,"32,793,465",-,"12,972,087",-,40,-,231,0
,"Urban planning
and development","32,793,465",-,"12,972,087",-,40,-,231,0
,,"107,912,257",-,"22,533,031",-,21,-,231,0
110005072,"Health promo-
tion service","45,290,823",-,"19,378,473",-,43,-,231,0
,"Environmental
health and sani-
tation","62,621,434",-,"3,154,558",-,5,-,231,0
,,"33,411,122",-,"16,577,500",-,50,-,231,0
,"Promotion of
early childhood
education.","33,411,122",-,"16,577,500",-,50,-,231,0
203005072,,"267,443,526","297,300,000","18,607,308",-,7,-,231,0
,"General Admin-
istration and
Support services","267,443,526","297,300,000","18,607,308",-,7,-,231,0
,Grand Total,"463,416,334","297,300,000","51,476,885",-,11,-,231,0
"Public Service, County Administra-
tion & Participatory Development,
Office of the Governor-5075",,"103,258,091",-,"27,122,769",-,26,-,231,0
Vote,"Human Resource
Audit and Staff
Rationalization",-,-,-,-,-,-,231,0
,"General Admin-
istration and
Support services","101,646,491",-,"17,894,841",-,18,-,231,0
,,Rec,Dev,Rec,Dev,Rec,Dev,232,0
,"Promotion of
Values and Prin-
ciples","1,291,600",-,"520,000",-,40,-,232,0
,"Human Resource
Recruitment and
Development","320,000",-,"69,600",-,22,-,232,0
,Grand Total,"103,258,091",-,"18,484,441",-,18,-,232,0
"Water, Environment, Natural Re-
sources & Climate Change-5087",,"44,650,927",-,"40,689,832",-,91,-,232,0
Vote,"Planning and
Administration","44,650,927",-,"40,689,832",-,91,-,232,0
,,"28,950,658",-,"21,619,780",-,75,-,232,0
,"Management of
Stations","28,950,658",-,"21,619,780",-,75,-,232,0
,,"6,200,000",-,-,-,,-,232,0
,Climate Change,"6,200,000",-,-,-,,-,232,0
Program,,"1,208,000",-,"50,400",-,4,-,232,0
101005087,"Mining Effi-
ciency","1,208,000",-,"50,400",-,4,-,232,0
,,"6,963,826",-,-,-,-,-,232,0
105005087,"Infrastructure
Development","6,963,826",-,-,-,-,-,232,0
,,"64,553,191","366,150,000","60,000",-,-,-,232,0
205005087,"Sustainable
Access to Safe
Water","1,897,362",,,-,-,-,232,0
,"Water resources
& sewerage
services","62,655,829","366,150,000","60,060,000",-,-,-,232,0
206005087,,"5,243,044",-,-,-,-,-,232,0
,"Solid Waste
Management","4,022,800",-,-,-,-,-,232,0
301005087,"Environment
Conservation
of Natural Re-
sources","1,220,244",-,-,-,-,-,232,0
,,"2,076,000",,,-,-,-,232,0
902005087,"Pollution Con-
trol","2,076,000",,,-,-,-,232,0
5061-Kisumu - County Assembly,,,,,,,,232,0
203005060,"Administration,
Planning and
Support Services","49,832,843.00","2,373,657.00",-,-,-,-,232,0
,Financial Services,"49,832,843.00","2,373,657.00",-,-,-,-,232,0
208005060,ICT Services,"9,743,520.00",0.00,-,-,-,-,232,0
,ICT Services,"9,743,520.00",0.00,-,-,-,-,232,0
701005060,"General Admin-
istration and
Planning services","486,477,166.00","-5,934,740.00",-,-,-,-,232,0
