Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,577,0
Department: County Executive(Office of the Governor),,,,,,,,577,0
"Coordination
and Supervisory
Services","Coordination and
Supervisory Services","586,103,162",-,"19,582,660",-,3,-,577,0
,Sub Total,"586,103,162",-,"19,582,660",-,3,-,577,0
Department: Finance and Economic Planning,,,,,,,,577,0
"Public Finance
Management","Budget management
services","11,000,600",-,"700,000",-,6,-,577,0
,"County Accounting
Services","538,921,438",-,"19,516,320",-,4,-,577,0
,"County Revenue
Collection and Re-
source Mobilization","21,031,600",-,"1,457,820",-,7,-,577,0
,"Internal Audit Man-
agement Services","6,950,000",-,,-,-,-,577,0
,"County Supply
Chain Management",31362800,-,"3,868,120",-,12,-,577,0
,"Financial Reporting
Services",4600000,-,,-,-,-,577,0
"Economic Plan-
ning Services","County Integrat-
ed Development
Planning","24,243,688",-,"649,600",-,3,-,577,0
,Sub-Total,"638,110,126",-,"26,191,860",-,4,-,577,0
"Department: Agriculture, Livestock and Veterinary Services",,,,,,,,577,0
"Livestock
management
Services","Livestock Produc-
tion Services","17,690,200.00","13,000,000","1,014,580",-,6,-,577,0
,Veterinary Services,"16,028,000.00","45,007,800","1,048,800",-,7,-,577,0
"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services","184,449,841.00",-,"26,826,596",-,15,-,577,0
"Food Produc-
tion Services","Food Production
Services","22,445,900.00","631,522,737","1,698,600",-,8,-,577,0
"Irrigation
Management
Services","Irrigation Manage-
ment Services","4,552,800.00","10,000,000",-,-,-,-,577,0
"Alternative
Livelihood
management","Alternative Liveli-
hood management","4,499,600.00",-,-,-,-,-,577,0
,Sub-Total,"249,666,341","699,530,537","30,588,576",-,12,-,577,0
Department: Health Services,,,,,,,,577,0
"Curative,
rehabilitative
and Emergency
services","Curative and reha-
bilitative services","870,634,463","352,280,825.00","158,006,715","158,006,715",18,-,577,0
,"Emergency Referral
Services","43,091,872",-,-,-,-,-,577,0
"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services","1,742,581,412","30,000,000.00","339,234,245",-,19,-,577,0
,,Rec,Dev,Rec,Dev,Rec,Dev,578,0
Public Health,"Reproductive
Maternal Neonatal
Child Health","67,606,650","111,630,800.00","1,500,000",-,2,-,578,0
,Sanitation services,"22,820,320",-,"2,502,525",-,11,-,578,0
,Special Programme,"7,000,000",-,-,-,-,-,578,0
,Health Research,"3,800,000",-,,-,-,-,578,0
,Sub-Total,"2,757,534,717","493,911,625","501,243,485",-,18,-,578,0
"Department: Roads, Transport, Public Works and Housing",,,,,,,,578,0
"County Roads
and transport
management","maintenance and
rehabilitation of
county roads","140,616,380","204,110,872","11,513,335",,8,-,578,0
,"county Transport
Services","99,880,000",-,-,-,-,-,578,0
"Public Work
Services","Public Work Ser-
vices","6,900,000","228,748,517","497,730",-,7,-,578,0
,Total,"247,396,380","432,859,389","12,011,065",-,5,-,578,0
Department: Water Services,,,,,,,,578,0
Water Services,"Water Supplies
Overhaul and Main-
tenance Services","162,872,205","123,446,000","3,276,816",-,2,-,578,0
,"Infrastructure devel-
opment services","9,215,800","185,700,000",-,-,-,-,578,0
,Total,"172,088,005","309,146,000","3,276,816",-,2,-,578,0
"Department: Energy, Environment and Climate Change",,,,,,,,578,0
"Energy develop-
ment services","Energy development
services","4,537,600","162,934,500",-,-,-,-,578,0
"Environmental
Conservation
Services","Environmental
Conservation
Services","14,776,582","200,000,000",-,-,-,-,578,0
"Natural
Resource Man-
agement","Natural Resource
Management","1,683,200","5,000,000",-,-,-,-,578,0
"General Admin-
istration and
Support Services","General Adminis-
tration and Support
Services","72,259,620",-,-,-,-,-,578,0
,Total,"93,257,002","367,934,500",-,-,-,-,578,0
"Department: Public Service, Special Programs and County Administration",,,,,,,,578,0
"Human
Resources Man-
agement and
decentralised
services","Human Resourc-
es Management
and decentralised
services","867,180,099",-,"221,711,503",-,26,-,578,0
"Service Delivery
and Perfor-
mance Manage-
ment","Service Delivery
and Performance
Management","7,010,000",-,-,-,-,-,578,0
,"Governance and
Ethics","4,796,400",-,-,-,-,-,578,0
,"Efficiency Moni-
toring","7,936,000",-,"299,400",-,4,-,578,0
"Decentralised
unit and Town
admin","Decentralised unit
and Town admin","23,513,600","18,300,000",-,-,-,-,578,0
,,Rec,Dev,Rec,Dev,Rec,Dev,579,0
