Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023 (Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,52,1
Administration and Public Service,,,,,,,,52,1
"Administration
and Public
Service",County Executive,"156,785,227",-,"40,628,698",-,25.9,-,52,1
,County PSB,"30,377,376",-,"5,923,935",-,19.5,-,52,1
,Administration/Governance,"11,490,000","31,000,000","1,244,700","9,617,205",10.8,31.0,52,1
,Public Service,"2,186,580,089",-,"525,992,285",-,24.1,-,52,1
,Sub total,"2,385,232,692","31,000,000","573,789,619","9,617,205",24.1,31.0,52,1
"Finance, Economic Planning and ICT",,,,,,,,52,1
Finance,"Financial Management
Services","132,441,082",-,"33,962,032",-,25.6,-,52,1
,Sub total,"132,441,082",-,"33,962,032",-,25.6,-,52,1
"Economic Plan-
ning",Administration,"40,293,033","148,000,000","13,613,100","28,274,721",33.8,19.1,52,1
,"Budget Preparation & Man-
agement","6,666,509",-,-,-,-,-,52,1
,M & E Services,"6,970,000",-,-,-,-,-,52,1
,Planning & Statistics,"13,223,034",-,-,-,-,-,52,1
,Sub total,"67,152,576","148,000,000","13,613,100","28,274,721",20.3,19.1,52,1
,,Rec,Dev,Rec,Dev,Rec,Dev,53,0
ICT,Administration,"41,878,654","14,600,000",-,-,-,-,53,0
,Sub total,"41,878,654","14,600,000",-,-,-,-,53,0
"Lands, Housing and Urban Planning",,,,,,,,53,0
"Lands, Hous-
ing and Urban
Planning",Lands,"14,410,000","145,000,000","488,000","75,300,000",3.4,51.9,53,0
,Urban Management,"50,220,000","26,000,000","2,066,200",-,4.1,-,53,0
,Housing Development,"4,650,000",-,-,-,-,-,53,0
,Municipality,"45,565,000","2,500,000",-,-,-,-,53,0
,Sub total,"114,845,000","173,500,000","2,554,200","75,300,000",2.2,43.4,53,0
"Gender, Culture and Social Services",,,,,,,,53,0
"Gender and
Culture","Policy Development and
Administrative Services","20,256,300","13,000,000","568,400",-,2.8,-,53,0
,Sub total,"20,256,300","13,000,000","568,400",-,2.8,-,53,0
Medical Services and Public Health,,,,,,,,53,0
"Medical Services
and Public
Health","Administration, Planning and
Support Services","1,231,650,426",-,"343,471,604",-,27.9,-,53,0
,Policy Development,"2,500,000",-,-,-,0.0,-,53,0
,"Healthcare financing – trans-
fers to health facilities","243,413,421",-,"108,004,250",-,44.4,-,53,0
,Curative Services,"299,149,570",-,"46,885,193",-,15.7,-,53,0
,"Preventive and Promotive
Services","100,713,081",-,-,-,-,-,53,0
,Reproductive Health Services,"11,000,000",-,-,-,-,-,53,0
,"Health Infrastructure Devel-
opment",-,"125,599,570",-,-,-,-,53,0
,Sub total,"1,888,426,498","125,599,570","498,361,047",-,26.4,-,53,0
"Agriculture, Livestock and Cooperatives",,,,,,,,53,0
Agriculture,Administration,"116,810,229",,"1,033,000","82,971",0.9,-,53,0
,Crop Management,-,"284,397,080",-,-,-,-,53,0
,Food & Nutrition Security,-,"35,000,000",-,-,-,-,53,0
,Sub total,"116,810,229","319,397,080","1,033,000","82,971",0.9,-,53,0
"Livestock, Fish-
eries & Veteri-
nary Services",Livestock Development,-,"15,500,000",-,-,-,-,53,0
,Fisheries Development,-,"4,700,000",-,-,-,-,53,0
,Veterinary Services,-,"66,000,000",-,-,-,-,53,0
,Sub total,-,"86,200,000",-,-,-,-,53,0
"Co-operative
& Enterprise
Development",Administration,"9,697,080","26,602,920",-,-,-,-,53,0
,Sub total,"9,697,080","26,602,920",-,-,-,-,53,0
Water Sanitation and Environment,,,,,,,,53,0
"Water and Irri-
gation",Administration,"87,783,221",-,"33,407,280",-,38.1,-,53,0
,"Development of Water
Supply for Domestic and
Commercial purposes",-,"213,262,724",-,"25,360,388",-,11.9,53,0
,Irrigation Development,-,"2,000,000",-,-,0.0,0.0,53,0
,Sub total,"87,783,221","215,262,724","33,407,280","25,360,388",38.1,11.8,53,0
"Waste Water
management",Waste Water management,-,"10,000,000",-,-,-,-,53,0
,Sub total,-,"10,000,000",-,-,-,-,53,0
"Environment &
Natural resources",Administration,"14,584,200",-,"356,000",-,2.4,-,53,0
,"Environmental and natural
resources protection and
conservation",-,"202,600,000",-,"5,500,000",-,2.7,53,0
,Sub total,"14,584,200","202,600,000","356,000","5,500,000",2.4,2.7,53,0
Education and Vocational Training,,,,,,,,53,0
"Education and
Vocational
Training","Policy Planning & General
Administration","273,232,880",-,"74,646,920",-,27.3,-,53,0
,"Early Childhood Develop-
ment and Education",-,"118,450,000",-,-,-,-,53,0
,Youths & Sports,"25,700,000","20,300,000",-,-,-,-,53,0
,Sub total,"298,932,880","138,750,000","74,646,920",-,25.0,-,53,0
"Roads, Public Works and Transport",,,,,,,,53,0
