Programme,Sub-Programme,Approved Estimates,"Actual Expenditure
as of 30th September
2023","Absorption
Rate (%)",page_number,table_index
Programme 1-COUNTY EXECUTIVE,,"559,696,802.00","89,526,625.60",16.0,586,1
,"SP 1 - (General Administration, Planning
and Support Services)","487,192,396.00","86,928,424.70",17.8,586,1
,SP 2 -(County Public service Board,"20,597,120.00","1,874,600.90",9.1,586,1
,SP 3 -(County Executive affairs),"37,133,671.00","370,000.00",1.0,586,1
,"SP 4-(Liasion and Intergovernmental
service)","14,773,615.00","353,600.00",2.4,586,1
Programme 2 - FINANCE &ECONOMIC PLANNING,,"293,805,763.00","51,051,028.45",,586,1
,"SP 1(General Administration, Planning and
Support Services","228,006,226.00","45,309,128.45",19.9,586,1
,SP 2-(Treasury Accounting Services),"5,159,823.00","1,313,500.00",25.5,586,1
,SP 3-(Supply Chain Management services),"3,888,000.00","488,100.00",12.6,586,1
,SP 5-(Internal Audit services),"6,043,600.00","126,000.00",2.1,587,0
,SP 6-(Budget Formulation services),"14,846,000.00","769,800.00",5.2,587,0
,SP 7-(Economic Planning),"8,279,832.00","209,600.00",2.5,587,0
,SP 8-(Monitoring and Evaluation ),"15,300,000.00","1,263,500.00",8.3,587,0
"Programme 3 - ROADS, PUBLIC WORKS, TRANSPORT AND
INFRASTRUCTURE",,"397,075,121.00","17,942,887.85",4.5,587,0
,"SP 1(General Administration, Planning and
Support Services","78,915,601.00","15,072,687.85",19.1,587,0
,SP 2(Road Transport),"2,080,000.00","570,200.00",27.4,587,0
,SP 3(CONSTRUCTION OF BRIDGES),"148,299,520.00",-,-,587,0
,SP 5-(Ward Specific Projects),"167,780,000.00","2,300,000.00",1.4,587,0
Programme 4 - HEALTH AND SANITATION,,"1,902,890,236.00","313,900,460.95",16.5,587,0
,"SP 1(General Administration, Planning and
Support Services","1,404,056,368.00","254,873,872.45",18.2,587,0
,SP 2-(Preventive Health Services),"176,082,080.00","20,096,563.30",11.4,587,0
,SP 3-(Curative Health Services),"95,391,788.00","38,930,025.20",40.8,587,0
,SP 4-(Kacheliba Sub county hospital),"13,940,000.00",-,-,587,0
,SP 5-(Sigor Sub county hospital),"13,860,000.00",-,-,587,0
,SP 6-(Chepareria Sub county hospital),"13,860,000.00",-,-,587,0
,SP 7(Facility Improvement Fund),"132,800,000.00",-,-,587,0
,SP 8(Ward Specific),"52,900,000.00",-,-,587,0
Programme 5 - EDUCATION AND TECHNICAL TRAINING,,"1,240,203,561.00","78,256,335.20",6.3,587,0
,"SP 1(General Administration, Planning and
Support Services","980,008,505.00","77,802,035.20",7.9,587,0
,SP 2 -(ECD Services),"33,889,648.00","454,300.00",1.3,587,0
,SP 3-(Youth Vocational training),"16,305,408.00",-,-,587,0
,SP 4-(Bursary Fund),"210,000,000.00",-,-,587,0
,SP 5 - (Ward specific),-,-,-,587,0
Programme 6 - AGRICULTURE AND IRRIGATION,,"505,652,293.00","13,951,375.10",2.8,587,0
,"SP 1 - (General Administration, Planning
and Support Services)","95,554,520.00","13,951,375.10",14.6,587,0
,"SP 2-(Crop Development and
Management)","22,500,000.00",-,-,587,0
,"SP 3-(Cash Crop Production(Special
Programs)","346,077,773.00",-,-,587,0
,SP 4 -(Ward specific),"41,520,000.00",-,-,587,0
Programme 7 - PASTORAL ECONOMY,,"286,225,999.00","13,166,797.95",4.6,587,0
,"SP 1 - (General Administration, Planning
and Support Services)","64,781,979.00","12,384,597.95",19.1,587,0
,"SP 2 - (Livestock production and Range
Management)","147,906,020.00","782,200.00",0.5,587,0
,SP 3-(Livestock Disease management),"7,150,000.00",-,-,588,0
,SP 4-(Fisheries Development),"16,300,000.00",-,-,588,0
,"SP 5-(Nasukuta Livestock Improvement
Center)","10,100,000.00",-,-,588,0
,SP 6 -(Ward specific),"39,988,000.00",-,-,588,0
,"SP 7 -(Dairy Development(Special
Programmes)",-,-,-,588,0
"Programme 8 - TRADE, INDUSTRIALISATION,
INVESTMENT & COOPERATIVES DEVELOPMENT",,"155,801,615.00","16,073,068.15",10.3,588,0
,"SP 1 - (General Administration, Planning
and Support Services)","142,976,015.00","15,119,668.15",10.6,588,0
,SP 2-(Cooperative Development),"2,889,600.00","464,400.00",16.1,588,0
,"SP 3 - (Trade, License and Market
Development)","2,336,000.00","489,000.00",20.9,588,0
,SP 4-(Ward specific),"7,600,000.00",,-,588,0
"Programme 9 - LANDS, HOUSING, PHYSICAL PLANNING
AND URBAN DEVELOPMENT",,"131,483,239.00","41,605,979.60",31.6,588,0
,"SP 1 - (General Administration, Planning
and Support Services)","85,401,239.00","35,064,729.60",41.1,588,0
