Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of
30th September 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,290,0
OFFICE OF THE GOVERNOR,,,,,,,,290,0
"Coordination and
Supervisory Services",Office of the Governor,"309,336,718","12,243,690","14,556,947",-,5,-,290,0
,Transport Services,"31,733,750",-,"2,000,000",-,6,-,290,0
,"Human Resource and
Administration Section","55,250,000",-,-,-,-,-,290,0
,ICT Section,"22,641,444",-,"100,000",-,-,-,290,0
,"Hospitality Services
Section","25,973,355",-,"100,000",-,-,-,290,0
,Cabinet Office,"6,493,175",-,"1,030,400",-,16,,290,0
,"Office of the Deputy
Governor","74,457,386","7,334,480","1,006,200",-,1,,290,0
,"Office of the County
Secretary","34,816,786",-,-,-,-,-,290,0
,"Office of the County
Advisors","20,171,540",-,-,-,-,-,290,0
TOTAL,,"580,874,154","19,578,170","18,793,547",-,3,-,290,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,,290,0
"Human Resource and
Administration","Human Resource and
Administration","38,013,709","20,000,000","3,802,149",-,10,,290,0
TOTAL,,"38,013,709","20,000,000","3,802,149",-,10,-,290,0
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,,,290,0
"General Adminis-
tration & Support
Services","General Administration
& Support Services","196,036,258","71,500,000","14,409,479",-,7,-,290,0
"Road Development
Management","Road Development and
Management","1,200,000","376,500,000",-,-,-,-,290,0
"County Government
Building Services","County Government
Buildings","10,100,000","191,731,765",-,-,-,-,290,0
"County Fleet Man-
agement","County Fleet Manage-
ment","40,100,000","72,000,000",-,-,-,-,290,0
TOTAL,,"247,436,258","711,731,765","14,409,479",-,6,-,290,0
HEALTH AND EMERGENCY SERVICES,,,,,,,,290,0
"General Adminis-
tration and Support
Services","General Administration
and Support services","3,418,345,006","538,872,154","783,567,339",-,23,-,290,0
"Curative and Rehabil-
itative health",Machakos Level 5,"169,429,588","142,000,000","21,218,762",-,13,-,290,0
,Kangundo Level 4,"54,100,000","15,000,000","3,660,842",-,7,-,290,0
,Matuu Level 4,"43,600,000","26,000,000","12,826,724",-,29,-,290,0
,Kathiani Level 4,"58,600,000","12,993,866","12,471,688",-,21,-,290,0
,Mwala Level 4,"43,600,000","23,000,000","3,428,206",-,8,-,290,0
,Kimiti Level 4,"38,600,000","10,000,000","1,710,695",-,4,-,290,0
,Masinga Level 4,"40,600,000","10,000,000","2,477,077",-,6,-,290,0
,,Rec,Dev,Rec,Dev,Rec,Dev,291,0
,Athi River Level 4,"30,600,000","10,000,000","2,977,077",-,10,-,291,0
,Mutituni Level 4,"30,600,000","11,000,000","7,083,736",-,23,-,291,0
,Ndithini Level 4,"30,600,000","21,000,000","8,994,906",-,29,-,291,0
,Kalama Level 4,"30,600,000","10,000,000","8,594,971",-,28,-,291,0
"Preventive and pro-
motive services","Public Health and
Community Outreach","73,566,838","164,273,125",-,-,-,-,291,0
TOTAL,,"4,062,841,432","994,139,145","869,012,023",-,21,-,291,0
"WATER, IRRIGATION, ENVIRONMENT, CLIMATE CHANGE AND NATURAL RESOURCES",,,,,,,,291,0
"Water Resources
Management","Water Resources Man-
agement","97,924,249",,"19,421,335",-,20,-,291,0
"Sewerage System and
Sanitation Manage-
ment","Sewerage System and
Sanitation Management","1,550,000","29,000,000","395,000",-,25,-,291,0
"General Adminis-
trative and Support
Services","General administrative
and Support Services","3,150,000",,"1,016,400",-,32,-,291,0
"Environment and
Natural Resources","Environment and Nat-
ural Resources","9,546,172","24,900,000","300,000",-,3,-,291,0
Climate Change,Climate Change,"21,917,699","245,038,276","211,700",-,1,-,291,0
"Water Supply and
Sewerage",,,"320,000,000",,-,-,-,291,0
"Irrigation Schemes
Development &
Promotion",,,"99,561,724",,-,-,-,291,0
TOTAL,,"134,088,120","718,500,000","21,344,435",-,16,-,291,0
"AGRICULTURE, FOOD SECURITY AND CO-OPERATIVE DEVELOPMENT",,,,,,,,291,0
"Agriculture and Food
Security","General Administration
and support services","342,470,165","562,486,691","19,990,945",-,6,-,291,0
,"Crop Development and
Management","2,260,009","122,459,386","402,300",-,18,-,291,0
,"Livestock Resources
Management and
Development","1,366,548","62,852,603","116,250",-,9,-,291,0
,Fisheries Development,"1,056,906","17,329,908","50,000",-,5,-,291,0
,Veterinary Services,"855,993","13,082,928","20,000",-,2,-,291,0
,"Agriculture Training
Centre","2,614,704","25,000,000","25,000",-,1,-,291,0
"Co-operative Devel-
opment","Co-operative Develop-
ment and Marketing","22,648,487",-,"350,000",-,2,-,291,0
