Programme,Sub-Programme,"Approved Estimates FY 2023/24
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
"Management
and Admin-
istration
of County
Services",,"15,566,400.00","1,500,000.00","1,143,800.00",-,7,-,570,0
,County Executive,"7,437,100.00",-,"494,800.00",-,7,-,570,0
,County Secretary,"8,129,300.00","1,500,000.00","649,000.00",-,8,-,570,0
"Administra-
tion, Planning
and Support
Service",,"45,982,520.00","29,737,034.00","1,973,784.70",-,4,-,570,0
,"Administrative
Service","45,982,520.00","29,737,034.00","1,973,784.70",-,4,-,570,0
903004860,,"36,604,000.00","51,400,000.00","772,400.00",-,2,-,570,0
,"Promotion of
Sports","18,739,000.00","35,400,000.00",-,-,-,-,570,0
,"Promotion of Cul-
ture and Heritage","12,865,000.00","12,000,000.00","772,400.00",-,6,-,570,0
,Recreation and Arts,"5,000,000.00","4,000,000.00",-,-,-,-,570,0
904004860,,"13,403,945.00","5,000,000.00",-,-,-,-,570,0
,Social Protection,"2,612,945.00","5,000,000.00",-,-,-,-,570,0
,"Gender, Children,
Youth and People
with Disability","10,791,000.00",-,-,-,-,-,570,0
"Administra-
tion, Planning
and Support
Service",,"100,977,562.00",-,-,-,-,-,570,0
,"Administrative
Service","100,977,562.00",-,-,-,-,-,570,0
1003004860,,"13,665,000.00","51,500,000.00","842,800.00","13,319,019.20",6,26,570,0
,"Water Supply
Management","9,830,000.00","50,500,000.00","842,800.00","13,319,019.20",9,26,570,0
,"Waste Water Man-
agement","3,835,000.00","1,000,000.00",-,-,-,-,570,0
1004004860,,"12,535,000.00","15,000,000.00","3,346,400.00",-,27,-,570,0
,"Environmental
Protection and
Conservation","12,535,000.00","15,000,000.00","3,346,400.00",-,27,-,570,0
