Programme,Sub-Programme,Approved Estimates FY 2023/24,col_3,"Actual Expenditure as of 30th
September 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,556,0
Governor’s Office,,,,,,,,556,0
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
support services","103,334,200",-,"34,370,128",-,33.3,-,556,0
,Sub Total,"103,334,200",-,"34,370,128",-,33.3,-,556,0
Finance,,,,,,,,556,0
Financial Services,Finance services,"336,986,476",-,"32,024,255",-,9.5,-,556,0
,Revenue Services,"14,850,000",-,"5,601,680",-,37.7,-,556,0
,Accounts services,"4,850,000",-,"1,914,500",-,39.5,-,556,0
,"Procurement and
supply services","4,650,000",-,"1,364,300",-,29.3,-,556,0
,"Internal audit
services","4,849,431",-,"1,616,420",-,33.3,-,556,0
,Sub-Total,"366,185,907",-,"42,521,155",-,11.6,-,556,0
Public Service Management,,,,,,,,556,0
"Administration
and Support
Services","Administration
and Support
Services","651,185,899",-,"93,469,314",-,14.4,-,556,0
,Sub-Total,"651,185,899",-,"93,469,314",-,14.4,-,556,0
"ICT, E-Government and Innovation",,,,,,,,556,0
"ICT Services &
Digital Economy",ICT Services,-,"34,813,669",-,"2,840,000",-,8.2,556,0
,CT Services,"70,524,500",-,"10,206,487",-,14.5,-,556,0
,Sub-Total,"70,524,500","34,813,669","10,206,487","2,840,000",14.5,8.2,556,0
"Roads, Transport and Public Works",,,,,,,,556,0
"Road Infrastruc-
ture Develop-
ment","Roads Infrastruc-
ture Services","505,427,925","91,242,708","83,244,965","8,979,398",16.5,9.8,556,0
"Community
Development
Services","Ward Develop-
ment Services",-,"361,539,080",-,"31,756,840",-,8.8,556,0
,Sub-Total,"505,427,925","452,781,788","83,244,965","40,736,238",16.5,9.0,556,0
Clinical Services,,,,,,,,556,0
"Administration
and Support
Services","Administration
and Support
Services","2,131,425,035",-,"454,853,649",-,21.3,-,556,0
"Curative and
Rehabilitative
Services",Health Services,-,"241,102,519",-,"116,974,690",-,48.5,556,0
,,Rec,Dev,Rec,Dev,Rec,Dev,557,0
"Community
Development
Services","Ward Develop-
ment Services",-,"55,100,000",-,-,-,-,557,0
,Sub-Total,"2,131,425,035","296,202,519","454,853,649","116,974,690",21.3,39.5,557,0
Agriculture and Agribusiness,,,,,,,,557,0
Crop Production,"Climate-smart
Agriculture Crop
Specialization and
Diversification",-,"124,212,611",-,"12,395,391",-,10.0,557,0
,"Capacity Building
for Farmers",-,"12,000,000",-,-,-,-,557,0
,"Agricultural
Mechanization
Services",-,"18,500,000",,"1,545,300",-,8.4,557,0
,"Post-harvest
Management
Services","564,444,607",-,"31,159,407",-,5.5,-,557,0
"Community
Development
Services","Ward Develop-
ment Services",-,"12,500,000",-,-,-,-,557,0
,Sub-Total,"564,444,607","167,212,611","31,159,407","13,940,691",5.5,8.3,557,0
"Trade, Industry, Investment and Tourism",,,,,,,,557,0
"General Admin-
istration, Plan-
ning and Support
Services","Administrative
Support Services","52,951,385",-,"7,766,500",-,-,-,557,0
"Community
Development
Services","Ward Develop-
ment Services",-,"71,750,000",-,-,-,-,557,0
"Trade Devel-
opment and
Promotion","Market Infra-
structure Devel-
opment Services",-,"16,537,544",-,-,-,-,557,0
,"Industrial
Development
and Investment
Services",-,"250,000,000",-,"2,111,673",-,-,557,0
"Tourism De-
velopment and
Promotion","Tourism
Promotion and
Marketing",-,"4,000,000",-,-,-,-,557,0
,Sub-Total,"52,951,385","342,287,544","7,766,500","2,111,673",14.7,0.6,557,0
Education and Vocational Training,,,,,,,,557,0
"General Ad-
ministration &
Support Services","Administrative
and support
services","663,013,966",-,"84,500,164",-,12.7,-,557,0
,Sub-Programme,-,-,-,-,-,-,557,0
"Community
development
services","Community
development
services",-,"20,000,000",-,-,-,-,557,0
"Early Child
Development
Education",ECDE Services,-,"2,000,000",-,-,-,-,557,0
,,Rec,Dev,Rec,Dev,Rec,Dev,558,0
"Vocational Train-
ing and Skills
Development","Vocational Train-
ing Services",-,"33,868,087",-,-,-,-,558,0
"Community
Development
Services","Ward Develop-
ment Services",-,"96,250,000",-,-,-,-,558,0
,Sub-Total,"663,013,966","152,118,087","84,500,164",-,12.7,-,558,0
County Public Service Board,,,,,,,,558,0
