col_0,Program,Sub-Program,"Approved Estimates FY 2023/24
(Kshs.)",col_4,Actual payments (Kshs),col_6,"Absorption Rate
(% )",col_8,page_number,table_index
,,,Rec,Dev,Rec,Dev,Rec,Dev,381,0
,General Administration Planning and Support Services,,,,,,,,381,0
,,"General Administration
Planning and Support
Services","127,315,242","10,000,000","6,865,650",-,5.4,-,381,0
Subtotal,,,"127,315,242","10,000,000","6,865,650",-,5.4,-,381,0
,COUNTY PUBLIC SERVICE BOARD,,,,,,,,381,0
,,"Assets Management
Services","217,500,000",-,"1,000,000",-,0.5,-,381,0
,,Accounting Services,"213,000,000","25,000,000","13,256,200",-,6.2,-,381,0
,,Management Services,"576,000,000","775,000,000","239,302,570",-,41.5,-,381,0
,,"Supply Chain Manage-
ment","128,318,757",-,"21,190,302",-,16.5,-,381,0
,"General Administration & Support
Services",,-,-,-,-,-,-,381,0
,,"General Administration
& Support Services","975,044,718",-,"304,824,030",-,31.3,-,381,0
,"Economic Policy Formulation and
Budget Management",,-,-,-,,-,,381,0
,,"Budget Formulation
Coordination and mgt","133,499,947",-,"14,088,300",-,10.6,-,381,0
,,"Fiscal Policy Formula-
tion, Development and
Management","175,000,000",-,"18,390,000",-,10.5,-,381,0
FINANCE & ECONOMIC PLANNING,,,"2,418,363,422","800,000,000","612,051,402",-,25.3,-,381,0
,"General Administration Planning
and Support Services",,,,,,,,381,0
,,"General Administration
Planning and Support
Services","522,797,530",-,"32,242,276",,6.2,-,381,0
,Public Service Transformation,,,,,,,,381,0
,,"Human Resource Man-
agement","1,599,470,762",-,-,-,-,-,381,0
,,"Human Resource
Development","87,172,507","30,000,000",-,-,-,-,381,0
PUBLIC SERVICE MANAGEMENT,,,"2,209,440,799","30,000,000","32,242,276",-,1.5,-,381,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,382,0
,"General Administration Planning
and Support Services",,,,,,,,382,0
,,"Administration,
Planning & Support
Services","188,450,937","18,960,000","23,703,655",-,12.6,-,382,0
,"Urban Agriculture Promotion &
Regulation",,,,,,,,382,0
,,"Crop Development and
Management","9,093,928","21,000,000","37,300",-,0.4,-,382,0
,,"Fisheries Development
and management","7,300,130","20,000,000","35,200",-,0.5,-,382,0
,,"Livestock Resources
management and devel-
opment","7,392,192","20,000,000","63,000",-,0.9,-,382,0
,"Animal Health, Safety and Quality
Assurance",,,,,,,,382,0
,,"Animal Research, Dis-
eases, Pest Control &
Quality Assurance","8,171,991","20,000,000","42,425",-,0.5,-,382,0
,Afforestation,,,,,,,,382,0
,,Forestry Services,"58,000,000","10,000,000","50,000",-,0.1,-,382,0
,Food Systems and Surveillance,,-,-,-,-,-,-,382,0
,,"Food Systems and
Surveillance Services","7,441,114","14,000,000",-,-,-,-,382,0
,,"Agriculture Commit-
tees","2,551,000",-,-,-,-,-,382,0
,,"Agricultural Develop-
ment Support Project","5,507,770",-,-,-,-,-,382,0
"AGRICULTURE, LIVESTOCK DEVEL-
OPMENT, FISHERIES & FORESTRY",,,"293,909,062","123,960,000","23,931,580",-,8.1,-,382,0
,"General Administration & Support
Services",,,,,,,,382,0
,,"General Administration
& Support Services","1,096,039,622",-,"51,461,753",-,4.7,-,382,0
,"Environment Management and
Protection",,,,,,,,382,0
,.,"Parks & Open Spaces
Section","30,000,000",-,-,-,-,-,382,0
,,"Solid Waste Manage-
ment Section","1,100,000,000","206,040,000",-,-,-,-,382,0
,,"Environmental Moni-
toring Compliance &
Enforcement","20,000,000",-,-,-,-,-,382,0
,,"Energy & Natural Re-
sources Department","100,000,000","215,000,000",-,-,-,-,382,0
,Water Resources Management,,,,,,,,382,0
,,,Rec,Dev,Rec,Dev,Rec,Dev,383,0
,,"Climate change and air
quality","42,000,000",-,-,,-,-,383,0
"ENVIRONMENT, WATER, ENERGY &
NATURAL RESOURCES",,,"2,388,039,622","421,040,000","51,461,753",-,2.2,-,383,0
,Ward Development,,,-,-,-,-,-,383,0
,"Ward Development & Administra-
tion",,"92,375,466","1,955,000,000",-,-,-,-,383,0
WARD DEVELOPMENT FUND,,,"92,375,466","1,955,000,000",-,-,-,-,383,0
,General Administrative Services,,,,,,,,383,0
,,Emergency Fund,"200,000,000",-,,,-,-,383,0
EMERGENCY FUND,,,"200,000,000",-,-,-,-,-,383,0
,"General administration services &
Performance Management",,,,,,,,383,0
,,"Office of County Secre-
tary Headquarters","335,031,862","491,000,000","51,274,149",-,15.3,-,383,0
,,Records Management,"11,511,004","20,000,000",-,-,-,-,383,0
,,"Research Policy &
Development","5,348,942",-,-,-,-,-,383,0
,"Coordination of boroughs and
devolved units",,,,,,,,383,0
